study,arm,sample_id,genotype,clone,replicate,treatment,total_counts,file,file_sha256
GSE241858,baseline,CTRL_A_1,CTRL,CTRL_A,1,BASELINE,8504775,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,CTRL_A_2,CTRL,CTRL_A,2,BASELINE,8873847,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,CTRL_A_3,CTRL,CTRL_A,3,BASELINE,9636921,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,CTRL_B_1,CTRL,CTRL_B,1,BASELINE,9738881,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,CTRL_B_2,CTRL,CTRL_B,2,BASELINE,5646834,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,CTRL_B_3,CTRL,CTRL_B,3,BASELINE,8895875,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,R47H_A_1,R47H,R47H_A,1,BASELINE,13926649,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,R47H_A_2,R47H,R47H_A,2,BASELINE,16135003,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,R47H_A_3,R47H,R47H_A,3,BASELINE,16163604,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,R47H_B_1,R47H,R47H_B,1,BASELINE,7978973,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,R47H_B_2,R47H,R47H_B,2,BASELINE,8319104,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,baseline,R47H_B_3,R47H,R47H_B,3,BASELINE,7778325,GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496
GSE241858,cytokine,CTRL_A_1_UNTR,CTRL,CTRL_A,1,UNTR,23476954,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,CTRL_A_2_UNTR,CTRL,CTRL_A,2,UNTR,23630964,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,CTRL_A_1_IFN,CTRL,CTRL_A,1,IFN,26422382,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,CTRL_A_2_IFN,CTRL,CTRL_A,2,IFN,29812134,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,CTRL_A_2_LPS,CTRL,CTRL_A,2,LPS,42385531,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,CTRL_B_1_UNTR,CTRL,CTRL_B,1,UNTR,93922855,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,CTRL_B_2_UNTR,CTRL,CTRL_B,2,UNTR,15596790,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,CTRL_B_1_IFN,CTRL,CTRL_B,1,IFN,30082577,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,CTRL_B_2_IFN,CTRL,CTRL_B,2,IFN,32308368,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,CTRL_B_1_LPS,CTRL,CTRL_B,1,LPS,35880215,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,CTRL_B_2_LPS,CTRL,CTRL_B,2,LPS,34447592,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_A_1_UNTR,R47H,R47H_A,1,UNTR,31859008,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_A_2_UNTR,R47H,R47H_A,2,UNTR,34799745,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_A_1_IFN,R47H,R47H_A,1,IFN,25651805,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
