target_gene,matched_well_support_qualified,exclusion_reason,assigned_cells,engagement_log2fc_ours,reference_log2fc,reference_fdr
SPTLC2,True,,,-1.8155,-0.5137,1.25786675575383e-33
NDUFS5,True,,,-1.4316,-1.512,3.5710806209036e-75
NDUFA8,True,,,-1.3963,-0.7856,2.8361686459124703e-54
MAPK14,True,,,-1.2326,-0.2491,4.80964061100176e-06
INPP5D,True,,,-1.1894,-0.5687,3.51741110104518e-43
DCPS,True,,,-1.1756,-0.3255,4.1072377092357905e-09
ATP1A1,True,,,-1.1404,-0.5666,3.94305203084631e-20
IFNAR2,True,,,-1.0937,-0.2641,0.0004022834094639
PFN2,True,,,-1.08,-0.3247,1.16619213661272e-09
CDK12,True,,,-1.0389,-0.5087,8.28082519288032e-15
CSNK2A1,True,,,-0.9913,-0.8798,1.86149680425881e-111
CSF2RB,True,,,-0.9055,-0.1857,0.307161052867568
DDX39B,True,,,-0.8609,-0.206,1.0
MED1,True,,,-0.8304,-0.2328,0.154966955519157
CSF2RA,True,,,-0.8059,-0.5869,4.08328737441736e-24
CDC25B,True,,,-0.7389,-0.2723,0.0001181506190132
NDUFV2,True,,,-0.7146,-0.6738,2.09822331828229e-45
RPS6KB1,True,,,-0.6401,-0.2272,0.0119387061084176
TRIM24,True,,,-0.6385,-0.1477,1.0
DBF4,True,,,-0.6146,-0.2028,0.107879670197901
TGFBR2,True,,,-0.512,-0.0787,1.0
TGFBR1,True,,,-0.4536,-0.1716,1.0
STK40,True,,,-0.4326,-0.1398,1.0
MAP2K6,True,,,-0.3984,-0.2677,0.0015706540750963
RIOK2,True,,,-0.3644,-0.1918,1.0
TRAPPC3,True,,,-0.3285,-0.2437,0.348269885536082
ZMYND8,True,,,-0.2884,-0.1702,0.999394964243373
PKM,True,,,-0.2464,-0.4797,2.21861470995804e-07
CSF1R,True,,,-0.1814,-0.1662,1.0
CDK8,True,,,-0.1354,-0.0199,1.0
PPM1D,True,,,-0.1144,-0.0601,1.0
MTHFD2,True,,,-0.0511,-0.0162,1.0
RPS6KB2,True,,,-0.002,-0.002,1.0
AARS,False,paired_lanes=['L3'] of 3 required,42,-1.5603,-0.2249,1.0
LSM6,False,paired_lanes=['L2'] of 3 required,33,-0.2551,-0.0792,1.0
