"guide_donor","guide_identity","donor","Gene_Targeted","crispr","n_cells","total_counts"
"ABCA1_CRISPRi_sgRNA_1||D1","ABCA1_CRISPRi_sgRNA_1","D1","ABCA1","Perturbed",7,61306
"ABCA1_CRISPRi_sgRNA_1||D2","ABCA1_CRISPRi_sgRNA_1","D2","ABCA1","Perturbed",6,55174
"ABCA1_CRISPRi_sgRNA_2||D1","ABCA1_CRISPRi_sgRNA_2","D1","ABCA1","Perturbed",5,46595
"ABCA1_CRISPRi_sgRNA_2||D2","ABCA1_CRISPRi_sgRNA_2","D2","ABCA1","Perturbed",2,13952
"ABCA1_CRISPRi_sgRNA_3||D1","ABCA1_CRISPRi_sgRNA_3","D1","ABCA1","Perturbed",6,48562
"ABCA1_CRISPRi_sgRNA_3||D2","ABCA1_CRISPRi_sgRNA_3","D2","ABCA1","Perturbed",5,30412
"ABCA1_CRISPRi_sgRNA_4||D1","ABCA1_CRISPRi_sgRNA_4","D1","ABCA1","Perturbed",15,124074
"ABCA1_CRISPRi_sgRNA_4||D2","ABCA1_CRISPRi_sgRNA_4","D2","ABCA1","Perturbed",5,37169
"ABCA1_CRISPRi_sgRNA_5||D1","ABCA1_CRISPRi_sgRNA_5","D1","ABCA1","Perturbed",13,113872
"ABCA1_CRISPRi_sgRNA_5||D2","ABCA1_CRISPRi_sgRNA_5","D2","ABCA1","Perturbed",12,85376
"ABCA7_CRISPRi_sgRNA_1||D1","ABCA7_CRISPRi_sgRNA_1","D1","ABCA7","Perturbed",32,253944
"ABCA7_CRISPRi_sgRNA_1||D2","ABCA7_CRISPRi_sgRNA_1","D2","ABCA7","Perturbed",17,146308
"ABCA7_CRISPRi_sgRNA_2||D1","ABCA7_CRISPRi_sgRNA_2","D1","ABCA7","Perturbed",8,78121
"ABCA7_CRISPRi_sgRNA_2||D2","ABCA7_CRISPRi_sgRNA_2","D2","ABCA7","Perturbed",7,51984
"ABCA7_CRISPRi_sgRNA_3||D1","ABCA7_CRISPRi_sgRNA_3","D1","ABCA7","Perturbed",2,22248
"ABCA7_CRISPRi_sgRNA_3||D2","ABCA7_CRISPRi_sgRNA_3","D2","ABCA7","Perturbed",1,11775
"ABCA7_CRISPRi_sgRNA_4||D1","ABCA7_CRISPRi_sgRNA_4","D1","ABCA7","Perturbed",5,44021
"ABCA7_CRISPRi_sgRNA_4||D2","ABCA7_CRISPRi_sgRNA_4","D2","ABCA7","Perturbed",2,11747
"ABCA7_CRISPRi_sgRNA_5||D1","ABCA7_CRISPRi_sgRNA_5","D1","ABCA7","Perturbed",2,16437
"ABCA7_CRISPRi_sgRNA_5||D2","ABCA7_CRISPRi_sgRNA_5","D2","ABCA7","Perturbed",1,5167
"ABI3_CRISPRi_sgRNA_1||D1","ABI3_CRISPRi_sgRNA_1","D1","ABI3","Perturbed",9,72690
"ABI3_CRISPRi_sgRNA_2||D1","ABI3_CRISPRi_sgRNA_2","D1","ABI3","Perturbed",22,201747
"ABI3_CRISPRi_sgRNA_2||D2","ABI3_CRISPRi_sgRNA_2","D2","ABI3","Perturbed",12,92640
"ABI3_CRISPRi_sgRNA_3||D1","ABI3_CRISPRi_sgRNA_3","D1","ABI3","Perturbed",10,106906
"ABI3_CRISPRi_sgRNA_3||D2","ABI3_CRISPRi_sgRNA_3","D2","ABI3","Perturbed",6,45351
"ABI3_CRISPRi_sgRNA_4||D1","ABI3_CRISPRi_sgRNA_4","D1","ABI3","Perturbed",4,42251
"ABI3_CRISPRi_sgRNA_4||D2","ABI3_CRISPRi_sgRNA_4","D2","ABI3","Perturbed",1,4687
"ABI3_CRISPRi_sgRNA_5||D1","ABI3_CRISPRi_sgRNA_5","D1","ABI3","Perturbed",10,112727
"ABI3_CRISPRi_sgRNA_5||D2","ABI3_CRISPRi_sgRNA_5","D2","ABI3","Perturbed",9,64395
"ACTB_CRISPRi_sgRNA_1||D1","ACTB_CRISPRi_sgRNA_1","D1","ACTB","Perturbed",19,205811
"ACTB_CRISPRi_sgRNA_1||D2","ACTB_CRISPRi_sgRNA_1","D2","ACTB","Perturbed",17,133725
"ACTB_CRISPRi_sgRNA_2||D1","ACTB_CRISPRi_sgRNA_2","D1","ACTB","Perturbed",16,140648
"ACTB_CRISPRi_sgRNA_2||D2","ACTB_CRISPRi_sgRNA_2","D2","ACTB","Perturbed",4,31327
"ACTB_CRISPRi_sgRNA_3||D1","ACTB_CRISPRi_sgRNA_3","D1","ACTB","Perturbed",39,331562
"ACTB_CRISPRi_sgRNA_3||D2","ACTB_CRISPRi_sgRNA_3","D2","ACTB","Perturbed",23,167041
"ACTB_CRISPRi_sgRNA_4||D1","ACTB_CRISPRi_sgRNA_4","D1","ACTB","Perturbed",34,324776
"ACTB_CRISPRi_sgRNA_4||D2","ACTB_CRISPRi_sgRNA_4","D2","ACTB","Perturbed",13,78990
"ACTB_CRISPRi_sgRNA_5||D1","ACTB_CRISPRi_sgRNA_5","D1","ACTB","Perturbed",14,167610
"ACTB_CRISPRi_sgRNA_5||D2","ACTB_CRISPRi_sgRNA_5","D2","ACTB","Perturbed",3,24895
