study,sample,guide_id,target_id,target_class,n_cells,total_counts
GSE311359,S1,ELMO1_tss_g2,ELMO1_tss,tss_cis_element,1,5148
GSE311359,S1,ELMO1_tss_g3,ELMO1_tss,tss_cis_element,19,73258
GSE311359,S1,MERTK_tss_g1,MERTK_tss,tss_cis_element,15,56951
GSE311359,S1,MERTK_tss_g2,MERTK_tss,tss_cis_element,6,23019
GSE311359,S1,MERTK_tss_g3,MERTK_tss,tss_cis_element,8,41218
GSE311359,S1,MAF_tss_g1,MAF_tss,tss_cis_element,2,7348
GSE311359,S1,MAF_tss_g2,MAF_tss,tss_cis_element,22,110741
GSE311359,S1,MAF_tss_g3,MAF_tss,tss_cis_element,3,11785
GSE311359,S1,SLC25A19_tss_g1,SLC25A19_tss,tss_cis_element,11,47293
GSE311359,S1,SLC25A19_tss_g2,SLC25A19_tss,tss_cis_element,9,30904
GSE311359,S1,SLC25A19_tss_g3,SLC25A19_tss,tss_cis_element,8,31290
GSE311359,S1,MARCHF1_tss_g2,MARCHF1_tss,tss_cis_element,5,21918
GSE311359,S1,MARCHF1_tss_g3,MARCHF1_tss,tss_cis_element,8,30242
GSE311359,S1,IRF5_tss_g1,IRF5_tss,tss_cis_element,7,30481
GSE311359,S1,IRF5_tss_g2,IRF5_tss,tss_cis_element,5,21943
GSE311359,S1,IRF5_tss_g3,IRF5_tss,tss_cis_element,11,43112
GSE311359,S1,IFNGR1_tss_g1,IFNGR1_tss,tss_cis_element,4,10594
GSE311359,S1,IFNGR1_tss_g2,IFNGR1_tss,tss_cis_element,4,13685
GSE311359,S1,C3_tss_g1,C3_tss,tss_cis_element,1,3721
GSE311359,S1,C3_tss_g2,C3_tss,tss_cis_element,7,29312
GSE311359,S1,C3_tss_g3,C3_tss,tss_cis_element,25,106639
GSE311359,S1,CD86_tss_g1,CD86_tss,tss_cis_element,31,127934
GSE311359,S1,CD86_tss_g2,CD86_tss,tss_cis_element,7,29113
GSE311359,S1,ELMO1_nsig_e1_g2,ELMO1_nsig_e1,other,7,25069
GSE311359,S1,ELMO1_nsig_e1_g3,ELMO1_nsig_e1,other,10,45928
GSE311359,S1,ELMO1_nsig_e1_g4,ELMO1_nsig_e1,other,15,64124
GSE311359,S1,ELMO1_nsig_e1_g5,ELMO1_nsig_e1,other,1,2803
GSE311359,S1,ELMO1_nsig_e2_g1,ELMO1_nsig_e2,other,21,86784
GSE311359,S1,ELMO1_nsig_e2_g3,ELMO1_nsig_e2,other,19,83473
GSE311359,S1,ELMO1_nsig_e2_g5,ELMO1_nsig_e2,other,10,42511
GSE311359,S1,ELMO1_nsig_e3_g2,ELMO1_nsig_e3,other,12,43237
GSE311359,S1,ELMO1_nsig_e3_g4,ELMO1_nsig_e3,other,17,64307
GSE311359,S1,ELMO1_nsig_e3_g5,ELMO1_nsig_e3,other,13,52788
GSE311359,S1,ELMO1_nsig_gwas_g1,ELMO1_nsig_gwas,other,9,33383
GSE311359,S1,ELMO1_nsig_gwas_g2,ELMO1_nsig_gwas,other,9,34242
GSE311359,S1,ELMO1_nsig_gwas_g3,ELMO1_nsig_gwas,other,3,10511
GSE311359,S1,ELMO1_nsig_gwas_g4,ELMO1_nsig_gwas,other,7,25727
GSE311359,S1,ELMO1_nsig_gwas_g5,ELMO1_nsig_gwas,other,12,55911
GSE311359,S1,MERTK_nsig_e1_g1,MERTK_nsig_e1,other,8,29641
GSE311359,S1,MERTK_nsig_e1_g2,MERTK_nsig_e1,other,15,53944
GSE311359,S1,MERTK_nsig_e1_g3,MERTK_nsig_e1,other,5,18954
GSE311359,S1,MERTK_nsig_e1_g4,MERTK_nsig_e1,other,28,113607
GSE311359,S1,MERTK_nsig_e1_g5,MERTK_nsig_e1,other,13,41133
GSE311359,S1,MERTK_nsig_e2_g1,MERTK_nsig_e2,other,20,78795
GSE311359,S1,MERTK_nsig_e2_g2,MERTK_nsig_e2,other,9,43001
GSE311359,S1,MERTK_nsig_e2_g3,MERTK_nsig_e2,other,3,12443
GSE311359,S1,MERTK_nsig_e2_g4,MERTK_nsig_e2,other,5,17985
GSE311359,S1,MERTK_nsig_e2_g5,MERTK_nsig_e2,other,14,56288
GSE311359,S1,MERTK_nsig_e2_g6,MERTK_nsig_e2,other,13,59126
GSE311359,S1,MERTK_nsig_e2_g7,MERTK_nsig_e2,other,16,66045
GSE311359,S1,MERTK_nsig_e2_g8,MERTK_nsig_e2,other,1,3052
GSE311359,S1,MERTK_nsig_e3_g1,MERTK_nsig_e3,other,11,48114
GSE311359,S1,MERTK_nsig_e3_g3,MERTK_nsig_e3,other,18,90836
GSE311359,S1,MERTK_nsig_e3_g4,MERTK_nsig_e3,other,10,41789
GSE311359,S1,MERTK_nsig_e3_g5,MERTK_nsig_e3,other,10,45949
GSE311359,S1,MERTK_nsig_e4_g1,MERTK_nsig_e4,other,8,34699
GSE311359,S1,MERTK_nsig_e4_g2,MERTK_nsig_e4,other,13,51034
GSE311359,S1,MAF_nsig_e1_g1,MAF_nsig_e1,other,14,67857
GSE311359,S1,MAF_nsig_e1_g2,MAF_nsig_e1,other,3,7937
GSE311359,S1,MAF_nsig_e1_g3,MAF_nsig_e1,other,2,7429
GSE311359,S1,MAF_nsig_e1_g4,MAF_nsig_e1,other,16,71202
GSE311359,S1,MAF_nsig_e1_g5,MAF_nsig_e1,other,14,55802
GSE311359,S1,MAF_nsig_e2_g1,MAF_nsig_e2,other,7,23961
GSE311359,S1,MAF_nsig_e2_g2,MAF_nsig_e2,other,17,60479
GSE311359,S1,MAF_nsig_e2_g3,MAF_nsig_e2,other,11,38443
GSE311359,S1,MAF_genebodyctrl_g1,MAF_genebodyctrl,other,9,43226
GSE311359,S1,MAF_genebodyctrl_g2,MAF_genebodyctrl,other,14,53311
GSE311359,S1,MAF_genebodyctrl_g3,MAF_genebodyctrl,other,18,95349
GSE311359,S1,MARCHF1_nsig_e1_g1,MARCHF1_nsig_e1,other,15,62956
GSE311359,S1,MARCHF1_nsig_e1_g2,MARCHF1_nsig_e1,other,4,15286
GSE311359,S1,MARCHF1_nsig_e1_g4,MARCHF1_nsig_e1,other,6,21018
GSE311359,S1,MARCHF1_nsig_e1_g5,MARCHF1_nsig_e1,other,3,9906
GSE311359,S1,MARCHF1_nsig_e2_g2,MARCHF1_nsig_e2,other,30,97976
GSE311359,S1,MARCHF1_nsig_e2_g4,MARCHF1_nsig_e2,other,8,33871
GSE311359,S1,MARCHF1_nsig_e2_g5,MARCHF1_nsig_e2,other,7,25360
GSE311359,S1,IRF5_nsig_e1_g1,IRF5_nsig_e1,other,6,19734
GSE311359,S1,IRF5_nsig_e1_g2,IRF5_nsig_e1,other,33,139024
GSE311359,S1,IRF5_nsig_e1_g3,IRF5_nsig_e1,other,11,38572
GSE311359,S1,IRF5_nsig_e1_g4,IRF5_nsig_e1,other,3,9251
GSE311359,S1,IRF5_nsig_e1_g5,IRF5_nsig_e1,other,11,44577
GSE311359,S1,SLC25A19_nsig_e1_g1,SLC25A19_nsig_e1,other,7,37753
GSE311359,S1,SLC25A19_nsig_e1_g2,SLC25A19_nsig_e1,other,21,74877
GSE311359,S1,SLC25A19_nsig_e1_g3,SLC25A19_nsig_e1,other,5,23125
GSE311359,S1,SLC25A19_nsig_e1_g4,SLC25A19_nsig_e1,other,9,40123
GSE311359,S1,SLC25A19_nsig_e1_g5,SLC25A19_nsig_e1,other,7,26726
GSE311359,S1,SLC25A19_nsig_e2_g1,SLC25A19_nsig_e2,other,6,19045
GSE311359,S1,SLC25A19_nsig_e2_g3,SLC25A19_nsig_e2,other,13,57152
GSE311359,S1,SLC25A19_nsig_e2_g5,SLC25A19_nsig_e2,other,10,39375
GSE311359,S1,IFNGR1_nsig_e1_g1,IFNGR1_nsig_e1,other,8,37744
