feature_id,display_name,sample,n_cells,n_nt_units,median_log2fc,n_abs_gt_1
ELMO1_tss_g1,ELMO1_tss_g1,S3,1,14,0.0,9911
ELMO1_tss_g1,ELMO1_tss_g1,S4,2,13,0.0,9464
ELMO1_tss_g1,ELMO1_tss_g1,S5,1,15,0.0,9842
ELMO1_tss_g1,ELMO1_tss_g1,S6,2,13,0.0,9196
ELMO1_tss_g1,ELMO1_tss_g1,S7,5,13,0.0,8621
ELMO1_tss_g2,ELMO1_tss_g2,S1,1,15,0.0,9473
ELMO1_tss_g2,ELMO1_tss_g2,S2,1,12,0.0,10094
ELMO1_tss_g2,ELMO1_tss_g2,S3,2,14,0.0,9644
ELMO1_tss_g2,ELMO1_tss_g2,S4,5,13,0.0,8168
ELMO1_tss_g2,ELMO1_tss_g2,S5,1,15,0.0,9322
ELMO1_tss_g2,ELMO1_tss_g2,S6,1,13,0.0,9168
ELMO1_tss_g2,ELMO1_tss_g2,S7,1,13,0.0,10046
ELMO1_tss_g3,ELMO1_tss_g3,S1,19,15,0.0,8461
ELMO1_tss_g3,ELMO1_tss_g3,S2,15,12,0.0,7331
ELMO1_tss_g3,ELMO1_tss_g3,S3,15,14,0.0,7746
ELMO1_tss_g3,ELMO1_tss_g3,S4,17,13,0.0,6191
ELMO1_tss_g3,ELMO1_tss_g3,S5,22,15,0.0,8172
ELMO1_tss_g3,ELMO1_tss_g3,S6,15,13,0.0,7709
ELMO1_tss_g3,ELMO1_tss_g3,S7,19,13,0.0,7502
MERTK_tss_g1,MERTK_tss_g1,S1,15,15,0.0,8324
MERTK_tss_g1,MERTK_tss_g1,S2,8,12,0.0,7906
MERTK_tss_g1,MERTK_tss_g1,S3,9,14,0.0,7948
MERTK_tss_g1,MERTK_tss_g1,S4,9,13,0.0,6841
MERTK_tss_g1,MERTK_tss_g1,S5,10,15,0.0,7982
MERTK_tss_g1,MERTK_tss_g1,S6,12,13,0.0,7776
MERTK_tss_g1,MERTK_tss_g1,S7,12,13,0.0,7846
MERTK_tss_g2,MERTK_tss_g2,S1,6,15,0.0,8627
MERTK_tss_g2,MERTK_tss_g2,S2,13,12,0.0,7479
MERTK_tss_g2,MERTK_tss_g2,S3,10,14,0.0,8030
MERTK_tss_g2,MERTK_tss_g2,S4,11,13,0.0,6546
MERTK_tss_g2,MERTK_tss_g2,S5,11,15,0.0,8097
MERTK_tss_g2,MERTK_tss_g2,S6,10,13,0.0,7889
MERTK_tss_g2,MERTK_tss_g2,S7,10,13,0.0,8104
MERTK_tss_g3,MERTK_tss_g3,S1,8,15,0.0,8701
MERTK_tss_g3,MERTK_tss_g3,S2,14,12,0.0,7559
MERTK_tss_g3,MERTK_tss_g3,S3,8,14,0.0,7985
MERTK_tss_g3,MERTK_tss_g3,S4,13,13,0.0,6701
MERTK_tss_g3,MERTK_tss_g3,S5,9,15,0.0,7945
MERTK_tss_g3,MERTK_tss_g3,S6,15,13,0.0,7777
MERTK_tss_g3,MERTK_tss_g3,S7,10,13,0.0,8147
MAF_tss_g1,MAF_tss_g1,S1,2,15,0.0,9270
MAF_tss_g1,MAF_tss_g1,S2,3,12,0.0,9094
MAF_tss_g1,MAF_tss_g1,S3,2,14,0.0,9478
MAF_tss_g1,MAF_tss_g1,S4,4,13,0.0,8306
MAF_tss_g1,MAF_tss_g1,S7,3,13,0.0,9461
MAF_tss_g2,MAF_tss_g2,S1,22,15,0.0,8872
MAF_tss_g2,MAF_tss_g2,S2,13,12,0.0,7615
MAF_tss_g2,MAF_tss_g2,S3,10,14,0.0,8034
MAF_tss_g2,MAF_tss_g2,S4,12,13,0.0,6654
MAF_tss_g2,MAF_tss_g2,S5,12,15,0.0,8160
MAF_tss_g2,MAF_tss_g2,S6,14,13,0.0,7825
MAF_tss_g2,MAF_tss_g2,S7,10,13,0.0,7998
MAF_tss_g3,MAF_tss_g3,S1,3,15,0.0,8971
MAF_tss_g3,MAF_tss_g3,S2,4,12,0.0,8719
MAF_tss_g3,MAF_tss_g3,S3,3,14,0.0,8854
MAF_tss_g3,MAF_tss_g3,S5,6,15,0.0,8292
MAF_tss_g3,MAF_tss_g3,S6,3,13,0.0,8670
MAF_tss_g3,MAF_tss_g3,S7,4,13,0.0,9178
SLC25A19_tss_g1,SLC25A19_tss_g1,S1,11,15,0.0,8661
SLC25A19_tss_g1,SLC25A19_tss_g1,S2,16,12,0.0,7486
SLC25A19_tss_g1,SLC25A19_tss_g1,S3,5,14,0.0,8251
SLC25A19_tss_g1,SLC25A19_tss_g1,S4,17,13,0.0,6245
SLC25A19_tss_g1,SLC25A19_tss_g1,S5,13,15,0.0,7890
SLC25A19_tss_g1,SLC25A19_tss_g1,S6,13,13,0.0,7748
SLC25A19_tss_g1,SLC25A19_tss_g1,S7,7,13,0.0,8488
SLC25A19_tss_g2,SLC25A19_tss_g2,S1,9,15,0.0,8334
SLC25A19_tss_g2,SLC25A19_tss_g2,S2,7,12,0.0,8198
SLC25A19_tss_g2,SLC25A19_tss_g2,S3,5,14,0.0,8593
SLC25A19_tss_g2,SLC25A19_tss_g2,S4,6,13,0.0,7628
SLC25A19_tss_g2,SLC25A19_tss_g2,S5,6,15,0.0,8357
SLC25A19_tss_g2,SLC25A19_tss_g2,S6,9,13,0.0,7989
SLC25A19_tss_g2,SLC25A19_tss_g2,S7,7,13,0.0,8598
SLC25A19_tss_g3,SLC25A19_tss_g3,S1,8,15,0.0,8521
SLC25A19_tss_g3,SLC25A19_tss_g3,S2,7,12,0.0,8221
SLC25A19_tss_g3,SLC25A19_tss_g3,S3,6,14,0.0,8482
SLC25A19_tss_g3,SLC25A19_tss_g3,S4,6,13,0.0,7115
SLC25A19_tss_g3,SLC25A19_tss_g3,S5,3,15,0.0,8830
