study,asset,path,bytes,sha256_recomputed,sha256_frozen_manifest,sha256_sidecar,format_from_magic_bytes,expected_role,machine_verdict
GSE175721,GSE175721_CRISPR_seq.fa.gz,D:/Jepa project/data/external/v4/perturbation/GSE175721/GSE175721_CRISPR_seq.fa.gz,427,45e8d92cd4cfebb7b53233931cbee20bf5abdd5e82216efa6b0c7646658a673f,45e8d92cd4cfebb7b53233931cbee20bf5abdd5e82216efa6b0c7646658a673f,45e8d92cd4cfebb7b53233931cbee20bf5abdd5e82216efa6b0c7646658a673f,gzip,guide_reference_fasta,VERIFIED
GSE175721,GSE175721_RAW.tar,D:/Jepa project/data/external/v4/perturbation/GSE175721/GSE175721_RAW.tar,160399360,fa4f6a1214bef5d4cffdda0748fc58da79c0a75b557c59727d8c8cef6eeec6a1,fa4f6a1214bef5d4cffdda0748fc58da79c0a75b557c59727d8c8cef6eeec6a1,fa4f6a1214bef5d4cffdda0748fc58da79c0a75b557c59727d8c8cef6eeec6a1,tar,matrix_archive,VERIFIED
GSE178317,GSE178317_RAW.tar,D:/Jepa project/data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,1010032640,1fedaf717380a7d858544be56d1253f4c5bc6f7738f85833c5c1209d32e8fde2,1fedaf717380a7d858544be56d1253f4c5bc6f7738f85833c5c1209d32e8fde2,1fedaf717380a7d858544be56d1253f4c5bc6f7738f85833c5c1209d32e8fde2,tar,matrix_archive,VERIFIED
GSE178317,GSE178317_iTF_Microglia_RNAseq_abundance.csv.gz,D:/Jepa project/data/external/v4/perturbation/GSE178317/GSE178317_iTF_Microglia_RNAseq_abundance.csv.gz,1668560,0b323c815487ace813e5ce50feb0f1b3bf5ce60a0d9f8e2f7e7fad583bc60321,0b323c815487ace813e5ce50feb0f1b3bf5ce60a0d9f8e2f7e7fad583bc60321,0b323c815487ace813e5ce50feb0f1b3bf5ce60a0d9f8e2f7e7fad583bc60321,gzip,bulk_abundance_table,VERIFIED
GSE240609,GSE240609_RAW.tar,D:/Jepa project/data/external/v4/perturbation/GSE240609/GSE240609_RAW.tar,440320,1c6cd8c01fd4221a545a90576d3354bbc72da4cb22ccedb401d03f3612b19873,1c6cd8c01fd4221a545a90576d3354bbc72da4cb22ccedb401d03f3612b19873,1c6cd8c01fd4221a545a90576d3354bbc72da4cb22ccedb401d03f3612b19873,tar,bulk_counts_archive,VERIFIED
GSE241858,GSE241858_TREM2_RNAseq_countfile.txt.gz,D:/Jepa project/data/external/v4/perturbation/GSE241858/GSE241858_TREM2_RNAseq_countfile.txt.gz,509325,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496,gzip,bulk_counts_baseline,VERIFIED
GSE241858,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,D:/Jepa project/data/external/v4/perturbation/GSE241858/GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,940109,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03,gzip,bulk_counts_cytokine,VERIFIED
GSE254205,GSE254205_ad_raw.h5ad.gz,D:/Jepa project/data/external/v4/perturbation/GSE254205/GSE254205_ad_raw.h5ad.gz,734059992,eb351dc74725b5aaa260234b3891cfa74f398512880af69d8d6bd6abac5dfa0e,eb351dc74725b5aaa260234b3891cfa74f398512880af69d8d6bd6abac5dfa0e,eb351dc74725b5aaa260234b3891cfa74f398512880af69d8d6bd6abac5dfa0e,gzip,snrna_h5ad_RESERVED,VERIFIED
GSE254205,GSE254205_human_APOE3_IPSCmicroglia_ATAC.tar.gz,D:/Jepa project/data/external/v4/perturbation/GSE254205/GSE254205_human_APOE3_IPSCmicroglia_ATAC.tar.gz,1701960,65046cbe82780307e31bed3744de0977ac93d23c6db89d4d9cf78dc95c6cb313,65046cbe82780307e31bed3744de0977ac93d23c6db89d4d9cf78dc95c6cb313,65046cbe82780307e31bed3744de0977ac93d23c6db89d4d9cf78dc95c6cb313,gzip,atac_archive_RESERVED,VERIFIED
GSE254205,GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,D:/Jepa project/data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,2327894,ae3761514b5ac0bf37ae727ab956f6e6bee70c4dab52519ab2f20cc9a322d569,ae3761514b5ac0bf37ae727ab956f6e6bee70c4dab52519ab2f20cc9a322d569,ae3761514b5ac0bf37ae727ab956f6e6bee70c4dab52519ab2f20cc9a322d569,gzip,bulk_counts_archive,VERIFIED
