target_gene,n_cells,n_lanes,engagement_log2fc,engagement_sd_across_lanes,ref_log2fc,ref_fdr
SPTLC2,239,4,-1.8155,0.5181,-0.513695828168689,1.25786675575383e-33
AARS,18,1,-1.5603,,-0.224850613615327,1.0
NDUFS5,207,4,-1.4316,0.1356,-1.51203660888687,3.5710806209036e-75
NDUFA8,228,4,-1.3963,0.2997,-0.785600836274259,2.8361686459124703e-54
MAPK14,403,4,-1.2326,0.6527,-0.249101601841637,4.80964061100176e-06
INPP5D,407,4,-1.1894,0.4048,-0.568739467611516,3.51741110104518e-43
DCPS,145,4,-1.1756,0.4308,-0.325465343594963,4.1072377092357905e-09
ATP1A1,260,4,-1.1404,0.1419,-0.566593174161272,3.94305203084631e-20
IFNAR2,252,4,-1.0937,0.6197,-0.264079799099964,0.0004022834094639
PFN2,301,4,-1.08,0.5629,-0.324707108359413,1.16619213661272e-09
CDK12,265,4,-1.0389,0.1033,-0.508676223964655,8.28082519288032e-15
CSNK2A1,467,4,-0.9913,0.193,-0.879770169204097,1.86149680425881e-111
CSF2RB,273,4,-0.9055,0.3058,-0.185741430414546,0.307161052867568
DDX39B,61,4,-0.8609,0.3204,-0.206024323656846,1.0
MED1,195,4,-0.8304,0.4909,-0.232778706398166,0.154966955519157
CSF2RA,254,4,-0.8059,0.4489,-0.586904275243208,4.08328737441736e-24
CDC25B,342,4,-0.7389,0.3802,-0.272291936206188,0.0001181506190132
NDUFV2,394,4,-0.7146,0.1851,-0.673832820905813,2.09822331828229e-45
RPS6KB1,374,4,-0.6401,0.3512,-0.227162472413383,0.0119387061084176
TRIM24,464,4,-0.6385,0.1259,-0.14774746156178,1.0
DBF4,301,4,-0.6146,0.5567,-0.202765068119251,0.107879670197901
TGFBR2,564,4,-0.512,0.1272,-0.0787056348651284,1.0
TGFBR1,232,4,-0.4536,0.0551,-0.171561664828523,1.0
STK40,272,4,-0.4326,0.3319,-0.139848961198654,1.0
MAP2K6,388,4,-0.3984,0.086,-0.267663722499861,0.0015706540750963
RIOK2,45,3,-0.3644,0.3391,-0.191795192165166,1.0
TRAPPC3,228,4,-0.3285,0.0963,-0.243698965717987,0.348269885536082
ZMYND8,498,4,-0.2884,0.1872,-0.170206917890168,0.999394964243373
LSM6,13,1,-0.2551,,-0.0791768535868724,1.0
PKM,395,4,-0.2464,0.1304,-0.47972905466084,2.21861470995804e-07
CSF1R,246,4,-0.1814,0.4208,-0.166245707464681,1.0
CDK8,272,3,-0.1354,0.5373,-0.0198666191932229,1.0
PPM1D,297,4,-0.1144,0.4688,-0.0601458784815502,1.0
MTHFD2,400,4,-0.0511,0.3342,-0.0161642066060032,1.0
RPS6KB2,388,4,-0.002,0.2299,-0.0019797563039849,1.0
