seed,arm,holdout_donors,test_cells,train_cells,rare_labels_n,rare_test_cells,rare_test_donors,independent_Y_donor_equal_R2,independent_Y_rare_subgroup_R2,teacher_oracle_independent_Y_R2,student_teacher_latent_R2,direct_C_to_Y_baseline_R2
7,R_SINGLE_RICH_V5_LINEAR_PROXY,20,343,2257,19,51,9,0.41838347911834717,0.4216529130935669,0.4328494668006897,0.7663623094558716,0.2393236756324768
7,A_SINGLE_COMPLEMENTARY,20,343,2257,19,51,9,0.4059664011001587,0.4157847762107849,0.42402273416519165,0.295737624168396,0.2393236756324768
7,B_SHARED_TRUNK_THREE_HEADS,20,343,2257,19,51,9,0.4108961820602417,0.4126589298248291,0.4264201521873474,0.7922791242599487,0.2393236756324768
7,C_INDEPENDENT_CORE_FINE_RARE,20,343,2257,19,51,9,0.4025415778160095,0.396878182888031,0.4179280400276184,0.6943356394767761,0.2393236756324768
7,D_INDEPENDENT_WITH_TAIL_SPECIALIST,20,343,2257,19,51,9,0.40290701389312744,0.39454883337020874,0.4171980023384094,0.6513262987136841,0.2393236756324768
11,R_SINGLE_RICH_V5_LINEAR_PROXY,20,475,2125,19,73,11,0.4264172911643982,0.3465055227279663,0.4437793493270874,0.6936160326004028,0.20800769329071045
11,A_SINGLE_COMPLEMENTARY,20,475,2125,19,73,11,0.4114360809326172,0.32781463861465454,0.4355143904685974,0.21531599760055542,0.20800769329071045
11,B_SHARED_TRUNK_THREE_HEADS,20,475,2125,19,73,11,0.4160735011100769,0.32950496673583984,0.43517667055130005,0.7653141021728516,0.20800769329071045
11,C_INDEPENDENT_CORE_FINE_RARE,20,475,2125,19,73,11,0.40939778089523315,0.3203199505805969,0.42646002769470215,0.6367848515510559,0.20800769329071045
11,D_INDEPENDENT_WITH_TAIL_SPECIALIST,20,475,2125,19,73,11,0.4053118824958801,0.3102453947067261,0.4238240718841553,0.5855727791786194,0.20800769329071045
17,R_SINGLE_RICH_V5_LINEAR_PROXY,20,571,2029,19,75,12,0.4028449058532715,0.5633585453033447,0.4197770357131958,0.6777091026306152,0.22007226943969727
17,A_SINGLE_COMPLEMENTARY,20,571,2029,19,75,12,0.39061689376831055,0.5511338710784912,0.4131600260734558,0.21353983879089355,0.22007226943969727
17,B_SHARED_TRUNK_THREE_HEADS,20,571,2029,19,75,12,0.39650022983551025,0.5558185577392578,0.4123910069465637,0.7453076839447021,0.22007226943969727
17,C_INDEPENDENT_CORE_FINE_RARE,20,571,2029,19,75,12,0.3936534523963928,0.5489822626113892,0.40336185693740845,0.6150665283203125,0.22007226943969727
17,D_INDEPENDENT_WITH_TAIL_SPECIALIST,20,571,2029,19,75,12,0.39302587509155273,0.5433320999145508,0.4023199677467346,0.5505484342575073,0.22007226943969727
