source,donor_id,classes,cells,min_class_cells,max_class_cells
HVS,H15.03.003,24,12509,2,2345
HVS,H15.03.005,24,4495,4,723
HVS,H15.03.006,24,5012,3,1597
HVS,H15.06.008,23,2863,1,692
HVS,H15.06.017,23,3837,1,995
HVS,H16.03.001,23,1966,1,610
HVS,H16.03.002,23,2677,2,596
HVS,H16.03.008,22,3284,1,1139
HVS,H16.03.010,24,3407,3,754
HVS,H16.03.011,23,2847,2,1214
HVS,H16.06.003,23,4261,2,852
HVS,H16.06.008,22,4745,12,1322
HVS,H16.06.012,23,5866,1,1155
HVS,H17.03.012,21,3587,1,1095
HVS,H17.26.005,24,3236,1,1127
HVS,H18.03.002,24,3658,5,734
HVS,H18.03.003,22,3939,2,835
HVS,H18.03.008,24,4832,1,784
HVS,H18.03.012,22,5791,4,1057
HVS,H18.03.313,22,4292,1,1126
HVS,H18.03.323,24,4131,1,1017
HVS,H18.06.002,24,3453,3,1056
HVS,H18.06.004,23,5101,4,1412
HVS,H18.06.005,24,3914,1,1274
HVS,H18.06.359,24,5533,3,1467
HVS,H18.06.363,24,4416,5,695
HVS,H18.06.367,23,3949,1,903
HVS,H18.06.368,23,5613,1,1626
HVS,H18.26.404,24,5967,3,1107
HVS,H19.03.306,24,9858,6,2182
HVS,H19.03.310,24,5883,2,1737
HVS,H19.03.313,24,7592,2,2084
HVS,H19.03.314,23,5564,2,1066
HVS,H19.03.317,23,3160,1,803
HVS,H19.03.319,24,6948,1,1759
HVS,H19.03.322,21,3697,4,844
HVS,H19.06.356,22,6596,7,1467
HVS,H19.06.362,23,4623,2,1315
HVS,H19.26.404,23,9734,3,2819
HVS,H20.06.354,23,4257,2,1698
HVS,H20.26.406,21,1625,2,330
NPH52,human_NPH_1031,5,7946,82,7039
NPH52,human_NPH_1055,7,9306,124,7372
NPH52,human_NPH_1069,7,18792,589,9533
NPH52,human_NPH_1075,7,20233,483,9358
NPH52,human_NPH_873,7,19673,414,9437
NPH52,human_NPH_881,7,23972,459,9011
NPH52,human_NPH_884,7,13036,103,8428
NPH52,human_NPH_896,7,12561,154,9600
NPH52,human_NPH_898,7,3020,65,1447
NPH52,human_NPH_906,1,81,81,81
NPH52,human_NPH_907,7,14874,334,8865
NPH52,human_NPH_909,7,18076,348,8759
NPH52,human_NPH_910,7,17183,382,6259
NPH52,human_NPH_916,5,10490,64,9418
NPH52,human_NPH_923,7,15008,195,9523
NPH52,human_NPH_944,7,10680,123,8722
NPH52,human_NPH_976,7,21545,809,7691
SEA_AD,H19.33.004,43,119240,19,23464
SEA_AD,H20.33.001,44,137980,15,31861
SEA_AD,H20.33.004,26,45334,2,10365
SEA_AD,H20.33.008,44,127977,2,19206
SEA_AD,H20.33.011,45,146564,3,28873
SEA_AD,H20.33.012,46,145427,1,22127
SEA_AD,H20.33.013,45,153523,5,28497
SEA_AD,H20.33.017,46,138533,1,16198
SEA_AD,H20.33.018,44,121802,9,15106
SEA_AD,H20.33.020,46,118155,1,19345
SEA_AD,H20.33.024,26,41496,1,8907
SEA_AD,H20.33.026,45,151332,6,24464
SEA_AD,H20.33.027,45,169013,12,32316
SEA_AD,H20.33.029,44,118073,15,20763
SEA_AD,H20.33.030,25,53561,21,10297
SEA_AD,H20.33.031,45,122906,1,20247
SEA_AD,H20.33.035,46,142022,2,24199
SEA_AD,H20.33.036,45,60221,5,5234
SEA_AD,H20.33.037,45,56932,1,7402
SEA_AD,H20.33.038,24,12716,3,3232
SEA_AD,H20.33.039,44,167476,2,27340
SEA_AD,H20.33.040,45,149084,2,26528
SEA_AD,H20.33.041,26,41569,5,7963
SEA_AD,H20.33.043,26,42707,3,6790
SEA_AD,H20.33.044,26,47425,1,8991
SEA_AD,H21.33.001,45,154771,2,24316
SEA_AD,H21.33.002,46,130315,1,20570
SEA_AD,H21.33.005,25,36330,22,5860
SEA_AD,H21.33.009,26,14624,1,2406
SEA_AD,H21.33.010,26,27169,26,3384
SEA_AD,H21.33.012,26,35751,2,7532
SEA_AD,H21.33.014,26,41808,2,7610
SEA_AD,H21.33.017,26,32073,1,5177
SEA_AD,H21.33.018,45,104792,2,17161
SEA_AD,H21.33.025,26,35492,1,4598
SEA_AD,H21.33.028,45,101944,2,16393
SEA_AD,H21.33.032,46,174111,2,32114
SEA_AD,H21.33.033,44,80541,1,9602
SEA_AD,H21.33.034,24,9127,5,2946
SEA_AD,H21.33.035,44,123842,1,20327
SEA_AD,H21.33.036,45,140780,2,22064
SEA_AD,H21.33.039,46,70415,1,10549
SEA_AD,H21.33.040,26,42667,1,8073
SEA_AD,H21.33.042,25,48366,42,7696
SEA_AD,H21.33.043,26,42970,2,7830
SEA_AD,H21.33.047,26,39257,1,6704
