source,native_class,cells,donors,operators
HVS,Astrocyte,9005,41,1
HVS,Chandelier,889,41,1
HVS,Endothelial,299,32,1
HVS,L2/3 IT,43616,41,1
HVS,L4 IT,17373,41,1
HVS,L5 ET,278,36,1
HVS,L5 IT,15373,41,1
HVS,L5/6 NP,3076,41,1
HVS,L6 CT,3666,41,1
HVS,L6 IT,8733,41,1
HVS,L6 IT Car3,2687,41,1
HVS,L6b,4355,40,1
HVS,Lamp5,4371,41,1
HVS,Lamp5 Lhx6,2441,41,1
HVS,Microglia-PVM,2117,30,1
HVS,OPC,5734,41,1
HVS,Oligodendrocyte,30706,41,1
HVS,Pax6,788,41,1
HVS,Pvalb,10300,41,1
HVS,Sncg,2294,41,1
HVS,Sst,15404,41,1
HVS,Sst Chodl,179,38,1
HVS,VLMC,332,34,1
HVS,Vip,14702,41,1
NPH52,Astro,17877,16,1
NPH52,Endo,4884,17,1
NPH52,ExN,43980,14,1
NPH52,InN,18176,14,1
NPH52,MG,15264,16,1
NPH52,OPC,8825,16,1
NPH52,Oligo,127470,16,1
SEA_AD,Astrocyte,290621,46,10
SEA_AD,AstrocyteSubclass,51533,27,1
SEA_AD,CA2-4,6032,26,1
SEA_AD,CN LAMP5-CXCL14 GABASubclass,814,27,1
SEA_AD,CN ST18 GABASubclass,32865,27,1
SEA_AD,Chandelier,25803,46,10
SEA_AD,DG,38160,27,1
SEA_AD,EC IT,158182,44,2
SEA_AD,Endothelial,7744,46,10
SEA_AD,EndothelialSubclass,52098,27,1
SEA_AD,Ependymal,816,27,1
SEA_AD,EpendymalSubclass,3231,26,1
SEA_AD,Immune,138242,46,10
SEA_AD,L2/3 IT,681939,46,9
SEA_AD,L4 IT,321811,46,8
SEA_AD,L5 ET,10455,46,10
SEA_AD,L5 IT,244007,46,9
SEA_AD,L5/6 NP,36152,46,9
SEA_AD,L6 CT,92827,46,10
SEA_AD,L6 IT,111238,46,10
SEA_AD,L6 IT Car3,43123,46,8
SEA_AD,L6b,54113,46,10
SEA_AD,LSXSubclass,144,14,1
SEA_AD,Lamp5,97429,46,10
SEA_AD,Lamp5 Lhx6,55471,46,10
SEA_AD,Microglia-PVMSubclass,32286,27,1
SEA_AD,OB GabaSubclass,46,15,1
SEA_AD,OPC,80758,46,10
SEA_AD,OPCSubclass,10939,27,1
SEA_AD,Oligodendrocyte,312399,46,10
SEA_AD,OligodendrocyteSubclass,37304,27,1
SEA_AD,Pax6,21463,46,10
SEA_AD,Pvalb,219468,46,10
SEA_AD,STR D1 MSNSubclass,170803,27,1
SEA_AD,STR D2 MSNSubclass,166654,27,1
SEA_AD,STR Hybrid MSNSubclass,12267,27,1
SEA_AD,STR RSPO2 GABASubclass,542,27,1
SEA_AD,Sncg,38599,46,10
SEA_AD,Sst,132986,46,10
SEA_AD,Sst Chodl,2693,44,10
SEA_AD,Sst ChodlSubclass,6323,27,1
SEA_AD,Sub-CA1,32299,41,3
SEA_AD,VLMC & Perivascular,15358,46,10
SEA_AD,VLMCSubclass,53773,27,1
SEA_AD,Vip,213942,46,10
SEA_AD,VipSubclass,2461,27,1
