query_id,path,rows,bytes,sha256
DONOR_PARTITION_SOURCE,DONOR_PARTITION_SOURCE.csv,149,4427,4a752b6cc00536ca856d3cc8b4d30cb335a70a0131c71d99ddf864d89de15f5f
FIT_BROAD_MISSING,FIT_BROAD_MISSING.csv,3,77,0b137480df3f426ce4cdadcaa13b0e6c7f3f9d3faf40cd03db2f0ff7ca4e74f2
FIT_DONOR,FIT_DONOR.csv,104,3251,1ba13d963bc80fefd2d9c59d3d740b0c4772c4adcef38b5ab8e1cae117bcae1a
FIT_DONOR_NATIVE_CLASS,FIT_DONOR_NATIVE_CLASS.csv,2757,83974,64c3a39c3b437013b13f7b5bcd09a40efd1bb656e04b6d4470ad5283de920382
FIT_NATIVE_CLASS_COVERAGE,FIT_NATIVE_CLASS_COVERAGE.csv,77,2101,7162582f62ae54baa6e6c0774447f0c9719d247e3ea67e2283c96ea1f2d70f69
FIT_OPERATOR_NATIVE_CLASS,FIT_OPERATOR_NATIVE_CLASS.csv,289,15035,e95ca2121c540cd21bcdfc80fbb963cd691c0c43526b16bec6430c1835a3938f
FIT_SOURCE,FIT_SOURCE.csv,3,157,d657d4c179d0e8f8a7362c72041b7cc806637350ef8ff855265b4476d08a1450
FIT_SUPPORT_FINGERPRINT,FIT_SUPPORT_FINGERPRINT.csv,9,826,3f620106bdb4005a39e15eaa29049ce8dd55419431c0ef7059d60419e2201de5
PARTITION_SOURCE,PARTITION_SOURCE.csv,8,365,de1e5ff3d22e3b3770c0f7765f7471f1fa875ca356209f0dbf7c6894419f54c4
SEA_AD_FIT_DONOR_REGION,SEA_AD_FIT_DONOR_REGION.csv,343,15819,a8fa39e1c2d659c127eb5004aba0514628849bf12a10feb4e841320fd9ce81d4
