group,n,L_total__mean,L_total__min,L_total__p01,L_total__p05,L_total__p25,L_total__median,L_total__p75,L_total__p95,L_total__p99,L_total__max,L_ledger__mean,L_ledger__min,L_ledger__p01,L_ledger__p05,L_ledger__p25,L_ledger__median,L_ledger__p75,L_ledger__p95,L_ledger__p99,L_ledger__max,L_core__mean,L_core__min,L_core__p01,L_core__p05,L_core__p25,L_core__median,L_core__p75,L_core__p95,L_core__p99,L_core__max,L_outside_ledger__mean,L_outside_ledger__min,L_outside_ledger__p01,L_outside_ledger__p05,L_outside_ledger__p25,L_outside_ledger__median,L_outside_ledger__p75,L_outside_ledger__p95,L_outside_ledger__p99,L_outside_ledger__max,fraction_outside_ledger__mean,fraction_outside_ledger__min,fraction_outside_ledger__p01,fraction_outside_ledger__p05,fraction_outside_ledger__p25,fraction_outside_ledger__median,fraction_outside_ledger__p75,fraction_outside_ledger__p95,fraction_outside_ledger__p99,fraction_outside_ledger__max,fraction_inside_ledger__mean,fraction_inside_ledger__min,fraction_inside_ledger__p01,fraction_inside_ledger__p05,fraction_inside_ledger__p25,fraction_inside_ledger__median,fraction_inside_ledger__p75,fraction_inside_ledger__p95,fraction_inside_ledger__p99,fraction_inside_ledger__max,fraction_core__mean,fraction_core__min,fraction_core__p01,fraction_core__p05,fraction_core__p25,fraction_core__median,fraction_core__p75,fraction_core__p95,fraction_core__p99,fraction_core__max
H15.03.003,12509,22143.39147813574,1728.0,3958.52,6613.8,15080.0,20264.0,28413.0,41351.99999999999,50440.0,78078.0,22143.39147813574,1728.0,3958.52,6613.8,15080.0,20264.0,28413.0,41351.99999999999,50440.0,78078.0,21118.866815892557,1642.0,3746.84,6296.800000000001,14354.0,19311.0,27084.0,39462.99999999999,48177.76,74780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9532720001698021,0.8373634246820706,0.9423192929508281,0.9476059844541277,0.9513231948269668,0.9534883720930233,0.9555852928057096,0.9586164577618487,0.9610460888949034,0.9684837165869032
H15.03.005,4495,16529.825806451612,1260.0,1842.5,3796.4,9802.0,14987.0,21243.5,35201.5,44770.000000000044,66202.0,16529.825806451612,1260.0,1842.5,3796.4,9802.0,14987.0,21243.5,35201.5,44770.000000000044,66202.0,15764.051167964404,1181.0,1744.28,3592.7,9324.5,14295.0,20249.5,33657.0,42883.98000000001,62033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523866806378702,0.9156204980448652,0.9350721605588154,0.9409521326715111,0.9495817735532346,0.9534695529030953,0.9564452344940297,0.9600246713918051,0.9624892912616504,0.9695991390906645
H15.03.006,5012,28651.476256983242,1537.0,2943.98,5568.900000000001,13998.0,24037.0,38947.5,67347.24999999999,88818.68000000001,150725.0,28651.476256983242,1537.0,2943.98,5568.900000000001,13998.0,24037.0,38947.5,67347.24999999999,88818.68000000001,150725.0,27197.86073423783,1378.0,2517.11,4995.65,13210.0,22830.5,37025.75,64002.69999999999,84965.24000000008,143918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9433909249657071,0.4618826363792807,0.7595957759283867,0.8985860943750811,0.9473750662239214,0.9517977652704954,0.9546370625387184,0.9581749857293816,0.9604815144811438,0.9655011655011655
H15.06.008,2863,15613.62347188264,1235.0,1703.1000000000001,2579.0,6309.0,11732.0,20817.0,42441.80000000002,60827.14,90967.0,15613.62347188264,1235.0,1703.1000000000001,2579.0,6309.0,11732.0,20817.0,42441.80000000002,60827.14,90967.0,14863.526370939573,1129.0,1621.8,2449.6,6025.0,11182.0,19821.0,40196.600000000006,57929.72000000001,86758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9514589148737568,0.8904208998548622,0.9321969131884771,0.9399049339762983,0.9483288224367943,0.9525739644970415,0.9557099652300305,0.9596509378430123,0.962836255420522,0.969895880488909
H15.06.017,3837,13052.56059421423,1288.0,1523.36,2023.2000000000003,4595.0,9969.0,18152.0,34501.59999999999,47826.55999999998,98002.0,13052.56059421423,1288.0,1523.36,2023.2000000000003,4595.0,9969.0,18152.0,34501.59999999999,47826.55999999998,98002.0,12472.384675527755,1247.0,1443.96,1929.0,4379.0,9538.0,17395.0,32975.799999999996,45693.43999999997,93717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9548292559200499,0.9304347826086956,0.9399992209222221,0.9448264958429876,0.9515496273048254,0.9554831704668838,0.9587731280268224,0.9627365022135235,0.9652143248637006,0.9698261725155789
H16.03.001,1966,37845.24008138352,1459.0,2779.65,5806.25,22708.75,34870.0,50739.0,78703.75,102204.45,120302.0,37845.24008138352,1459.0,2779.65,5806.25,22708.75,34870.0,50739.0,78703.75,102204.45,120302.0,36051.50610376399,1258.0,2555.2500000000005,5428.5,21651.0,33200.5,48316.25,75419.0,97785.45,115521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9491170379419086,0.7318181818181818,0.86859437596302,0.9313359184027226,0.9492526460730256,0.952023547760593,0.9548865917460287,0.958770690469422,0.9605044000213072,0.9666128983169492
H16.03.002,2677,21338.076578259246,1423.0,2479.2,4672.2,12342.0,19212.0,28024.0,45626.0,55602.63999999998,78157.0,21338.076578259246,1423.0,2479.2,4672.2,12342.0,19212.0,28024.0,45626.0,55602.63999999998,78157.0,20311.02801643631,1343.0,2352.08,4453.8,11747.0,18253.0,26674.0,43564.6,52943.19999999995,74336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95108178096928,0.9072657743785851,0.9340486584125091,0.9408424036437575,0.9487212774243801,0.9516237402015677,0.9543979362569693,0.9587331310471348,0.9609250863420141,0.9650178076770874
H16.03.008,3284,25585.777101096224,1567.0,3310.66,5953.15,15343.75,22886.0,33253.0,54137.2,66195.68000000001,98856.0,25585.777101096224,1567.0,3310.66,5953.15,15343.75,22886.0,33253.0,54137.2,66195.68000000001,98856.0,24336.52862362972,1444.0,3129.83,5654.2,14559.25,21746.5,31641.5,51522.049999999996,63279.020000000004,94149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9501258662702906,0.8742184626700993,0.9298872761826976,0.9410638947945731,0.9480554135885322,0.9509157920698205,0.9534246922743437,0.9569246652320498,0.959410339262767,0.9626045834849036
H16.03.010,3407,21140.45083651306,1273.0,1818.0,3162.2,8853.0,17575.0,27610.0,54869.899999999994,77662.80000000002,120282.0,21140.45083651306,1273.0,1818.0,3162.2,8853.0,17575.0,27610.0,54869.899999999994,77662.80000000002,120282.0,20095.972409744645,1153.0,1623.06,2932.5,8354.5,16663.0,26208.0,52286.399999999994,73979.56,115045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.946326230889427,0.6567774936061381,0.8859468900290358,0.9278350634991405,0.9438107771873707,0.9498616311248576,0.9534482001348554,0.9573326640172907,0.9601138942177521,0.9684610562607742
H16.03.011,2847,28552.84755883386,1207.0,2384.48,4692.900000000001,13573.5,22956.0,37670.0,69540.79999999997,100003.68,168986.0,28552.84755883386,1207.0,2384.48,4692.900000000001,13573.5,22956.0,37670.0,69540.79999999997,100003.68,168986.0,27128.55813136635,1135.0,2158.02,4385.2,12833.5,21785.0,35830.5,66246.39999999998,95373.83999999997,160999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473923264737787,0.6060295969773299,0.8967248735168466,0.9319555405894415,0.9461874993338613,0.9503578399479505,0.9530188244011513,0.9566086024762344,0.9595973114153945,0.9692432213678672
