fixture,regime,folds_attempted,folds_finite,mean_score,min_score,max_score
null,D1_CURRENT,4,4,0.001922231125739816,0.0007318429272694819,0.003202337507823009
null,D2_TRAIN_ONLY,4,4,0.0018620935179896837,0.0006962897547639871,0.0031557791999673886
null,D3_NO_DONOR_ADAPTATION,4,4,0.00186209863596061,0.0006963360919032503,0.0031551818895165632
within_donor_signal,D1_CURRENT,4,4,0.7944503209425493,0.783306948121057,0.8018679540443902
within_donor_signal,D2_TRAIN_ONLY,4,4,0.7954957108861376,0.7838887699933487,0.802716613065415
within_donor_signal,D3_NO_DONOR_ADAPTATION,4,4,0.7954968757604703,0.7838950137787416,0.8027201652266888
donor_scale_nuisance,D1_CURRENT,4,4,0.0019222311257398178,0.0007318429272694834,0.00320233750782301
donor_scale_nuisance,D2_TRAIN_ONLY,4,4,0.0014595604079674653,0.0002815707354873568,0.002186961589979476
donor_scale_nuisance,D3_NO_DONOR_ADAPTATION,4,4,0.0014588437492824196,0.00028167371723251147,0.0021872377650360617
within_donor_signal_plus_donor_scale,D1_CURRENT,4,4,0.7944503209425492,0.783306948121057,0.8018679540443899
within_donor_signal_plus_donor_scale,D2_TRAIN_ONLY,4,4,0.7802702789424563,0.767752091815893,0.7890868065969108
within_donor_signal_plus_donor_scale,D3_NO_DONOR_ADAPTATION,4,4,0.779460478166092,0.76688890723142,0.7881617950072316
per_cell_denominator_channel,D1_CURRENT,4,4,0.003063022457029339,0.0018647298371541326,0.005824533407314231
per_cell_denominator_channel,D2_TRAIN_ONLY,4,4,0.003166492656478761,0.001923237799656454,0.0058650851310681875
per_cell_denominator_channel,D3_NO_DONOR_ADAPTATION,4,4,0.0027368002728934016,0.0008186476661278712,0.0050947022212935265
per_cell_denominator_channel_no_target_link,D1_CURRENT,4,4,0.0026347437036822094,0.0009161706487226102,0.004385857223112084
per_cell_denominator_channel_no_target_link,D2_TRAIN_ONLY,4,4,0.00264039203618925,0.0008560006867805585,0.004071953699641652
per_cell_denominator_channel_no_target_link,D3_NO_DONOR_ADAPTATION,4,4,0.002624032508990768,0.0008648252461294841,0.0041003743648021914
