fold,source,total_donors,train_donors,heldout_donors,per_train_donor_weight_in_source_balanced_screen,per_heldout_donor_weight_in_primary_score,max_total_score_drop_if_one_heldout_donor_forced_r2_zero_from_1
0,HVS,41,30,11,0.011111111111111112,0.030303030303030304,0.030303030303030304
0,NPH52,17,12,5,0.027777777777777776,0.06666666666666667,0.06666666666666667
0,SEA_AD,46,34,12,0.00980392156862745,0.027777777777777776,0.027777777777777776
1,HVS,41,31,10,0.010752688172043012,0.03333333333333333,0.03333333333333333
1,NPH52,17,13,4,0.02564102564102564,0.08333333333333333,0.08333333333333333
1,SEA_AD,46,34,12,0.00980392156862745,0.027777777777777776,0.027777777777777776
2,HVS,41,31,10,0.010752688172043012,0.03333333333333333,0.03333333333333333
2,NPH52,17,13,4,0.02564102564102564,0.08333333333333333,0.08333333333333333
2,SEA_AD,46,35,11,0.009523809523809525,0.030303030303030304,0.030303030303030304
3,HVS,41,31,10,0.010752688172043012,0.03333333333333333,0.03333333333333333
3,NPH52,17,13,4,0.02564102564102564,0.08333333333333333,0.08333333333333333
3,SEA_AD,46,35,11,0.009523809523809525,0.030303030303030304,0.030303030303030304
