molecular_address_index,molecular_address_id,symbol,biotype,feature_role,split_namespace,split_hash
0,ENSG00000000003,TSPAN6,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,87464b2240ebdd0a8525507075a14d7e1495e66a4ee6aa3128887b605cab6393
1,ENSG00000000005,TNMD,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,cdaeb8beddbfed31b5f4e8d220a61b39108806e986c282f3f34adbaaaf4dc105
2,ENSG00000000419,DPM1,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,6329a513993cf1b27e322e526b5764edb453227dd20e1a013bbed733436ea566
3,ENSG00000000457,SCYL3,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,dc867b91f67918eb402dab9055cdd350030834bfce773ecc9d95934c2de0fa33
4,ENSG00000000460,C1orf112,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,80572a6735226c04bbe6c401cb99b37dae7915f8e007f764d1327a2ae78850c4
5,ENSG00000000938,FGR,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,e0a4a33528d463dc8cc48e21c0053e4f698a2694e715ed6cad65ca8b66136662
6,ENSG00000000971,CFH,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,74273f78c30650e7e687accd3e92e5dd090119b5097143057df19d00c905cd09
7,ENSG00000001036,FUCA2,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,a31e37560b9b8ade3f4f9f7dfa355b8b8a573df1eb30cc539b2671b876212a61
8,ENSG00000001084,GCLC,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,f7b16d62e9641977d5bec166e6abb3e3a8bfe3dcb0ad60fc9a8fb5aa35dbf626
9,ENSG00000001167,NFYA,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,c3617a937ce7b5c2eef2984b4eef7cdfd23afe81c36bdfbcf3e47d85453a63f5
10,ENSG00000001460,STPG1,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,4d1c903f1224cc655e35a8aaeda49f2ce0849089cec8bf15bb40d71d64324211
11,ENSG00000001461,NIPAL3,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,8f5295f0231bd01d5d672dc1563d367ba88cf04edf58dc336b0b5d0671b4dd7a
12,ENSG00000001497,LAS1L,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,b2a324a03e8c31fd9e469fb7fb73d55931fdb4ab1c0de74348edba30f835939c
13,ENSG00000001561,ENPP4,protein_coding,COHERENCE_HOLDOUT,T0-MTG-FEATURE-SPLIT-V2,2a28070f565e8469c88c4a46b2be0071276cd219381ecb069811e330302f24e7
14,ENSG00000001617,SEMA3F,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,d330737182795af1e06bb325da461098d13f6cef284be59c6ab3705f30d632bc
15,ENSG00000001626,CFTR,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,6d50356f640af1258722afc10d5c1ebc6236ef659f8272a0610c8b509aab03b6
16,ENSG00000001629,ANKIB1,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,d424c55ef7fd4152a209be04ee59b1cf24b95c3e45aeac90e734484dd5efe7ff
17,ENSG00000001630,CYP51A1,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,ac821d0db9d69599d52969ebf4bf47d2652fc25539ac134e46e8df4c7c5f9647
18,ENSG00000001631,KRIT1,protein_coding,COHERENCE_HOLDOUT,T0-MTG-FEATURE-SPLIT-V2,1a1165671202baf97d87356c4ee2b5fe804f5f112999c93c788da5ae2e3eb666
19,ENSG00000002016,RAD52,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,74cd430dce32ffc9f40272fe2f65e6a918524a76e9038ad1a70e9c5aa24af5e0
20,ENSG00000002330,BAD,protein_coding,SCORING,T0-MTG-FEATURE-SPLIT-V2,8c2bb4894373ac5d6ec5e019e5faa21c54e3e50d2d7f937421d559505c53bfbf
