gene,in_top20_tier1,in_prior_anchor_group,in_broad_state_control_group,in_special_review_group,audit_selection_reason,final_tier,therapeutic_like_score_percentile,gliosis_penalty_percentile,broad_shift_score_percentile,graph_neighborhood_label,prior_candidate_flag,targeted_manifold_audit_priority,audit_priority,audit_groups,audit_group::top20_tier1,audit_group::prior_anchor,audit_group::broad_state_caution_control,audit_group::special_review,promotion_reason,deprioritization_reason,scorecard_interpretation,graph_interpretation,tau_lowering_score_percentile,neuron_preservation_score_percentile,known_biology_note,claim_boundary
UGCG,True,False,False,True,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,scorecard_supported_isolated_hypothesis,99.62630792227203,43.90881913303439,87.4439461883408,isolated_high_score_gene,True,priority_1_top_tier1,priority_1_top_tier1,top20_tier1|special_review,True,False,False,True,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.20627802690582,98.6173393124066,Glycosphingolipid synthesis enzyme and lipid-state hypothesis anchor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
SLC38A9,True,False,False,True,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,scorecard_supported_isolated_hypothesis,99.2899850523169,14.8355754857997,88.71449925261584,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1|special_review,True,False,False,True,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.355754857997,88.67713004484304,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
MDM2,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,99.2526158445441,56.98804185351271,67.63826606875935,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.91629297458894,94.76831091180868,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
SMARCA4,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,99.1778774289985,48.01943198804185,79.11061285500747,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,96.9357249626308,97.23467862481316,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
AP1G1,True,False,False,True,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,scorecard_supported_isolated_hypothesis,99.14050822122572,14.8355754857997,86.6965620328849,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1|special_review,True,False,False,True,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,90.50822122571002,97.68310911808668,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
TLR2,True,True,False,False,top-20 Tier-1 therapeutic-like percentile; pre-specified prior biological anchor,scorecard_supported_isolated_hypothesis,99.10313901345292,47.23467862481316,73.24364723467862,isolated_high_score_gene,True,priority_1_top_tier1,priority_1_top_tier1,top20_tier1|prior_anchor,True,True,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,97.12257100149478,96.52466367713004,Innate immune pattern-recognition receptor previously prioritized by the project.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
NEMF,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,99.06576980568012,14.8355754857997,88.52765321375186,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.80418535127056,69.99252615844544,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
BAZ1A,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.87892376681614,14.8355754857997,89.57399103139014,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,95.62780269058295,92.60089686098657,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
GMDS,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.72944693572497,14.8355754857997,87.81763826606877,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,96.44992526158444,89.0881913303438,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
BTBD9,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.69207772795215,14.8355754857997,83.74439461883408,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,94.43198804185351,93.19880418535126,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
ARHGEF7,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.65470852017935,14.8355754857997,56.98804185351271,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,94.88041853512703,92.1898355754858,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
LRCH3,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.6173393124066,44.09566517189836,79.26008968609865,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,97.19730941704036,92.67563527653216,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
KIF1B,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.5799701046338,14.8355754857997,52.16741405082213,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.05680119581464,68.64723467862481,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
RAD51B,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.542600896861,14.8355754857997,68.34828101644244,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,95.92675635276532,89.27503736920778,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PI4KA,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.4678624813154,14.8355754857997,48.16890881913303,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,90.13452914798206,95.440956651719,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PTPRE,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.4304932735426,14.8355754857997,88.04185351270553,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,93.12406576980568,93.01195814648727,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
STARD13,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.3931240657698,14.8355754857997,80.68011958146487,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,94.73094170403589,90.05979073243647,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
