gene,scope,AT8_delta,A_beta_6e10_delta,GFAP_delta,Iba1_delta,NeuN_delta,manifold_safety_status,prediction_safety_status,perturbation_success,failure_reason,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction,manifold_nn_backend
ATRX,graph_connected,-0.028009982779622,-0.0260544139891862,-0.0383776277303695,0.0052887629717588,0.0128503972664475,within_manifold_threshold,not_separately_audited,True,,0.0001913090527523,0.0001540164521429,0.0028148174751549,0.0095683196559548,0.0174692813307046,0.0,torch
CAMK2G,graph_connected,-0.021642480045557,-0.0337390750646591,-0.0301726795732975,-0.0035574878565967,0.0064156325533986,within_manifold_threshold,not_separately_audited,True,,0.0002120893041137,0.0001493507879786,0.0027603232301771,0.0095683196559548,0.0174692813307046,0.0,torch
CSMD3,graph_connected,-0.016098016873002,0.0049370848573744,-0.0280878897756338,-0.0173658784478902,0.0179611854255199,within_manifold_threshold,not_separately_audited,True,,0.0002178147260565,0.000171495907125,0.0027730884030461,0.0095683196559548,0.0174692813307046,0.0,torch
EIF2AK4,graph_connected,-0.031653556972742,-0.0476512536406517,0.0073442966677248,-0.0221962239593267,0.0023560456465929,within_manifold_threshold,not_separately_audited,True,,0.0004203010175842,0.0003316328802611,0.0028125275857746,0.0095683196559548,0.0174692813307046,0.0,torch
LPIN2,graph_connected,-0.0171123314648866,-0.0172061938792467,-0.0311201158910989,-0.0130580747500061,0.0080102439969778,within_manifold_threshold,not_separately_audited,True,,0.0002308140683453,0.0002630953968036,0.0027675684541463,0.0095683196559548,0.0174692813307046,0.0,torch
MAP3K7,graph_connected,-0.0251056030392646,-0.006897450890392,-0.0169853754341602,0.0071902931667864,0.014924582093954,within_manifold_threshold,not_separately_audited,True,,0.0002041109546553,0.0001527122221887,0.0027614238206297,0.0095683196559548,0.0174692813307046,0.0,torch
MTX2,graph_connected,-0.0211531724780797,-0.0246805120259523,-0.0097788609564304,-0.0049015283584594,0.0123772593215107,within_manifold_threshold,not_separately_audited,True,,0.0001687396434135,0.0001199616744997,0.002777189714834,0.0095683196559548,0.0174692813307046,0.0,torch
NSF,graph_connected,-0.0216949861496686,-0.0181836374104022,-0.0178214851766824,-0.0151725243777036,0.009839623235166,within_manifold_threshold,not_separately_audited,True,,0.0002299817861057,0.0001798402081476,0.0027371004689484,0.0095683196559548,0.0174692813307046,0.0,torch
RPLP1,graph_connected,-0.0207638088613748,-0.0466378517448902,-0.024734204635024,-0.0049903271719813,0.0094129713252186,within_manifold_threshold,not_separately_audited,True,,0.0002188660728279,0.0002036214864347,0.0027153219562023,0.0095683196559548,0.0174692813307046,0.0,torch
SLC38A2,graph_connected,-0.0262320581823587,-0.056337721645832,-0.0131799420341849,-0.0093631586059927,0.0077147791162133,within_manifold_threshold,not_separately_audited,True,,0.0002335468452656,0.0002031545591307,0.002693838905543,0.0095683196559548,0.0174692813307046,0.0,torch
SYT1,graph_connected,-0.0223527885973453,-0.0105067398399114,0.0048094117082655,-0.0249208956956863,0.0094177415594458,within_manifold_threshold,not_separately_audited,True,,0.0001958742213901,0.0001950685109477,0.002785199554637,0.0095683196559548,0.0174692813307046,0.0,torch
TCERG1,graph_connected,-0.0165688749402761,-0.0276952590793371,-0.0237071402370929,-0.0092265661805868,0.0079191187396645,within_manifold_threshold,not_separately_audited,True,,0.0002119855053024,0.0001911214494612,0.002788939513266,0.0095683196559548,0.0174692813307046,0.0,torch
TMEM165,graph_connected,-0.0195618513971567,-0.0353550352156162,0.0020771401468664,-0.0082017267122864,0.0186712257564067,within_manifold_threshold,not_separately_audited,True,,0.0001760875165928,0.0002111424400936,0.0027625162620097,0.0095683196559548,0.0174692813307046,0.0,torch
UBA3,graph_connected,-0.0142774246633052,-0.0205586925148963,-0.0333007760345935,-0.026432616636157,0.0095234140753746,within_manifold_threshold,not_separately_audited,True,,0.0001900754723465,0.0001411752746207,0.0027812235057353,0.0095683196559548,0.0174692813307046,0.0,torch
UBE2E3,graph_connected,-0.014862491749227,-0.0341022089123725,-0.0105595774948596,-0.0114655056968331,0.0130197396501898,within_manifold_threshold,not_separately_audited,True,,0.0001709957577986,0.0001329714286839,0.0027291649021208,0.0095683196559548,0.0174692813307046,0.0,torch
VPS39,graph_connected,-0.0198553260415792,-0.0560851134359836,-0.0057492605410516,-0.0030648105312138,0.0150542967021465,within_manifold_threshold,not_separately_audited,True,,0.0001763105974532,0.0001304904435528,0.0027801271062344,0.0095683196559548,0.0174692813307046,0.0,torch
WIPF2,graph_connected,-0.0142328608781099,-0.0280426815152168,0.0136106740683317,-0.0293739680200815,0.0238303393125534,within_manifold_threshold,not_separately_audited,True,,0.0002102619037032,0.0001558285584906,0.0027391940820962,0.0095683196559548,0.0174692813307046,0.0,torch
ZKSCAN1,graph_connected,-0.0230648536235094,-0.0475657619535923,0.0038033013697713,-0.0062638265080749,0.0080097150057554,within_manifold_threshold,not_separately_audited,True,,0.0001968723663594,0.0001663311122683,0.0027370748575776,0.0095683196559548,0.0174692813307046,0.0,torch
ZRANB2,graph_connected,-0.0243048835545778,-0.0422458797693252,0.0113420970737934,-0.0201322380453348,0.0221853181719779,within_manifold_threshold,not_separately_audited,True,,0.0004216553352307,0.000396569725126,0.002715348964557,0.0095683196559548,0.0174692813307046,0.0,torch
