dataset_id,dataset_name,required_file_type,expected_content,local_expected_path,official_accession_or_source,required_for_analysis,priority,notes
gse160936,GSE160936 pTau-linked glial support,expression_matrix,gene-by-cell or cell-by-gene expression matrix with gene symbols,data/external/gse160936/,GSE160936,True,high,needed before full support analysis
gse160936,GSE160936 pTau-linked glial support,cell_metadata,"cell/sample metadata with cell type, donor/sample, disease/pathology fields",data/external/gse160936/,GSE160936,True,high,needed before full support analysis
gse160936,GSE160936 pTau-linked glial support,pathology_metadata,"tau/pTau, amyloid/A beta, AD/control, or mechanism-specific readouts",data/external/gse160936/,GSE160936,False,high,needed before full support analysis
gse160936,GSE160936 pTau-linked glial support,gene_metadata,feature metadata or gene-symbol mapping,data/external/gse160936/,GSE160936,False,medium,needed before full support analysis
gse125050,GSE125050 pathology-confirmed AD cell-type support,expression_matrix,gene-by-cell or cell-by-gene expression matrix with gene symbols,data/external/gse125050/,GSE125050,True,high,needed before full support analysis
gse125050,GSE125050 pathology-confirmed AD cell-type support,cell_metadata,"cell/sample metadata with cell type, donor/sample, disease/pathology fields",data/external/gse125050/,GSE125050,True,high,needed before full support analysis
gse125050,GSE125050 pathology-confirmed AD cell-type support,pathology_metadata,"tau/pTau, amyloid/A beta, AD/control, or mechanism-specific readouts",data/external/gse125050/,GSE125050,False,high,needed before full support analysis
gse125050,GSE125050 pathology-confirmed AD cell-type support,gene_metadata,feature metadata or gene-symbol mapping,data/external/gse125050/,GSE125050,False,medium,needed before full support analysis
gse157827,GSE157827 broad AD/control snRNA-seq support,expression_matrix,gene-by-cell or cell-by-gene expression matrix with gene symbols,data/external/gse157827/,GSE157827,True,high,needed before full support analysis
gse157827,GSE157827 broad AD/control snRNA-seq support,cell_metadata,"cell/sample metadata with cell type, donor/sample, disease/pathology fields",data/external/gse157827/,GSE157827,True,high,needed before full support analysis
gse157827,GSE157827 broad AD/control snRNA-seq support,pathology_metadata,"tau/pTau, amyloid/A beta, AD/control, or mechanism-specific readouts",data/external/gse157827/,GSE157827,False,high,needed before full support analysis
gse157827,GSE157827 broad AD/control snRNA-seq support,gene_metadata,feature metadata or gene-symbol mapping,data/external/gse157827/,GSE157827,False,medium,needed before full support analysis
gse138852,GSE138852 Grubman-Leng entorhinal cortex smoke test,expression_matrix,gene-by-cell or cell-by-gene expression matrix with gene symbols,data/external/gse138852/,GSE138852,True,already_partly_available,local readiness found for lightweight analysis; deeper metadata may still be needed
gse138852,GSE138852 Grubman-Leng entorhinal cortex smoke test,cell_metadata,"cell/sample metadata with cell type, donor/sample, disease/pathology fields",data/external/gse138852/,GSE138852,True,already_partly_available,local readiness found for lightweight analysis; deeper metadata may still be needed
gse138852,GSE138852 Grubman-Leng entorhinal cortex smoke test,pathology_metadata,"tau/pTau, amyloid/A beta, AD/control, or mechanism-specific readouts",data/external/gse138852/,GSE138852,False,already_partly_available,local readiness found for lightweight analysis; deeper metadata may still be needed
gse138852,GSE138852 Grubman-Leng entorhinal cortex smoke test,gene_metadata,feature metadata or gene-symbol mapping,data/external/gse138852/,GSE138852,False,already_partly_available,local readiness found for lightweight analysis; deeper metadata may still be needed
gse174367,GSE174367 Morabito optional secondary stress-test,expression_matrix,gene-by-cell or cell-by-gene expression matrix with gene symbols,data/external/gse174367/,GSE174367,True,high,needed before full support analysis
gse174367,GSE174367 Morabito optional secondary stress-test,cell_metadata,"cell/sample metadata with cell type, donor/sample, disease/pathology fields",data/external/gse174367/,GSE174367,True,high,needed before full support analysis
gse174367,GSE174367 Morabito optional secondary stress-test,pathology_metadata,"tau/pTau, amyloid/A beta, AD/control, or mechanism-specific readouts",data/external/gse174367/,GSE174367,False,high,needed before full support analysis
gse174367,GSE174367 Morabito optional secondary stress-test,gene_metadata,feature metadata or gene-symbol mapping,data/external/gse174367/,GSE174367,False,medium,needed before full support analysis
