dataset_id,accession,file_id,file_type,source_url_or_accession,expected_filename,local_path,download_attempted,download_success,file_size_bytes,checksum_sha256,required_for_analysis,notes
gse160936,GSE160936,gse160936_expression_matrix,expression_matrix,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160936,GSE160936_expression_matrix,data/external/gse160936/raw/,False,False,0,,True,manual acquisition required
gse160936,GSE160936,gse160936_metadata,metadata,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160936,GSE160936_metadata,data/external/gse160936/raw/,False,False,0,,True,manual acquisition required
gse160936,GSE160936,gse160936_gene_metadata,gene_metadata,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160936,GSE160936_gene_metadata,data/external/gse160936/raw/,False,False,0,,False,manual acquisition required
gse125050,GSE125050,gse125050_expression_matrix,expression_matrix,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125050,GSE125050_expression_matrix,data/external/gse125050/raw/,False,False,0,,True,manual acquisition required
gse125050,GSE125050,gse125050_metadata,metadata,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125050,GSE125050_metadata,data/external/gse125050/raw/,False,False,0,,True,manual acquisition required
gse125050,GSE125050,gse125050_gene_metadata,gene_metadata,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125050,GSE125050_gene_metadata,data/external/gse125050/raw/,False,False,0,,False,manual acquisition required
gse157827,GSE157827,GSE157827_series_matrix.txt.gz,expression,GSE157827,GSE157827_series_matrix.txt.gz,data/external/public_schema_audit/GSE157827/GSE157827_series_matrix.txt.gz,False,False,4203,ac10882d0a957bb1aa183e870f2ced329248fa8586a4bb66d5a1454e80d5972d,True,pre-existing local file
gse138852,GSE138852,GSE138852_counts.csv.gz,expression,GSE138852,GSE138852_counts.csv.gz,data/external/grubman_gse138852/GSE138852_counts.csv.gz,False,False,12466052,cf4b29e8acc215b8c697b6c10aff505028b698d7ea00b7cea4e5f4d3f4b3420c,True,pre-existing local file
gse138852,GSE138852,GSE138852_covariates.csv.gz,metadata,GSE138852,GSE138852_covariates.csv.gz,data/external/grubman_gse138852/GSE138852_covariates.csv.gz,False,False,86792,b1792071bee9942f7cd18ef90fd350d611e06dd8a2d478b45f55c00d8b9896da,True,pre-existing local file
gse138852,GSE138852,GSE138852_series_matrix.txt.gz,expression,GSE138852,GSE138852_series_matrix.txt.gz,data/external/public_schema_audit/GSE138852/GSE138852_series_matrix.txt.gz,False,False,3483,f89f218f5c5ee53323d07c88edb960af6ede760b33ad342c4d911e05fb6c270b,True,pre-existing local file
gse174367,GSE174367,GSE174367_snRNA-seq_cell_meta.csv.gz,metadata,GSE174367,GSE174367_snRNA-seq_cell_meta.csv.gz,data/external/gse174367/GSE174367_snRNA-seq_cell_meta.csv.gz,False,False,435170,ab1a029deb43196e2bb1fea5907d838885750cfff3850c600c07588c7c7cdb2b,True,pre-existing local file
gse174367,GSE174367,GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,expression,GSE174367,GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,data/external/gse174367/GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,False,False,273975534,6ba98a1af8772af08c8cdd5e5e63eebb0890daed48cac2e1b8961dcc67069b77,True,pre-existing local file
gse174367,GSE174367,GSE174367_series_matrix.txt.gz,expression,GSE174367,GSE174367_series_matrix.txt.gz,data/external/public_schema_audit/GSE174367/GSE174367_series_matrix.txt.gz,False,False,13280,e36488f44e30d0bdf48f5864b8cd091629203defecbb41d9e7fec721b5115928,True,pre-existing local file
