feature,source_family,proxy_risk_level,matched_terms,recommended_use,allowed_in_full_context_benchmark,allowed_in_restricted_sensitivity
composition_total_cells,cell_count,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_count_Subclass_Microglia_PVM,broad_subclass_composition,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_prop_Subclass_Microglia_PVM,broad_subclass_composition,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_count_Supertype_Lymphocyte,fine_cell_state_supertype,moderate_cell_state_proxy_risk,supertype,sensitivity_only,True,True
composition_prop_Supertype_Lymphocyte,fine_cell_state_supertype,moderate_cell_state_proxy_risk,supertype,sensitivity_only,True,True
composition_count_Supertype_Micro_PVM_1,fine_cell_state_supertype,moderate_cell_state_proxy_risk,supertype,sensitivity_only,True,True
composition_prop_Supertype_Micro_PVM_1,fine_cell_state_supertype,moderate_cell_state_proxy_risk,supertype,sensitivity_only,True,True
composition_count_Supertype_Micro_PVM_2,fine_cell_state_supertype,moderate_cell_state_proxy_risk,supertype,sensitivity_only,True,True
composition_prop_Supertype_Micro_PVM_2,fine_cell_state_supertype,moderate_cell_state_proxy_risk,supertype,sensitivity_only,True,True
composition_count_Supertype_Micro_PVM_2_1_SEAAD,fine_cell_state_supertype,high_pathology_proxy_risk,seaa;supertype,exclude_from_primary_safe_benchmark,True,False
composition_prop_Supertype_Micro_PVM_2_1_SEAAD,fine_cell_state_supertype,high_pathology_proxy_risk,seaa;supertype,exclude_from_primary_safe_benchmark,True,False
composition_count_Supertype_Micro_PVM_2_3_SEAAD,fine_cell_state_supertype,high_pathology_proxy_risk,seaa;supertype,exclude_from_primary_safe_benchmark,True,False
composition_prop_Supertype_Micro_PVM_2_3_SEAAD,fine_cell_state_supertype,high_pathology_proxy_risk,seaa;supertype,exclude_from_primary_safe_benchmark,True,False
composition_count_Supertype_Micro_PVM_3_SEAAD,fine_cell_state_supertype,high_pathology_proxy_risk,seaa;supertype,exclude_from_primary_safe_benchmark,True,False
composition_prop_Supertype_Micro_PVM_3_SEAAD,fine_cell_state_supertype,high_pathology_proxy_risk,seaa;supertype,exclude_from_primary_safe_benchmark,True,False
composition_count_Supertype_Micro_PVM_4_SEAAD,fine_cell_state_supertype,high_pathology_proxy_risk,seaa;supertype,exclude_from_primary_safe_benchmark,True,False
composition_prop_Supertype_Micro_PVM_4_SEAAD,fine_cell_state_supertype,high_pathology_proxy_risk,seaa;supertype,exclude_from_primary_safe_benchmark,True,False
composition_count_Supertype_Monocyte,fine_cell_state_supertype,moderate_cell_state_proxy_risk,supertype,sensitivity_only,True,True
composition_prop_Supertype_Monocyte,fine_cell_state_supertype,moderate_cell_state_proxy_risk,supertype,sensitivity_only,True,True
composition_count_Class_Non_neuronal_and_Non_neural,broad_class_composition,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_prop_Class_Non_neuronal_and_Non_neural,broad_class_composition,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_count_Brain Region_Human_MTG,other_composition_feature,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_prop_Brain Region_Human_MTG,other_composition_feature,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_count_Brain Region_Human_MTG_All_Layers,other_composition_feature,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_prop_Brain Region_Human_MTG_All_Layers,other_composition_feature,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_count_Brain Region_Human_MTG_L5,other_composition_feature,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_prop_Brain Region_Human_MTG_L5,other_composition_feature,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
composition_pseudoprogression_mean,pseudoprogression_summary,high_pathology_proxy_risk,pseudoprogression,exclude_from_primary_safe_benchmark,True,False
composition_pseudoprogression_median,pseudoprogression_summary,high_pathology_proxy_risk,pseudoprogression,exclude_from_primary_safe_benchmark,True,False
composition_pseudoprogression_std,pseudoprogression_summary,high_pathology_proxy_risk,pseudoprogression,exclude_from_primary_safe_benchmark,True,False
composition_pseudoprogression_min,pseudoprogression_summary,high_pathology_proxy_risk,pseudoprogression,exclude_from_primary_safe_benchmark,True,False
composition_pseudoprogression_max,pseudoprogression_summary,high_pathology_proxy_risk,pseudoprogression,exclude_from_primary_safe_benchmark,True,False
microglia_pvm_n_cells,cell_count,low_obvious_proxy_risk,,allowed_if_train_fold_only,True,True
