source_file,sheet_name,forbidden_column_or_feature,reason_forbidden,affected_target,allowed_alternative_use,excluded_from_modeling
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Cognitive Status,contains forbidden/proxy token `cognitive`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Age of onset cognitive symptoms,contains forbidden/proxy token `cognitive`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Age of Dementia diagnosis,contains forbidden/proxy token `dementia`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Consensus Clinical Dx (choice=Dementia with Lewy Bodies/ Lewy Body Disease),contains forbidden/proxy token `dementia`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Consensus Clinical Dx (choice=Parkinsons Cognitive Impairment - no dementia),contains forbidden/proxy token `dementia`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Consensus Clinical Dx (choice=Parkinsons Disease Dementia),contains forbidden/proxy token `dementia`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Consensus Clinical Dx (choice=Taupathy),contains forbidden/proxy token `tau`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Consensus Clinical Dx (choice=Vascular Dementia),contains forbidden/proxy token `dementia`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Last MMSE Score,contains forbidden/proxy token `mmse`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Interval from last MMSE in months,contains forbidden/proxy token `mmse`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Last MOCA Score,contains forbidden/proxy token `moca`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Interval from last MOCA in months,contains forbidden/proxy token `moca`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Overall AD neuropathological Change,contains forbidden/proxy token `patholog`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Thal,contains forbidden/proxy token `thal`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Braak,contains forbidden/proxy token `braak`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,CERAD score,contains forbidden/proxy token `cerad`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,SEA-AD_Cohort_Metadata,Severely Affected Donor,contains forbidden/proxy token `severely affected`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdae5f82b97af2fb0f_sea-ad_cohort_mri_volumetrics.xlsx,SEA-AD_MRI_Volumetrics,Left Thalamus Proper Volume,contains forbidden/proxy token `thal`,all pathology targets,context/audit only,True
data\sea_ad\stage41abc\raw\68debdfdae5f82b97af2fb0f_sea-ad_cohort_mri_volumetrics.xlsx,SEA-AD_MRI_Volumetrics,Right Thalamus Proper Volume,contains forbidden/proxy token `thal`,all pathology targets,context/audit only,True
