path,filesize_bytes,x_shape,n_obs_keys,obs_keys_sample,var_keys_sample,has_donor_metadata,has_celltype_or_state_metadata,has_gene_symbols_or_index,stage68_expression_contrast_ready
data/external/cellxgene/olah_live_microglia.h5ad,95126456,"(16245, 31983)",25,_index;assay;assay_ontology_term_id;author_cell_type;cell_type;cell_type_ontology_term_id;development_stage;development_stage_ontology_term_id;disease;disease_ontology_term_id;donor_id;is_primary_data;nCount_RNA;nCount_SCT;nFeature_RNA;nFeature_SCT;observation_joinid;self_reported_ethnicity;self_reported_ethnicity_ontology_term_id;sex;sex_ontology_term_id;suspension_type;tissue;tissue_ontology_term_id;tissue_type,_index;feature_biotype;feature_is_filtered;feature_length;feature_name;feature_reference;feature_type,True,True,True,True
data/external/cellxgene/rexach_cross_dementia.h5ad,4993733632,"(432555, 29363)",22,_index;assay;assay_ontology_term_id;cell_type;cell_type_ontology_term_id;ct_subcluster;development_stage;development_stage_ontology_term_id;disease;disease_ontology_term_id;donor_id;is_primary_data;library_id;observation_joinid;self_reported_ethnicity;self_reported_ethnicity_ontology_term_id;sex;sex_ontology_term_id;suspension_type;tissue;tissue_ontology_term_id;tissue_type,_index;feature_biotype;feature_is_filtered;feature_length;feature_name;feature_reference;feature_type;vst.mean;vst.variable;vst.variance;vst.variance.expected;vst.variance.standardized,True,True,True,True
data/external_pretraining/stage32c/stage32c_human_external_pretraining_matrix.h5ad,707295000,"(100000, 2863)",19,_index;assay;assay_ontology_term_id;cell_type;cell_type_ontology_term_id;dataset_id;development_stage;disease;disease_ontology_term_id;donor_id;self_reported_ethnicity;sex;soma_joinid;species;stage32c_expression_source;stage32c_source_dataset_id;stage32c_source_dataset_name;tissue;tissue_ontology_term_id,_index;feature_id;feature_name;project_gene,True,True,True,True
data/external_pretraining/stage34a/stage34a_hbca_microglia_filtered_pretraining_matrix.h5ad,72747789,"(10325, 2863)",19,_index;assay;assay_ontology_term_id;cell_type;cell_type_ontology_term_id;dataset_id;development_stage;disease;disease_ontology_term_id;donor_id;self_reported_ethnicity;sex;soma_joinid;species;stage32c_expression_source;stage32c_source_dataset_id;stage32c_source_dataset_name;tissue;tissue_ontology_term_id,_index;feature_id;feature_name;project_gene,True,True,True,True
data/external_pretraining/stage34b/stage34b_hbcc_external_pretraining_matrix.h5ad,1057831768,"(100000, 2863)",17,_index;assay;assay_ontology_term_id;cell_type;cell_type_ontology_term_id;dataset_id;development_stage;disease;disease_ontology_term_id;donor_id;sex;soma_joinid;stage34b_expression_source;stage34b_source_dataset_id;stage34b_source_dataset_name;tissue;tissue_ontology_term_id,_index;feature_id;feature_name;project_gene,True,True,True,True
data/processed/sea_ad_mtg_contiguous_10k_hvg3k.h5ad,163302920,"(10000, 3000)",14,APOE Genotype;Age at Death;Braak;Brain Region;Class;Cognitive Status;Continuous Pseudo-progression Score;Donor ID;Overall AD neuropathological Change;Sex;Subclass;Supertype;Thal;_index,_index;gene_ids;highly_variable,True,True,True,True
data/processed/sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad,116795656,"(10000, 3000)",14,APOE Genotype;Age at Death;Braak;Brain Region;Class;Cognitive Status;Continuous Pseudo-progression Score;Donor ID;Overall AD neuropathological Change;Sex;Subclass;Supertype;Thal;_index,_index;gene_ids;highly_variable,True,True,True,True
data/processed/sea_ad_mtg_microglia_pvm_10k_hvg3k_module_preserved.h5ad,115680777,"(10000, 2977)",14,APOE Genotype;Age at Death;Braak;Brain Region;Class;Cognitive Status;Continuous Pseudo-progression Score;Donor ID;Overall AD neuropathological Change;Sex;Subclass;Supertype;Thal;_index,_index;gene_ids;highly_variable,True,True,True,True
data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,458239253,"(40000, 2957)",14,APOE Genotype;Age at Death;Braak;Brain Region;Class;Cognitive Status;Continuous Pseudo-progression Score;Donor ID;Overall AD neuropathological Change;Sex;Subclass;Supertype;Thal;_index,_index;gene_ids;highly_variable,True,True,True,True
data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad,462024617,"(40000, 2977)",14,APOE Genotype;Age at Death;Braak;Brain Region;Class;Cognitive Status;Continuous Pseudo-progression Score;Donor ID;Overall AD neuropathological Change;Sex;Subclass;Supertype;Thal;_index,_index;gene_ids;highly_variable,True,True,True,True
data/processed/sea_ad_mtg_microglia_pvm_smoke_hvg200.h5ad,178984,"(100, 200)",14,APOE Genotype;Age at Death;Braak;Brain Region;Class;Cognitive Status;Continuous Pseudo-progression Score;Donor ID;Overall AD neuropathological Change;Sex;Subclass;Supertype;Thal;_index,_index;gene_ids;highly_variable,True,True,True,True
data/processed/v2_alignment/olah_live_microglia_microglia_jepa_aligned.h5ad,15925953,"(16099, 2957)",13,_index;assay;cell_type;cell_type_ontology_term_id;development_stage;disease;disease_ontology_term_id;donor_id;self_reported_ethnicity;sex;suspension_type;tissue;tissue_ontology_term_id,gene,True,True,False,False
data/processed/v2_alignment/rexach_cross_dementia_microglia_jepa_aligned.h5ad,40155153,"(21575, 2957)",13,_index;assay;cell_type;cell_type_ontology_term_id;development_stage;disease;disease_ontology_term_id;donor_id;self_reported_ethnicity;sex;suspension_type;tissue;tissue_ontology_term_id,gene,True,True,False,False
data/processed/v2_pretraining/cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,79250658,"(10000, 2957)",11,_index;assay;cell_type;dataset_id;development_stage;disease;donor_id;is_primary_data;suspension_type;tissue;tissue_general,_index;feature_id;feature_name,True,True,True,True
data/processed/v2_pretraining/sea_ad_low_pathology_microglia_pvm_relaxed_jepa_aligned.h5ad,50149439,"(4467, 2957)",15,APOE Genotype;Age at Death;Braak;Brain Region;Class;Cognitive Status;Continuous Pseudo-progression Score;Donor ID;Overall AD neuropathological Change;Sex;Subclass;Supertype;Thal;_index;stage_b_anchor_type,_index;gene_ids;highly_variable,True,True,True,True
data/processed/v2_pretraining/sea_ad_low_pathology_microglia_pvm_strict_jepa_aligned.h5ad,22413461,"(1883, 2957)",15,APOE Genotype;Age at Death;Braak;Brain Region;Class;Cognitive Status;Continuous Pseudo-progression Score;Donor ID;Overall AD neuropathological Change;Sex;Subclass;Supertype;Thal;_index;stage_b_anchor_type,_index;gene_ids;highly_variable,True,True,True,True
data/raw/fake_k562.h5ad,376240,"(100, 2960)",2,_index;perturbation,_index,False,False,True,False
data/raw/ReplogleWeissman2022_K562_gwps.h5ad,8805466154,"(1989578, 8248)",25,UMI_count;age;batch;cancer;cell_barcode;cell_line;core_adjusted_UMI_count;core_scale_factor;disease;gene;gene_id;gene_transcript;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sex;tissue_type;transcript;z_gemgroup_UMI,chr;class;cv;end;ensembl_id;fano;gene_name;in_matrix;length;mean;ncells;ncounts;start;std;strand,False,False,False,False
