control_graph_id,control_type,seed,scenario_id,regulator,direction,magnitude,cell_count,donor_count,edge_count_for_regulator
no_graph,no_graph,,STAT1_up_0p10,STAT1,up,0.1,32,6,0
no_graph,no_graph,,STAT1_down_0p10,STAT1,down,0.1,32,6,0
no_graph,no_graph,,STAT1_up_0p25,STAT1,up,0.25,32,6,0
no_graph,no_graph,,STAT1_down_0p25,STAT1,down,0.25,32,6,0
no_graph,no_graph,,ELF1_up_0p10,ELF1,up,0.1,32,6,0
no_graph,no_graph,,ELF1_down_0p10,ELF1,down,0.1,32,6,0
no_graph,no_graph,,ELF1_up_0p25,ELF1,up,0.25,32,6,0
no_graph,no_graph,,ELF1_down_0p25,ELF1,down,0.25,32,6,0
no_graph,no_graph,,SPI1_up_0p10,SPI1,up,0.1,32,6,0
no_graph,no_graph,,SPI1_down_0p10,SPI1,down,0.1,32,6,0
no_graph,no_graph,,SPI1_up_0p25,SPI1,up,0.25,32,6,0
no_graph,no_graph,,SPI1_down_0p25,SPI1,down,0.25,32,6,0
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,STAT1_up_0p10,STAT1,up,0.1,32,6,16
