asset_id,logical_name,repository_relative_path_or_redacted_location,local_availability,file_type,byte_size,sha256,sha256_status,source_dataset,modality,candidate_role,read_only_audit,source_modified
cistarget_motif_annotations,cistarget_motif_annotations,data/external_resources/stage75b/motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl,true,tbl,98718421,81eb754118e27e854974301b1400fcf519489f8be5249239671fb288cb501c31,computed,motif_chromatin_evidence_not_predictive_graph,motif_annotation_resource,annotation_only,true,false
gse174367_microglia_snatac,gse174367_microglia_snatac,data/processed/stage75f/gse174367_mg_snatac.csc.h5,true,h5,216113288,,not_computed_large_context_asset_not_selected_as_primary,motif_chromatin_evidence_not_predictive_graph,bounded_microglia_peak_counts,chromatin_support_annotation,true,false
gse174367_microglia_snrna,gse174367_microglia_snrna,data/processed/stage75f/gse174367_mg_snrna.csc.h5,true,h5,96048440,8dfbd938d35e83738ce68559c9e0410aaa941d3b262a026812610f77d5ce992c,computed,motif_chromatin_evidence_not_predictive_graph,bounded_microglia_expression_counts,coactivity_provenance_and_context_only,true,false
gse174367_snatac,GSE174367 snATAC peaks,data/external/gse174367/GSE174367_snATAC-seq_filtered_peak_bc_matrix.h5,true,h5,360317403,,not_computed_large_context_asset_not_selected_as_primary,GSE174367,snATAC,regulatory_prior_candidate,true,false
gse174367_snrna,GSE174367 snRNA counts,data/external/gse174367/GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,true,h5,273975534,,not_computed_large_context_asset_not_selected_as_primary,GSE174367,snRNA,context_only,true,false
kampmann_microglia_expression,GSE178317 iTF Microglia expression lane,data/raw/kampmann_gse178317/GSM5387652_iTF_Microglia_10X_Lane1_filtered_feature_bc_matrix.h5,true,h5,69120984,0b1fd0ad00f3fabf170c4207ef3886c3bdc955256a59c10949dfa3b110cc82de,computed,GSE178317,perturbation_expression,experimental_perturbation_calibration,true,false
kampmann_microglia_sgrna,GSE178317 iTF Microglia sgRNA enrichment lane,data/raw/kampmann_gse178317/GSM5387656_iTF_Microglia_sgRNAenrichment_Lane1_filtered_feature_bc_matrix.h5,true,h5,763812,9de9f7fe16660bd7e4b7cf1b2a23e59f60a81827d241f76ed71105159bf943e3,computed,GSE178317,perturbation_assignment,experimental_perturbation_calibration,true,false
kampmann_supplement,GSE178317 supplementary tables,data/raw/kampmann_gse178317/drager_2022_supplementary_tables.xlsx,true,xlsx,36650289,fca8854678668f41e915d8bdbca65e4328a16a2e2706a645e5581d4a9d7c6fdc,computed,GSE178317,perturbation_metadata,experimental_perturbation_calibration,true,false
replogle_k562,Replogle-Weissman K562 genome-wide Perturb-seq,data/raw/ReplogleWeissman2022_K562_gwps.h5ad,true,h5ad,8805466154,,not_computed_large_context_asset_not_selected_as_primary,ReplogleWeissman2022,perturbation_expression,generic_perturbation_pretraining,true,false
sea_ad_donor_metadata,SEA-AD cohort donor metadata,data/raw/metadata/sea-ad_cohort_donor_metadata_072524.xlsx,true,xlsx,45189,d18faa1c51f426bb2bf17ce431878cfacce673729c1ee185be84a51d31271146,computed,SEA-AD,metadata,donor_provenance_schema_only,true,false
