asset_id,path,size_bytes,sha256,open_pass,verification_reused,verification_source_commit
siletti_hbca_all_non_neuronal,data/external/v4/normal_references/siletti_hbca/all_non_neuronal.b165f033.h5ad,4666929361,ac76d2a8fc7c9a7ff1444820f0cf6df8622af91d8ee7cdadd22c860aa8bba4cb,True,True,dc4380cede460944167cf4d73325bf51ebd21caa
gse97930_cerebellar_umi,data/external/v4/normal_references/gse97930/GSE97930_CerebellarHem_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz,6297013,87e2ef6d504fcac13aedee8fabd95a8cdd8bbffb79b285ae1dd485efde874239,True,True,ff71ce97f8378ef318822176cee8b5f489e718ec
gse97930_frontal_cortex_umi,data/external/v4/normal_references/gse97930/GSE97930_FrontalCortex_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz,12617100,769f1f734bbaf75ab82a04ded7d12be0e7064afee11aa42b744b57b900729df7,True,True,ff71ce97f8378ef318822176cee8b5f489e718ec
gse97930_visual_cortex_umi,data/external/v4/normal_references/gse97930/GSE97930_VisualCortex_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz,28357910,1b597e33939f8e390b63afdf1cfd815314e3059ec9c4e305682a340459edb46e,True,True,ff71ce97f8378ef318822176cee8b5f489e718ec
gse97930_readme,data/external/v4/normal_references/gse97930/GSE97930_README.txt,3073,3f957bd3098abb74e64110dfce3f010621e1fe0fedb6ec4fc83d1db499cf42a1,True,True,ff71ce97f8378ef318822176cee8b5f489e718ec
gse243292_full_dlpfc_h5ad,data/external/v4/normal_references/gse243292/GSE243292_ADsnRNAseq_GEO.h5ad.gz,294960107,e267a5fe1d87aa43d413e186502ca69c0e516c41442a0efa2eb7bf18c890b69d,True,True,0a81d0f079b58dabff94d35e26f66b1f45940a36
gse243292_readme,data/external/v4/normal_references/gse243292/GSE243292_processed_data_readme.txt,680,7d4c82d860c893b219c3120f9edf30a2081de08f02639bcff1a9e57e571736d4,True,True,0a81d0f079b58dabff94d35e26f66b1f45940a36
gse146639_processed_microglia_archive,data/external/v4/normal_references/gse146639/GSE146639_RAW.tar,46796800,b5ee658b48554fa4ec38ed0282c6a9ffe361f943804b34240369acd3e452e251,True,True,0a81d0f079b58dabff94d35e26f66b1f45940a36
gse99074_human_microglia_counts,data/external/v4/normal_references/gse99074/GSE99074_HumanMicrogliaBrainCounts.txt.gz,2564392,c551a58db1cc235174b857490dfdf5c4987ab1897f3d539a2244fcfebddf58f2,True,True,0a81d0f079b58dabff94d35e26f66b1f45940a36
gse133357_regional_microglia_fpkm,data/external/v4/normal_references/gse133357/GSE133357_Unfiltered_Human_microglia_FPKM.csv.gz,245528,909ccd3165cffc3021a78e89116dcf4a0ec7f483a25d9d44e0e48cb154faf4a5,True,True,0a81d0f079b58dabff94d35e26f66b1f45940a36
