dataset_id,evidence_basis,pathology_values_used,provenance_class,quarantine_required,sample_id
10x_Xenium_healthy_cortex_preview,acquisition provenance and neutral study/sample metadata only,false,SURGICAL_TISSUE_PROVENANCE_REVIEW,true,dataset_level
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_H18.30.001
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_H18.30.002
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_H19.30.001
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_H19.30.002
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_1C41i
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_3u5kk
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_TweV8
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_buFpQ
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_eXCJJ
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_f5sVM
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_siletti_H18.30.002
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_siletti_H19.30.001
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_siletti_H19.30.002
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_tzan2
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,donor_znZv1
CosMx_WTX_human_hippocampus,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,true,dataset_level
CosMx_human_frontal_cortex_6K,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,true,dataset_level
GSE248545,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM7916581
GSE248545,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM7916582
GSE248545,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM7916583
GSE248545,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM7916584
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224155
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224156
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224157
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224158
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224159
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224160
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224161
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224162
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224163
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224164
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224165
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224166
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224167
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224168
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224169
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224170
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224171
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224172
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224173
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224174
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224175
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224176
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224177
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224178
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224179
GSE264624,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM8224180
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V10B01-085_A1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V10B01-085_B1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V10B01-085_C1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V10B01-085_D1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V10B01-086_A1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V10B01-086_B1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V10B01-086_C1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V10B01-086_D1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11A20-297_A1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11A20-297_B1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11A20-297_C1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11A20-297_D1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-333_A1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-333_B1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-333_C1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-333_D1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-335_A1
