vocabulary_index,canonical_ensembl_gene_id,canonical_hgnc_symbol,nph_source_row_count,nph_source_objects,nph_evidence_classes,nph_terminal_dispositions,nph_source_exact_ensembl_rows,nph_measured_identity_present,protected_identity_change_dossier_present,adjudication_state,frozen_vocabulary_rewrite_allowed
0,ENSG00000251562,MALAT1,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
1,ENSG00000230590,FTX,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
2,ENSG00000127603,MACF1,14,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,AUTHORITY_RECONSTRUCTED|SOURCE_EXACT,EXACT_CURRENT_ENSEMBL|EXACT_HGNC_PREVIOUS_SYMBOL_RECOVERED,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
3,ENSG00000158321,AUTS2,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
4,ENSG00000160584,SIK3,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
5,ENSG00000142599,RERE,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
6,ENSG00000184226,PCDH9,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
7,ENSG00000151914,DST,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
8,ENSG00000163539,CLASP2,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
9,ENSG00000117020,AKT3,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
10,ENSG00000230876,LINC00486,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
11,ENSG00000171988,JMJD1C,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
12,ENSG00000075151,EIF4G3,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
13,ENSG00000175161,CADM2,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
14,ENSG00000185565,LSAMP,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
15,ENSG00000157827,FMNL2,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
16,ENSG00000100354,TNRC6B,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
17,ENSG00000049618,ARID1B,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
18,ENSG00000244754,N4BP2L2,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SOURCE_EXACT,EXACT_CURRENT_ENSEMBL,7,True,False,NO_NPH_CANONICAL_CHANGE_PROPOSED,False
