#Archive/File	Name	Time	Size	Type
Archive	GSE289721_RAW.tar	12/31/2025 10:22:54	619325440	TAR
File	GSM8797509_SS001_barcodes.tsv.gz	02/14/2025 13:47:33	63758	TSV
File	GSM8797509_SS001_features.tsv.gz	02/14/2025 13:47:33	333951	TSV
File	GSM8797509_SS001_matrix.mtx.gz	02/14/2025 13:48:19	171080282	MTX
File	GSM8797511_SS002_barcodes.tsv.gz	02/14/2025 14:30:02	66953	TSV
File	GSM8797511_SS002_features.tsv.gz	02/14/2025 14:30:02	333951	TSV
File	GSM8797511_SS002_matrix.mtx.gz	02/14/2025 14:30:23	160413551	MTX
File	GSM8797513_AS001_barcodes.tsv.gz	02/14/2025 11:28:11	53506	TSV
File	GSM8797513_AS001_features.tsv.gz	02/14/2025 11:28:11	333951	TSV
File	GSM8797513_AS001_matrix.mtx.gz	02/14/2025 11:28:46	137071587	MTX
File	GSM8797515_AS002_barcodes.tsv.gz	02/14/2025 12:35:39	59474	TSV
File	GSM8797515_AS002_features.tsv.gz	02/14/2025 12:35:39	333951	TSV
File	GSM8797515_AS002_matrix.mtx.gz	02/14/2025 12:36:17	149165887	MTX
