stage,configuration,safe,median_throughput,throughput_unit,batch,workers,reader_block,prefetch,pin,peak_rss_bytes,candidate_start_memavailable_bytes,swap_before_bytes,swap_after_bytes,pswpin_before,pswpin_after,pswpout_before,pswpout_after,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,cuda_total_bytes
gpu_batch,1,True,11.73366460931873,query_identities_per_second,1,0,67,1,False,1460707328,31207915520,0,0,0,0,0,0,351280640,513802240,17179344896
gpu_batch,2,True,12.961590387018516,query_identities_per_second,2,0,67,1,False,1460707328,31207473152,0,0,0,0,0,0,659241984,929038336,17179344896
gpu_batch,4,True,14.81802285973014,query_identities_per_second,4,0,67,1,False,1460707328,31207768064,0,0,0,0,0,0,1294774784,1795162112,17179344896
gpu_batch,8,True,15.331177964908498,query_identities_per_second,8,0,67,1,False,1460707328,31201026048,0,0,0,0,0,0,2575455744,3529506816,17179344896
reader_block,4,True,8.909556412016004,rows_per_second,4,0,4,1,False,1461235712,31194308608,0,0,0,0,0,0,0,0,17179344896
reader_block,8,True,9.045323975509536,rows_per_second,4,0,8,1,False,1461542912,31200849920,0,0,0,0,0,0,0,0,17179344896
reader_block,16,True,9.335393598595292,rows_per_second,4,0,16,1,False,1461596160,31204675584,0,0,0,0,0,0,0,0,17179344896
reader_block,32,True,9.250720473517447,rows_per_second,4,0,32,1,False,1463451648,31207391232,0,0,0,0,0,0,0,0,17179344896
reader_block,64,True,9.249594848970261,rows_per_second,4,0,64,1,False,1467711488,31204691968,0,0,0,0,0,0,0,0,17179344896
workers,0,True,9.318623742406748,rows_per_second,4,0,4,1,False,1480847360,31185088512,0,0,0,0,0,0,0,0,17179344896
workers,1,True,9.1868107480487,rows_per_second,4,1,4,1,False,1490288640,31175696384,0,0,0,0,0,0,0,0,17179344896
workers,2,True,15.678994324629477,rows_per_second,4,2,4,1,False,1527107584,31149985792,0,0,0,0,0,0,0,0,17179344896
workers,4,True,22.91930078276101,rows_per_second,4,4,4,1,False,1532272640,31139930112,0,0,0,0,0,0,0,0,17179344896
workers,6,True,23.093660736494996,rows_per_second,4,6,4,1,False,1532403712,31142907904,0,0,0,0,0,0,0,0,17179344896
prefetch,1,True,22.730935684935268,rows_per_second,4,4,4,1,False,1532403712,31133896704,0,0,0,0,0,0,0,0,17179344896
prefetch,2,True,33.29838563392945,rows_per_second,4,4,4,2,False,1532420096,31133986816,0,0,0,0,0,0,0,0,17179344896
prefetch,4,True,37.388534086488576,rows_per_second,4,4,4,4,False,1532428288,31121104896,0,0,0,0,0,0,0,0,17179344896
prefetch,8,True,34.152730207152175,rows_per_second,4,4,4,8,False,1532428288,31127932928,0,0,0,0,0,0,0,0,17179344896
prefetch,16,True,29.92294758819554,rows_per_second,4,4,4,16,False,2304344064,31118110720,0,0,0,0,0,0,0,0,17179344896
pinning,0,True,14.645031966409167,query_identities_per_second,4,4,4,4,False,1693028352,31118422016,0,0,0,0,0,0,1294774784,1795162112,17179344896
pinning,1,True,13.94361841136605,query_identities_per_second,4,4,4,4,True,1726013440,31111946240,0,0,0,0,0,0,1294774784,1795162112,17179344896
final_stability,4,True,14.12004518384578,query_identities_per_second,4,4,4,4,False,1714348032,31119360000,0,0,0,0,0,0,1294774784,1795162112,17179344896
