donor_id,tail_total,rest_total,tail_common_support,rest_common_support,tail_retained_fraction,rest_retained_fraction,matched_pairs,eligible,q_depth_smd_pre,q_detect_smd_pre,q_depth_smd_post,q_detect_smd_post,q_depth_smd_pre_fixed_denominator,q_detect_smd_pre_fixed_denominator,q_depth_smd_post_fixed_denominator,q_detect_smd_post_fixed_denominator,q_depth_mean_tail_pre,q_depth_mean_rest_pre,q_detect_mean_tail_pre,q_detect_mean_rest_pre,q_depth_mean_tail_post,q_depth_mean_rest_post,q_detect_mean_tail_post,q_detect_mean_rest_post,match_distance_mean,match_distance_median,match_distance_max,q_depth_low,q_depth_high,q_detect_low,q_detect_high
H19.33.004,31,690,31,662,1.0,0.9594202898550724,31,True,0.2137149995651271,0.29048043543353846,0.02500834584879337,0.08195953626168247,0.2137149995651271,0.29048043543353846,0.023094499623964107,0.09098007545920474,8.507697007541307,8.383120125519149,0.07324464112949208,0.06654990158017125,8.507697007541307,8.494234963413055,0.07324464112949208,0.07114781175622337,0.0003831648880845962,5.220688963881232e-05,0.003769337431922218,7.390798521735676,10.283463897877127,0.03406887900558787,0.19169802714106512
H20.33.004,129,548,129,504,1.0,0.9197080291970803,129,True,-0.24367581420862647,-0.29519226352307937,-0.0008258891415716292,0.002865220940841186,-0.24367581420862647,-0.29519226352307937,-0.0006257262738264968,0.002224660620712398,8.50597095595842,8.628538286504405,0.07180929825910691,0.07867140216073043,8.50597095595842,8.506285692155302,0.07180929825910692,0.07175758331189594,0.00022974459190226168,0.00011266223361640777,0.00430432322544464,7.759614150696903,9.618069581737414,0.04119625955068993,0.14026684912760862
H20.33.012,42,438,42,387,1.0,0.8835616438356164,42,True,0.32390596283514855,0.5155228476662685,-0.01730755713906383,0.03569459838847402,0.32390596283514855,0.5155228476662685,-0.016295964615528652,0.03823431126620059,9.015403122377126,8.785313005581957,0.10182854644879963,0.08503388076823139,9.015403122377126,9.026979137739293,0.10182854644879963,0.10058295184877464,0.0003524299273382164,0.00025930212245610937,0.00159402567909861,7.650168700845001,10.058266606323683,0.04054054054054054,0.16706579997719237
H20.33.017,26,489,26,462,1.0,0.9447852760736196,26,True,-0.04705257301832799,0.05165810328053577,0.004008557563587965,0.02457372579796491,-0.04705257301832799,0.05165810328053577,0.004058864770565871,0.02543078773374176,8.699288748127477,8.725908524300639,0.08052733843873083,0.07927332084744526,8.699288748127477,8.696992464103484,0.08052733843873083,0.07990999763151661,0.0004363976742322991,0.00010962646888927311,0.004393491560870097,7.4673710669175595,9.73554216168668,0.035180750370623785,0.13416581138100125
H20.33.020,44,535,44,481,1.0,0.8990654205607477,44,True,0.25259205350922753,0.43443139966886946,-0.016049067308492617,0.05695124012536943,0.25259205350922753,0.43443139966886946,-0.015618795818817272,0.06394119368389597,8.857643728462351,8.701632769201423,0.0882350273173058,0.07690355681601392,8.857643728462351,8.867290521717882,0.08823502731730581,0.08656722026975192,0.0004236283645263306,0.0001456791562263272,0.010372355923314482,7.655864017616056,10.298868654190272,0.04079712624016422,0.1695461284068879
H20.33.024,6,111,5,60,0.8333333333333334,0.5405405405405406,5,True,0.4731495560595361,0.4948850553145145,0.003249203691017269,-0.11412563570628813,0.4731495560595361,0.4948850553145145,0.0011920283566532771,-0.03040612452188754,8.646506308596443,8.479545724443557,0.08030657239517999,0.07241829581891164,8.507043217645599,8.50662258584281,0.07350325008552858,0.0739879119625955,0.001953125,0.001953125,0.00439453125,8.40178233990491,9.14782646658694,0.06922111985403125,0.11036036036036036
H20.33.027,10,204,10,168,1.0,0.8235294117647058,10,True,0.02804843005144517,-0.007961284213983818,0.012293212441216207,0.013707514747472825,0.02804843005144517,-0.007961284213983818,0.01066233701138859,0.011812752183225006,8.282121128736524,8.268302593909333,0.05884080282814459,0.05899067347317533,8.282121128736524,8.27686814755145,0.05884080282814459,0.058618428555137415,0.0008330939385234127,0.0008139423537297702,0.0016917233234383475,7.7488913372555315,9.205126804923296,0.037233435967613186,0.09881400387729501
H20.33.035,5,187,5,44,1.0,0.23529411764705882,5,True,0.5343094077309651,0.7911438606035082,-0.1469988463436851,0.07010848580334428,0.5343094077309651,0.7911438606035082,-0.05803622908043983,0.023404008454433193,9.098476691146328,8.82878288680114,0.10667693009465162,0.08778783183101874,9.098476691146328,9.127770600600442,0.10667693009465162,0.10611814345991562,0.009223090277777778,0.00434027777777778,0.023003472222222224,8.765146421639022,9.300820725104558,0.09251339947542479,0.11517846960884935
H20.33.036,7,135,7,113,1.0,0.837037037037037,7,True,-0.2624444163735224,-0.18412720244530778,-0.0014970671477101958,0.020089251756799133,-0.2624444163735224,-0.18412720244530778,-0.0015939083862804616,0.020366066091547584,8.46492419853717,8.635846586768736,0.0688912239545151,0.07371485409460092,8.46492419853717,8.465962264546613,0.0688912239545151,0.06835768861085316,0.000403522753639271,0.0003530824094343632,0.0007061648188687246,7.2875606403097235,9.375430991841775,0.029478845934542138,0.10696772722089178
H20.33.038,15,284,15,262,1.0,0.9225352112676056,15,True,-0.4053399380034137,-0.3710942402453988,-0.0022196888564873455,0.001398774281816768,-0.4053399380034137,-0.3710942402453988,-0.0019635290358324727,0.001301723195673486,8.515952443163142,8.760010885945256,0.06748203900102633,0.07615134299926599,8.515952443163142,8.517134699817158,0.06748203900102633,0.0674516288440339,0.0003828852481971575,0.0002395767695862203,0.0019034866624658717,7.4109518755836366,9.577480365762678,0.03059071729957806,0.11281217926787547
H20.33.040,29,487,29,459,1.0,0.9425051334702259,29,True,0.005065719529426658,-0.08909232669672926,-0.005737186721647736,-0.011068201822900739,0.005065719529426658,-0.08909232669672926,-0.0056104563140208005,-0.011261572838166865,8.89754843796716,8.894842170969921,0.08569864058733546,0.08782964208197488,8.897548437967158,8.900545720519787,0.08569864058733548,0.08596800641759174,0.000420149984711906,0.00013176258279960708,0.00435554393702382,7.776535028185241,9.924612834151077,0.04028395484091687,0.1471091344509066
H21.33.002,40,392,39,381,0.975,0.9719387755102041,39,True,0.28486520778248814,0.49683568395473415,-0.02225417563494847,0.022785879640613058,0.28486520778248814,0.49683568395473415,-0.02397576826414579,0.02637304377928225,9.025285991545413,8.86551649961756,0.10239765081537233,0.08910825705581582,8.992308291582932,9.00575534025539,0.10073218301066401,0.10002675509004623,0.0002706342554030821,0.00011392051765483166,0.001395526341271697,7.596392304064196,10.220667745776721,0.04002736914129319,0.16735089519899646
