donor_id,cells,tail_cells,rest_cells,q_depth_signed,q_depth_abs,q_detect_signed,q_detect_abs
H19.33.004,721,31,690,0.2137149995651271,0.2137149995651271,0.29048043543353846,0.29048043543353846
H20.33.004,677,129,548,-0.24367581420862647,0.24367581420862647,-0.29519226352307937,0.29519226352307937
H20.33.012,480,42,438,0.32390596283514855,0.32390596283514855,0.5155228476662685,0.5155228476662685
H20.33.017,515,26,489,-0.04705257301832799,0.04705257301832799,0.05165810328053577,0.05165810328053577
H20.33.020,579,44,535,0.25259205350922753,0.25259205350922753,0.43443139966886946,0.43443139966886946
H20.33.024,117,6,111,0.4731495560595361,0.4731495560595361,0.4948850553145145,0.4948850553145145
H20.33.027,214,10,204,0.02804843005144517,0.02804843005144517,-0.007961284213983818,0.007961284213983818
H20.33.035,192,5,187,0.5343094077309651,0.5343094077309651,0.7911438606035082,0.7911438606035082
H20.33.036,142,7,135,-0.2624444163735224,0.2624444163735224,-0.18412720244530778,0.18412720244530778
H20.33.038,299,15,284,-0.4053399380034137,0.4053399380034137,-0.3710942402453988,0.3710942402453988
H20.33.040,516,29,487,0.005065719529426658,0.005065719529426658,-0.08909232669672926,0.08909232669672926
H21.33.002,432,40,392,0.28486520778248814,0.28486520778248814,0.49683568395473415,0.49683568395473415
H21.33.012,209,6,203,0.11470099912430237,0.11470099912430237,0.1590192743767098,0.1590192743767098
H21.33.014,234,11,223,-0.22784756557203373,0.22784756557203373,-0.14978764189913368,0.14978764189913368
H21.33.028,749,40,709,-0.1473065179959973,0.1473065179959973,-0.10477068807966444,0.10477068807966444
H21.33.039,200,8,192,-0.11765523736349913,0.11765523736349913,-0.15847161023735135,0.15847161023735135
H21.33.040,379,19,360,0.22749389133262413,0.22749389133262413,0.16980860871775133,0.16980860871775133
H21.33.047,382,48,334,0.4767081813708839,0.4767081813708839,0.5400692971221088,0.5400692971221088
