molecular_address_index,molecular_address_id,symbol,route,reason,n_features,feature_ids,feature_symbols
22,ENSG00000002586,CD99,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000002586.19|ENSG00000002586.19_PAR_Y,CD99|CD99
5478,ENSG00000124333,VAMP7,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000124333.15|ENSG00000124333.15_PAR_Y,VAMP7|VAMP7
5479,ENSG00000124334,IL9R,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000124334.17|ENSG00000124334.17_PAR_Y,IL9R|IL9R
11995,ENSG00000167393,PPP2R3B,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000167393.17|ENSG00000167393.17_PAR_Y,PPP2R3B|PPP2R3B
12379,ENSG00000168939,SPRY3,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000168939.11|ENSG00000168939.11_PAR_Y,SPRY3|SPRY3
12411,ENSG00000169084,DHRSX,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000169084.13|ENSG00000169084.13_PAR_Y,DHRSX|DHRSX
12414,ENSG00000169093,ASMTL,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000169093.15|ENSG00000169093.15_PAR_Y,ASMTL|ASMTL
12415,ENSG00000169100,SLC25A6,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000169100.13|ENSG00000169100.13_PAR_Y,SLC25A6|SLC25A6
14301,ENSG00000178605,GTPBP6,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000178605.13|ENSG00000178605.13_PAR_Y,GTPBP6|GTPBP6
14890,ENSG00000182162,P2RY8,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000182162.10|ENSG00000182162.10_PAR_Y,P2RY8|P2RY8
14944,ENSG00000182378,PLCXD1,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000182378.13|ENSG00000182378.13_PAR_Y,PLCXD1|PLCXD1
15567,ENSG00000185203,WASIR1,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000185203.12|ENSG00000185203.12_PAR_Y,WASIR1|WASIR1
15590,ENSG00000185291,IL3RA,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000185291.11|ENSG00000185291.11_PAR_Y,IL3RA|IL3RA
15747,ENSG00000185960,SHOX,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000185960.14|ENSG00000185960.14_PAR_Y,SHOX|SHOX
16648,ENSG00000196433,ASMT,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000196433.12|ENSG00000196433.12_PAR_Y,ASMT|ASMT
17103,ENSG00000197976,AKAP17A,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000197976.11|ENSG00000197976.11_PAR_Y,AKAP17A|AKAP17A
17184,ENSG00000198223,CSF2RA,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000198223.16|ENSG00000198223.16_PAR_Y,CSF2RA|CSF2RA
18901,ENSG00000205755,CRLF2,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000205755.11|ENSG00000205755.11_PAR_Y,CRLF2|CRLF2
20322,ENSG00000214717,ZBED1,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000214717.11|ENSG00000214717.11_PAR_Y,ZBED1|ZBED1
21071,ENSG00000223274,RNA5SP498,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000223274.6|ENSG00000223274.6_PAR_Y,RNA5SP498|RNA5SP498
21143,ENSG00000223511,AL683807.1,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000223511.7|ENSG00000223511.7_PAR_Y,AL683807.1|AL683807.1
21166,ENSG00000223571,DHRSX-IT1,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000223571.6|ENSG00000223571.6_PAR_Y,DHRSX-IT1|DHRSX-IT1
21230,ENSG00000223773,CD99P1,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000223773.7|ENSG00000223773.7_PAR_Y,CD99P1|CD99P1
21992,ENSG00000226179,LINC00685,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000226179.6|ENSG00000226179.6_PAR_Y,LINC00685|LINC00685
23408,ENSG00000230542,LINC00102,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000230542.6|ENSG00000230542.6_PAR_Y,LINC00102|LINC00102
24705,ENSG00000234622,AL683807.2,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000234622.6|ENSG00000234622.6_PAR_Y,AL683807.2|AL683807.2
25154,ENSG00000236017,ASMTL-AS1,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000236017.8|ENSG00000236017.8_PAR_Y,ASMTL-AS1|ASMTL-AS1
25443,ENSG00000236871,LINC00106,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000236871.7|ENSG00000236871.7_PAR_Y,LINC00106|LINC00106
25658,ENSG00000237531,AL672277.1,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000237531.6|ENSG00000237531.6_PAR_Y,AL672277.1|AL672277.1
33750,ENSG00000265658,MIR3690,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000265658.6|ENSG00000265658.6_PAR_Y,MIR3690|MIR3690
35227,ENSG00000270726,AJ271736.10,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000270726.6|ENSG00000270726.6_PAR_Y,AJ271736.1|AJ271736.1
37574,ENSG00000281849,AL732314.4,ensembl_stable_id,par_y_x_copy_pair,2,ENSG00000281849.3|ENSG00000281849.3_PAR_Y,AL732314.6|AL732314.6
39511,ENSG00000287203,AC005592.2,deprecated_alias_symbol,identifier_resolves_to_multiple_features,2,ENSG00000236714.1|ENSG00000231185.6,LINC01844|SPRY4-AS1
40399,ENSG00000291237,SOD2,current_symbol,identifier_resolves_to_multiple_features,2,ENSG00000112096.17|ENSG00000285441.1,SOD2|SOD2
40433,ENSG00000116957,TBCE,current_symbol,identifier_resolves_to_multiple_features,2,ENSG00000285053.1|ENSG00000284770.1,TBCE|TBCE
