panel_gene,panel_groups,n_canonical_addresses,molecular_address_index,molecular_address_id,rna_state,rna_microglia_state,annotation_regulatory_state,atac_accessibility_state,atac_microglia_accessibility_state,regulatory_evidence_state,matched_rna_atac_state
AP1G1,top20_tier1|special_review,1,11836,ENSG00000166747,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
APOE,prior_anchor|broad_state_caution_control,1,6186,ENSG00000130203,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
APP,prior_anchor|broad_state_caution_control,1,8155,ENSG00000142192,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
ARHGEF7,top20_tier1,1,2682,ENSG00000102606,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
BAZ1A,top20_tier1,1,17280,ENSG00000198604,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
BTBD9,top20_tier1,1,15271,ENSG00000183826,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
C1QA,prior_anchor,1,13365,ENSG00000173372,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
C3,prior_anchor,1,5660,ENSG00000125730,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
CD4,prior_anchor,1,265,ENSG00000010610,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
CD74,special_review,1,392,ENSG00000019582,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
