resource_id,relative_path,resource_class,exists_locally,size_bytes,digest_algorithm,expected_digest,observed_digest,expectation_source,authenticity_status,required_action,canonical_url
gse174367_snrna_matrix,data/external/gse174367/GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,geo_primary,True,273975534,sha256,6ba98a1af8772af08c8cdd5e5e63eebb0890daed48cac2e1b8961dcc67069b77,6ba98a1af8772af08c8cdd5e5e63eebb0890daed48cac2e1b8961dcc67069b77,stage72a_resource_inventory_v1.csv; stage38a_download_manifest_v1.csv,AUTHENTICATED,NONE,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/suppl/GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5
gse174367_snrna_cell_meta,data/external/gse174367/GSE174367_snRNA-seq_cell_meta.csv.gz,geo_primary,True,435170,sha256,ab1a029deb43196e2bb1fea5907d838885750cfff3850c600c07588c7c7cdb2b,ab1a029deb43196e2bb1fea5907d838885750cfff3850c600c07588c7c7cdb2b,stage72a_resource_inventory_v1.csv; stage38a_download_manifest_v1.csv,AUTHENTICATED,NONE,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/suppl/GSE174367_snRNA-seq_cell_meta.csv.gz
gse174367_snatac_matrix,data/external/gse174367/GSE174367_snATAC-seq_filtered_peak_bc_matrix.h5,geo_primary,True,360317403,sha256,ff7c46e755ec0e3fecb319c5b3dd9ac0ada318525746ebe7dddb8e2c0dcab87f,ff7c46e755ec0e3fecb319c5b3dd9ac0ada318525746ebe7dddb8e2c0dcab87f,stage72a_resource_inventory_v1.csv,AUTHENTICATED,NONE,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/suppl/GSE174367_snATAC-seq_filtered_peak_bc_matrix.h5
gse174367_snatac_cell_meta,data/external/gse174367/GSE174367_snATAC-seq_cell_meta.csv.gz,geo_primary,True,1066930,sha256,0657e92aa49eed953aae3b3c5f70aacebe86621c0a930356ec53ba0107c81767,0657e92aa49eed953aae3b3c5f70aacebe86621c0a930356ec53ba0107c81767,stage72a_resource_inventory_v1.csv,AUTHENTICATED,NONE,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/suppl/GSE174367_snATAC-seq_cell_meta.csv.gz
gse174367_series_matrix,data/external/public_schema_audit/GSE174367/GSE174367_series_matrix.txt.gz,geo_metadata,True,13280,sha256,e36488f44e30d0bdf48f5864b8cd091629203defecbb41d9e7fec721b5115928,e36488f44e30d0bdf48f5864b8cd091629203defecbb41d9e7fec721b5115928,stage38a_download_manifest_v1.csv,AUTHENTICATED,NONE,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/matrix/
gencode_v44_gtf,data/external_resources/stage75b/gencode.v44.annotation.gtf.gz,annotation,True,49721965,sha256,,01f817afed65feee863361b4baf30a95e722ee5c5d508ff77b04106ef7ba20d3,stage75b_acquisition_manifest_v1.csv records size 49721965 only,PRESENT_DIGEST_ESTABLISHED_HERE,NONE: vendor publishes no digest for this file; the digest recorded by this lane becomes the local reference,https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_44/gencode.v44.annotation.gtf.gz
hg38_chrom_sizes,data/external_resources/stage75b/hg38.chrom.sizes,annotation,True,11672,sha256,,e1d9152418038457a959e949d99c9caf7ae3e4f87cfbb4ffe7d8b9a54ba1202b,stage75b_acquisition_manifest_v1.csv records size 11672 only,PRESENT_DIGEST_ESTABLISHED_HERE,NONE: vendor publishes no digest for this file; the digest recorded by this lane becomes the local reference,https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.chrom.sizes
cistarget_rankings,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather,cistarget_database,True,35192958114,sha1,1688a925f22d312769798258d990f13866bb4924,,vendor sha1sum.txt shipped by Aerts Lab alongside the database,PRESENT_DIGEST_NOT_COMPUTED,VERIFY_DIGEST,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather
cistarget_scores,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.scores.feather,cistarget_database,True,13882267682,sha1,07b5e527d2ed082e081e439e68dffa77b5f6129c,07b5e527d2ed082e081e439e68dffa77b5f6129c,vendor sha1sum.txt shipped by Aerts Lab alongside the database,AUTHENTICATED,NONE,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.scores.feather
motif_annotation,data/external_resources/stage75b/motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl,motif_annotation,True,98718421,sha256,,81eb754118e27e854974301b1400fcf519489f8be5249239671fb288cb501c31,stage75e_input_inventory_v1.json records size 98718421 only,PRESENT_DIGEST_ESTABLISHED_HERE,NONE: vendor publishes no digest for this file; the digest recorded by this lane becomes the local reference,https://resources.aertslab.org/cistarget/motif2tf/motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl
