source,target,source_idx,target_idx,support,string_score,wgcna_tom
ISG15,GNB1,0,1,degree_preserving_double_edge_swap,,
ISG15,USP48,0,30,degree_preserving_double_edge_swap,,
ISG15,HNRNPR,0,37,degree_preserving_double_edge_swap,,
ISG15,SRRM1,0,40,degree_preserving_double_edge_swap,,
ISG15,PHACTR4,0,50,degree_preserving_double_edge_swap,,
ISG15,PTP4A2,0,55,degree_preserving_double_edge_swap,,
ISG15,ZMYM6,0,62,degree_preserving_double_edge_swap,,
ISG15,THRAP3,0,68,degree_preserving_double_edge_swap,,
ISG15,FOXJ3,0,79,degree_preserving_double_edge_swap,,
ISG15,SCP2,0,97,degree_preserving_double_edge_swap,,
ISG15,MYSM1,0,100,degree_preserving_double_edge_swap,,
ISG15,MIGA1,0,119,degree_preserving_double_edge_swap,,
ISG15,IFI44,0,122,degree_preserving_double_edge_swap,,
ISG15,HS2ST1,0,125,degree_preserving_double_edge_swap,,
ISG15,RPAP2,0,130,degree_preserving_double_edge_swap,,
ISG15,RPL5,0,132,degree_preserving_double_edge_swap,,
ISG15,RAP1A,0,153,degree_preserving_double_edge_swap,,
ISG15,TRIM33,0,160,degree_preserving_double_edge_swap,,
ISG15,MAN1A2,0,163,degree_preserving_double_edge_swap,,
ISG15,ENSA,0,176,degree_preserving_double_edge_swap,,
ISG15,TPM3,0,186,degree_preserving_double_edge_swap,,
ISG15,RC3H1,0,211,degree_preserving_double_edge_swap,,
ISG15,NUCKS1,0,245,degree_preserving_double_edge_swap,,
ISG15,LYPLAL1,0,255,degree_preserving_double_edge_swap,,
ISG15,FBXO28,0,264,degree_preserving_double_edge_swap,,
ISG15,HADHB,0,305,degree_preserving_double_edge_swap,,
ISG15,SRSF7,0,321,degree_preserving_double_edge_swap,,
ISG15,MAP4K3,0,323,degree_preserving_double_edge_swap,,
ISG15,MTA3,0,326,degree_preserving_double_edge_swap,,
ISG15,FOXN2,0,338,degree_preserving_double_edge_swap,,
ISG15,WDPCP,0,355,degree_preserving_double_edge_swap,,
ISG15,VPS54,0,357,degree_preserving_double_edge_swap,,
ISG15,NAGK,0,372,degree_preserving_double_edge_swap,,
ISG15,TMSB10,0,383,degree_preserving_double_edge_swap,,
ISG15,KCMF1,0,384,degree_preserving_double_edge_swap,,
ISG15,LINC00342,0,390,degree_preserving_double_edge_swap,,
ISG15,TMEM131,0,393,degree_preserving_double_edge_swap,,
ISG15,PTPN4,0,413,degree_preserving_double_edge_swap,,
ISG15,IWS1,0,418,degree_preserving_double_edge_swap,,
ISG15,WDR33,0,419,degree_preserving_double_edge_swap,,
ISG15,CCNT2,0,425,degree_preserving_double_edge_swap,,
ISG15,ORC4,0,436,degree_preserving_double_edge_swap,,
ISG15,EPC2,0,438,degree_preserving_double_edge_swap,,
ISG15,STAM2,0,442,degree_preserving_double_edge_swap,,
ISG15,PRPF40A,0,444,degree_preserving_double_edge_swap,,
ISG15,TLK1,0,460,degree_preserving_double_edge_swap,,
ISG15,NFE2L2,0,470,degree_preserving_double_edge_swap,,
ISG15,ITGAV,0,477,degree_preserving_double_edge_swap,,
ISG15,STAT1,0,481,degree_preserving_double_edge_swap,,
ISG15,FAM126B,0,489,degree_preserving_double_edge_swap,,
ISG15,CYP20A1,0,493,degree_preserving_double_edge_swap,,
ISG15,INO80D,0,498,degree_preserving_double_edge_swap,,
ISG15,HDLBP,0,539,degree_preserving_double_edge_swap,,
ISG15,RPL15,0,560,degree_preserving_double_edge_swap,,
ISG15,GLB1,0,572,degree_preserving_double_edge_swap,,
ISG15,TRAK1,0,585,degree_preserving_double_edge_swap,,
ISG15,DCP1A,0,611,degree_preserving_double_edge_swap,,
ISG15,IQCB1,0,654,degree_preserving_double_edge_swap,,
ISG15,SLC49A4,0,662,degree_preserving_double_edge_swap,,
ISG15,MGLL,0,669,degree_preserving_double_edge_swap,,
ISG15,ZBTB38,0,687,degree_preserving_double_edge_swap,,
ISG15,DHX36,0,702,degree_preserving_double_edge_swap,,
ISG15,ACAP2,0,747,degree_preserving_double_edge_swap,,
ISG15,DLG1,0,752,degree_preserving_double_edge_swap,,
