source,target,source_idx,target_idx,support,string_score,wgcna_tom
ISG15,GNB1,0,1,strict_degree_preserving_overlap_reducing_swap,,
ISG15,SPEN,0,19,strict_degree_preserving_overlap_reducing_swap,,
ISG15,USP48,0,30,strict_degree_preserving_overlap_reducing_swap,,
ISG15,EYA3,0,48,strict_degree_preserving_overlap_reducing_swap,,
ISG15,PHACTR4,0,50,strict_degree_preserving_overlap_reducing_swap,,
ISG15,S100PBP,0,60,strict_degree_preserving_overlap_reducing_swap,,
ISG15,ZMYM6,0,62,strict_degree_preserving_overlap_reducing_swap,,
ISG15,THRAP3,0,68,strict_degree_preserving_overlap_reducing_swap,,
ISG15,FOXJ3,0,79,strict_degree_preserving_overlap_reducing_swap,,
ISG15,GPBP1L1,0,85,strict_degree_preserving_overlap_reducing_swap,,
ISG15,OSBPL9,0,93,strict_degree_preserving_overlap_reducing_swap,,
ISG15,SCP2,0,97,strict_degree_preserving_overlap_reducing_swap,,
ISG15,MYSM1,0,100,strict_degree_preserving_overlap_reducing_swap,,
ISG15,JUN,0,101,strict_degree_preserving_overlap_reducing_swap,,
ISG15,ZRANB2,0,114,strict_degree_preserving_overlap_reducing_swap,,
ISG15,PRKACB,0,123,strict_degree_preserving_overlap_reducing_swap,,
ISG15,HS2ST1,0,125,strict_degree_preserving_overlap_reducing_swap,,
ISG15,RPAP2,0,130,strict_degree_preserving_overlap_reducing_swap,,
ISG15,RPL5,0,132,strict_degree_preserving_overlap_reducing_swap,,
ISG15,MTF2,0,134,strict_degree_preserving_overlap_reducing_swap,,
ISG15,RAP1A,0,153,strict_degree_preserving_overlap_reducing_swap,,
ISG15,CTTNBP2NL,0,154,strict_degree_preserving_overlap_reducing_swap,,
ISG15,TRIM33,0,160,strict_degree_preserving_overlap_reducing_swap,,
ISG15,ENSA,0,176,strict_degree_preserving_overlap_reducing_swap,,
ISG15,GON4L,0,192,strict_degree_preserving_overlap_reducing_swap,,
ISG15,RC3H1,0,211,strict_degree_preserving_overlap_reducing_swap,,
ISG15,NUCKS1,0,245,strict_degree_preserving_overlap_reducing_swap,,
ISG15,NSL1,0,252,strict_degree_preserving_overlap_reducing_swap,,
ISG15,LYPLAL1,0,255,strict_degree_preserving_overlap_reducing_swap,,
ISG15,RAB3GAP2,0,256,strict_degree_preserving_overlap_reducing_swap,,
ISG15,AL392172.1,0,261,strict_degree_preserving_overlap_reducing_swap,,
ISG15,SRSF7,0,321,strict_degree_preserving_overlap_reducing_swap,,
ISG15,MAP4K3,0,323,strict_degree_preserving_overlap_reducing_swap,,
ISG15,MTA3,0,326,strict_degree_preserving_overlap_reducing_swap,,
ISG15,PPP4R3B,0,347,strict_degree_preserving_overlap_reducing_swap,,
ISG15,WDPCP,0,355,strict_degree_preserving_overlap_reducing_swap,,
ISG15,VPS54,0,357,strict_degree_preserving_overlap_reducing_swap,,
ISG15,NAGK,0,372,strict_degree_preserving_overlap_reducing_swap,,
ISG15,LINC00342,0,390,strict_degree_preserving_overlap_reducing_swap,,
ISG15,TMEM131,0,393,strict_degree_preserving_overlap_reducing_swap,,
ISG15,RANBP2,0,403,strict_degree_preserving_overlap_reducing_swap,,
ISG15,PTPN4,0,413,strict_degree_preserving_overlap_reducing_swap,,
ISG15,WDR33,0,419,strict_degree_preserving_overlap_reducing_swap,,
ISG15,CCNT2,0,425,strict_degree_preserving_overlap_reducing_swap,,
ISG15,R3HDM1,0,427,strict_degree_preserving_overlap_reducing_swap,,
ISG15,ORC4,0,436,strict_degree_preserving_overlap_reducing_swap,,
ISG15,EPC2,0,438,strict_degree_preserving_overlap_reducing_swap,,
ISG15,PRPF40A,0,444,strict_degree_preserving_overlap_reducing_swap,,
ISG15,ITGAV,0,477,strict_degree_preserving_overlap_reducing_swap,,
ISG15,FAM126B,0,489,strict_degree_preserving_overlap_reducing_swap,,
ISG15,CYP20A1,0,493,strict_degree_preserving_overlap_reducing_swap,,
ISG15,NRP2,0,497,strict_degree_preserving_overlap_reducing_swap,,
ISG15,INO80D,0,498,strict_degree_preserving_overlap_reducing_swap,,
ISG15,CUL3,0,515,strict_degree_preserving_overlap_reducing_swap,,
ISG15,RPL15,0,560,strict_degree_preserving_overlap_reducing_swap,,
