epoch,loss,jepa_loss,domain_loss,domain_accuracy,alignment_state,selected_sea_ad_cells,selected_rexach_cells,selected_olah_cells,lambda_grl,mask_fraction,epoch_seconds,cells_per_second,effective_dims,top_sv_ratio,mean_dim_std,centroid_l2_sea_ad_rexach,centroid_l2_sea_ad_olah,centroid_l2_rexach_olah,random_gene_dropout_genes,module_dropout_events,module_dropout_genes,external_mask_events,external_mask_genes,edge_dropout_edges
1,0.13779488878865395,0.027563724005895275,1.102311626557381,0.3600470430107527,reference_like,6263,3605,2013,0.11995727325477043,0.2,7.539819899946451,789.4087762019716,27.777116775512695,0.35090726613998413,0.02148008719086647,0.2521434426307678,0.4945375919342041,0.24248655140399933,2642043,601,6142,1478,268996,183426
2,0.13450760754846758,0.027348496981205478,1.0715910888487292,0.4272513440860215,reference_like,6263,3605,2013,0.35374915252499306,0.275,7.248405399965122,821.1461240880152,22.703266143798828,0.2970506250858307,0.02628008835017681,0.23244613409042358,0.46089160442352295,0.22854605317115784,2641860,588,5969,1464,272706,183428
3,0.11912527127612021,0.027575007729953336,0.9155026174360706,0.5645161290322581,reference_like,6263,3605,2013,0.5505020129511542,0.35,7.293255400029011,816.096471813715,18.819658279418945,0.34612002968788147,0.034196317195892334,0.20769736170768738,0.40882542729377747,0.20124278962612152,2638764,564,5742,1496,271080,183441
4,0.09731556955845125,0.027757046383715445,0.695585222013535,0.6476814516129032,reference_like,6263,3605,2013,0.7007246712918049,0.425,7.568447099998593,786.4228845572702,33.428646087646484,0.28916603326797485,0.01712118461728096,0.19635212421417236,0.38508641719818115,0.1888670027256012,2640357,556,5638,1500,278066,183430
5,0.09435430625754018,0.027596503796596682,0.6675780088670792,0.6638104838709677,reference_like,6263,3605,2013,0.807072060140185,0.5,7.967609699931927,747.0245436408428,35.17421340942383,0.3148273229598999,0.01577262207865715,0.19505390524864197,0.3788685202598572,0.1839495152235031,2639179,603,6081,1530,283526,183424
6,0.09313703736951275,0.027277424871440855,0.6585961022684651,0.6628024193548387,reference_like,6263,3605,2013,0.8783741400058992,0.5,7.961303099989891,747.6163041710544,35.796661376953125,0.31346896290779114,0.015433559194207191,0.18628254532814026,0.36932995915412903,0.18316780030727386,2642116,562,5718,1479,268433,183425
7,0.09229034954501737,0.0276223226420341,0.6466802685491501,0.6673387096774194,reference_like,6263,3605,2013,0.924445635824921,0.5,7.999565799953416,744.0403827961088,35.58269119262695,0.3137018084526062,0.015463010407984257,0.1941148191690445,0.37309542298316956,0.1791275292634964,2640938,598,6084,1510,275416,183446
8,0.09237094968557358,0.027507952384410367,0.6486299557070578,0.6646505376344086,reference_like,6263,3605,2013,0.9535054822059571,0.5,7.972032799967565,746.6100741612876,36.09873962402344,0.3194637894630432,0.015078895725309849,0.18588991463184357,0.36923664808273315,0.18346647918224335,2637165,564,5717,1481,274459,183426
9,0.09173801373089513,0.027261177077889442,0.6447683572769165,0.6582661290322581,reference_like,6263,3605,2013,0.9715567079877375,0.5,7.970017800107598,746.7988339900127,35.6511344909668,0.3148784339427948,0.015098676085472107,0.1868015080690384,0.3643859028816223,0.17772862315177917,2639866,633,6448,1465,258137,183419
10,0.09193335810015278,0.027339724283064564,0.6459363218276731,0.6570900537634409,reference_like,6263,3605,2013,0.9826630931524248,0.5,7.950970600009896,748.58785165079,36.05988311767578,0.31918075680732727,0.014894857071340084,0.1831987500190735,0.36229071021080017,0.17921306192874908,2639978,551,5601,1444,267278,183428
