development_stage,n_cells
80 year-old and over stage,1272
63-year-old stage,397
83-year-old stage,299
12th week post-fertilization stage,271
13-year-old stage,229
88-year-old stage,211
91-year-old stage,208
42-year-old stage,198
14-year-old stage,185
85-year-old stage,176
19-year-old stage,176
13th week post-fertilization stage,169
16-year-old stage,162
50-year-old stage,162
4-year-old stage,158
82-year-old stage,155
29-year-old stage,147
64-year-old stage,147
79-year-old stage,140
94-year-old stage,132
51-year-old stage,127
54-year-old stage,125
71-year-old stage,120
61-year-old stage,117
15th week post-fertilization stage,117
6-year-old stage,115
36-year-old stage,115
17th week post-fertilization stage,113
39-year-old stage,113
15-year-old stage,112
23-year-old stage,108
86-year-old stage,102
2-year-old stage,101
78-year-old stage,93
60-79 year-old stage,92
72-year-old stage,89
89-year-old stage,84
4-month-old stage,78
infant stage,76
87-year-old stage,76
76-year-old stage,76
newborn stage (0-28 days),74
84-year-old stage,73
20-year-old stage,72
59-year-old stage,69
48-year-old stage,67
18-year-old stage,66
58-year-old stage,64
60-year-old stage,64
62-year-old stage,63
41-year-old stage,60
52-year-old stage,60
22-year-old stage,60
12-year-old stage,59
7-month-old stage,58
fifth LMP month stage,55
73-year-old stage,53
75-year-old stage,53
80-year-old stage,52
28-year-old stage,52
69-year-old stage,51
66-year-old stage,50
81-year-old stage,49
10th week post-fertilization stage,48
40-year-old stage,47
70-year-old stage,47
10-year-old stage,46
eighth LMP month stage,45
6-month-old stage,44
46-year-old stage,42
30-year-old stage,41
26-year-old stage,41
17-year-old stage,40
53-year-old stage,40
35-year-old stage,39
67-year-old stage,39
37-year-old stage,39
3-month-old stage,39
31-year-old stage,39
55-year-old stage,38
27-year-old stage,38
90 year-old and over stage,37
45-year-old stage,36
1-year-old stage,36
25-year-old stage,36
1-month-old stage,36
43-year-old stage,34
2-month-old stage,33
49-year-old stage,33
16th week post-fertilization stage,33
77-year-old stage,31
38-year-old stage,30
24-year-old stage,28
3-year-old stage,28
68-year-old stage,28
21-year-old stage,27
56-year-old stage,26
65-year-old stage,26
ninth LMP month stage,25
57-year-old stage,23
9-month-old stage,22
96-year-old stage,14
8-year-old stage,14
92-year-old stage,12
32-year-old stage,11
74-year-old stage,8
33rd week post-fertilization stage,8
34th week post-fertilization stage,8
embryonic stage,7
5-month-old stage,7
sixth decade stage,7
14th week post-fertilization stage,7
5-year-old stage,7
sixth LMP month stage,7
Carnegie stage 22,6
9th week post-fertilization stage,6
seventh LMP month stage,5
11th week post-fertilization stage,5
20th week post-fertilization stage,4
fourth LMP month stage,4
21st week post-fertilization stage,4
34-year-old stage,3
47-year-old stage,3
44-year-old stage,3
31st week post-fertilization stage,3
32nd week post-fertilization stage,2
19th week post-fertilization stage,2
18th week post-fertilization stage,2
24th week post-fertilization stage,1
Carnegie stage 23,1
26th week post-fertilization stage,1
unknown,1
