donor_id,n_cells
3u5kk,275
1C41i,208
HDBR15777,184
H19.30.001,156
HDBR15853,151
H19.30.002,147
znZv1,141
tzan2,132
HSB340,115
H18.30.002,107
HSB106,93
HSB189,88
H27474,86
buFpQ,86
H20.33.025,76
LR_RM.1034.F.W.23,71
H27471,69
H21.33.015,61
H27477,61
manaab_H71,60
donor1,57
H20.33.030,56
H21.33.028,55
H20.33.002,55
franjic_hsb231,54
H20.33.032,54
postnatB_1,53
H21.33.003,51
H21.33.022,49
H19.33.004,49
H27431,48
H21.33.033,48
H21.33.025,47
H20.33.012,47
postnatB_4,44
postnatB_6,43
NIH-5162,42
LR_RM.1488.M.B.39,42
H21.33.041,41
H21.33.004,41
H21.33.006,40
H20.33.039,40
H20.33.001,38
Donor_83,38
H21.33.032,37
NIH-4392,37
H20.33.036,37
Adol1,36
H20.33.035,36
H20.33.005,36
Donor_1235,36
Donor_1139,36
H20.33.019,35
Donor_973,34
XDD424,33
donor2,33
H21.33.035,33
Adol2,33
Donor_1476,32
Donor_1484,32
H21.33.011,32
H21.33.040,32
Child1,31
Donor_648,31
postnatB_2,31
NIH-5376,31
Donor_503,31
H20.33.043,30
H21.33.014,30
Donor_1447,30
donor4,30
H20.33.008,29
5900,29
BH1878,29
R24_P2734,29
H20.33.014,28
RL2127,28
Adult2,28
Donor_449,28
Donor_1355,28
H20.33.044,28
H27464,27
Donor_15,27
JHU96,26
HSB628,26
postnatB_3,26
H21.33.030,26
Donor_1273,26
H21.33.037,26
H20.33.024,26
C37,26
Donor_752,25
H21.33.038,25
H21.33.023,24
NIH-5554,24
H20.33.013,24
RL2132,24
H21.33.036,23
Donor_1368,23
R24_P2394,23
Donor_1132,23
Donor_1474,23
postnatB_9,23
Donor_1166,23
Donor_899,22
Donor_1211,22
Donor_950,22
QSBBP4313,22
Donor_670,22
NIH-1671,22
Donor_394,22
RL2131,22
Donor_505,21
Donor_291,21
Donor_1308,21
Donor_292,21
Donor_925,21
C43,21
RL2128,21
RL2109,21
Donor_262,21
NIH-4458,21
Donor_180,21
H21.33.026,21
Child2,21
R24_P2740,20
Donor_1175,20
NIH-4341,20
Donor_1146,20
H21.33.047,20
C45,20
LR_RM.13291.M.B.37,20
4396,20
Donor_1342,19
R24_P2733,19
Donor_1214,19
H27634,19
Donor_412,19
Donor_1371,19
RL2106,19
Donor_804,18
RL2105,18
Donor_1305,18
Donor_338,18
Donor_330,18
Donor_1201,18
H20.33.034,18
14104,18
Donor_932,18
Donor_364,18
Donor_1171,18
4369,18
Donor_1291,18
H27472,18
Donor_735,17
Donor_402,17
Donor_521,17
Donor_243,17
Donor_1360,17
Donor_962,17
