tissue,n_cells
dorsolateral prefrontal cortex,5378
hypothalamus,859
middle temporal gyrus,762
frontal cortex,522
cerebellum,269
telencephalon,215
anterior cingulate cortex,213
entorhinal cortex,168
insular cortex,143
midbrain,142
hindbrain,110
Brodmann (1909) area 9,106
caudate nucleus,105
hippocampal formation,89
putamen,88
angular gyrus,81
Brodmann (1909) area 17,76
cingulate cortex,73
Brodmann (1909) area 10,67
temporal cortex,64
Brodmann (1909) area 4,60
primary somatosensory cortex,58
primary auditory cortex,52
occipital cortex,50
amygdala,44
primary visual cortex,42
diencephalon,31
primary motor cortex,24
prefrontal cortex,20
nucleus accumbens,19
dentate nucleus,13
Brodmann (1909) area 7,8
pons,7
anterior cingulate gyrus,6
Brodmann (1909) area 46,6
neocortex,6
medulla oblongata,5
hemisphere part of cerebellar posterior lobe,5
visual cortex,4
cerebral cortex,4
cerebellar cortex,3
cortical plate,3
