input_key,category,priority,required_for_phase1,status,primary_path,n_matched_paths,matched_paths,rows,columns,detected_columns,role,notes,recommended_action
gene_multitarget_counterfactual_summary,counterfactual_deltas,core,True,available,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_multitarget_gene_counterfactual_summary.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_multitarget_gene_counterfactual_summary.csv,24,14,perturbation; n_targets; n_targets_up; n_targets_down; mean_abs_delta; max_abs_delta; strongest_target; strongest_delta; AT8_delta; A_beta_6e10_delta; GFAP_delta; Iba1_delta; NeuN_delta; effect_signature,Primary gene-level multi-pathology fingerprint input.,"Already contains AT8, A_beta_6e10, GFAP, Iba1, and NeuN deltas.",Ready for direct table loading.
module_multitarget_counterfactual_summary,counterfactual_deltas,core,True,available,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_multitarget_module_counterfactual_summary.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_multitarget_module_counterfactual_summary.csv,10,14,module; n_targets; n_targets_up; n_targets_down; mean_abs_delta; max_abs_delta; strongest_target; strongest_delta; AT8_delta; A_beta_6e10_delta; GFAP_delta; Iba1_delta; NeuN_delta; effect_signature,Primary module-level multi-pathology fingerprint input.,Already contains multi-target module deltas.,Ready for direct table loading.
pathology_head_gene_counterfactual_summary,counterfactual_deltas,core,True,available,C:/Users/dushy/Desktop/Jepa project/results/tables/pathology_head_gene_counterfactual_summary.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/pathology_head_gene_counterfactual_summary.csv,14,22,module; perturbation; perturbation_type; intervention; n_genes_perturbed; genes; mean_latent_shift; median_latent_shift; mean_nearest_real_cell_distance; p95_nearest_real_cell_distance; baseline_nn_p95_threshold; manifold_violation_fraction; mean_delta_percent AT8 positive area_Grey matter; median_delta_percent AT8 positive area_Grey matter; mean_delta_percent NeuN positive area_Grey matter; median_delta_percent NeuN positive area_Grey matter; mean_delta_percent GFAP positive area_Grey matter; median_delta_percent GFAP positive area_Grey matter,Frozen Stage B pathology-head counterfactual readout with manifold-safety columns.,Useful for manifold violation and AT8/NeuN/GFAP/Iba1/6e10 deltas.,Ready for direct table loading.
pathology_head_module_counterfactual_summary,counterfactual_deltas,recommended,False,available,C:/Users/dushy/Desktop/Jepa project/results/tables/pathology_head_module_counterfactual_summary.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/pathology_head_module_counterfactual_summary.csv,15,22,module; perturbation; perturbation_type; intervention; n_genes_perturbed; genes; mean_latent_shift; median_latent_shift; mean_nearest_real_cell_distance; p95_nearest_real_cell_distance; baseline_nn_p95_threshold; manifold_violation_fraction; mean_delta_percent AT8 positive area_Grey matter; median_delta_percent AT8 positive area_Grey matter; mean_delta_percent NeuN positive area_Grey matter; median_delta_percent NeuN positive area_Grey matter; mean_delta_percent GFAP positive area_Grey matter; median_delta_percent GFAP positive area_Grey matter,Frozen Stage B module-level pathology-head counterfactual readout.,,Ready for direct table loading.
ranked_target_matrix,target_prioritization,core,True,available,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_ranked_target_matrix.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_ranked_target_matrix.csv,24,12,gene; module; upgrade_best_latent; upgrade_best_rank; bridge_best_latent; bridge_best_rank; mean_delta_raw_scale; abs_mean_delta_raw_scale; direction; druggability_evidence; cross_model_support; evidence_score,v2.1 ranked target matrix from latent decoding and counterfactual extraction.,,Ready for direct table loading.
validated_target_matrix_full_covariates,artifact_validation,core,True,available,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_target_validation_full_covariates_validated_target_matrix.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_target_validation_full_covariates_validated_target_matrix.csv,24,25,gene; module; upgrade_best_latent; upgrade_best_rank; bridge_best_latent; bridge_best_rank; mean_delta_raw_scale; abs_mean_delta_raw_scale; direction; druggability_evidence; cross_model_support; evidence_score; manifold_violation; violation_fraction; alien_cell_checked; upgrade_latent_covariate_confounded; bridge_latent_covariate_confounded; covariate_checked,"Validated target matrix with manifold, covariate, and within-state artifact checks.",,Ready for direct table loading.
target_covariate_audit_wide,artifact_validation,core,True,available,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_target_covariate_audit.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_target_covariate_audit.csv,4,18,Gene; Age at Death; Age at Death p; donor_mean_total_counts_proxy; donor_mean_total_counts_proxy p; donor_median_total_counts_proxy; donor_median_total_counts_proxy p; donor_mean_n_genes_detected_proxy; donor_mean_n_genes_detected_proxy p; donor_median_n_genes_detected_proxy; donor_median_n_genes_detected_proxy p; n_cells; n_cells p; Sex; Sex p; n_donors; Status; Warning Details,Target-level donor covariate and technical-proxy audit.,,Ready for direct table loading.
target_covariate_audit_long,artifact_validation,recommended,False,available,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_target_covariate_audit_long.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_target_covariate_audit_long.csv,28,7,Gene; covariate; covariate_type; test; effect; p_value; warning,Long-form covariate audit with per-covariate p-values and warning flags.,,Ready for direct table loading.
druggability_biomarker_summary,translation,recommended,True,available,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_druggability_summary.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_druggability_summary.csv,3,12,Target_Gene; UniProt_ID; Protein_Name; Subcellular_Location; Is_Membrane; Is_Secreted; ChEMBL_Target_ID; Known_Compounds_Count; Max_Clinical_Trial_Phase; Clinical_Molecules; Translational_Strategy; Caution,UniProt localization and ChEMBL triage for artifact-cleared targets.,,Ready for direct table loading.
consensus_graph_edges,graph_topology,core,True,available,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_graph_consensus_edges.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_graph_consensus_edges.csv,114029,9,source; target; source_idx; target_idx; in_string; in_wgcna; string_score; wgcna_tom; support,Consensus graph edges for 1-hop and 2-hop target-neighborhood coherence.,Contains STRING/WGCNA support labels.,Ready for direct table loading.
