ranking_method,top_k,overlap_promoted_tier1,overlap_broad_state_caution,overlap_prior_anchors,cleaner_vs_broad_separation_metric,status,notes
graph_jepa_therapeutic_like_percentile,20,2,5,1,96.26307922272048,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
graph_jepa_therapeutic_like_percentile,50,20,5,2,96.26307922272048,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
gene_pathology_correlation,20,0,0,1,-2.5037369207772713,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
gene_pathology_correlation,50,0,0,1,-2.5037369207772713,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
high_vs_low_pathology_differential_expression,20,0,0,1,3.512705530642755,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
high_vs_low_pathology_differential_expression,50,0,0,1,3.512705530642755,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
graph_degree_hubness,20,0,14,0,-46.898355754858,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
graph_degree_hubness,50,0,17,0,-46.898355754858,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
module_membership_or_module_score,20,1,2,9,0.0,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
module_membership_or_module_score,50,1,2,11,0.0,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
random_baseline,20,0,0,0,1.1584454409566547,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
random_baseline,50,0,0,0,1.1584454409566547,tested,Calibration comparison only; cleaner/broad labels derive from Graph-JEPA scorecard axes.
