control_gene,control_type,degree,pathology_axis_class,pathology_axis_label_confidence,therapeutic_like_score,amyloid_selectivity_score,tau_selectivity_score,discovery_sort_score,appears_in_fingerprint_table
ACTB,housekeeping_fallback,130,,,,,,,False
GAPDH,housekeeping_fallback,80,,,,,,,False
B2M,housekeeping_fallback,34,,,,,,,False
RPLP0,housekeeping_fallback,0,,,,,,,False
RPL13A,housekeeping_fallback,179,,,,,,,False
RPS18,housekeeping_fallback,264,,,,,,,False
HPRT1,housekeeping_fallback,0,,,,,,,False
TBP,housekeeping_fallback,0,,,,,,,False
TUBB,housekeeping_fallback,0,,,,,,,False
EEF1A1,housekeeping_fallback,66,,,,,,,False
BRAF,top_degree_hub,692,,,,,,,False
WAPL,top_degree_hub,657,,,,,,,False
DLG1,top_degree_hub,656,,,,,,,False
SMG1,top_degree_hub,644,,,,,,,False
PAFAH1B1,top_degree_hub,639,,,,,,,False
ANKHD1,top_degree_hub,639,,,,,,,False
RC3H1,top_degree_hub,623,,,,,,,False
PHKB,top_degree_hub,617,,,,,,,False
PPP2R5E,top_degree_hub,591,,,,,,,False
TMEM131,top_degree_hub,550,,,,,,,False
ERC1,top_degree_hub,534,,,,,,,False
HELZ,top_degree_hub,532,,,,,,,False
XIAP,top_degree_hub,486,,,,,,,False
SFSWAP,top_degree_hub,486,,,,,,,False
HDAC8,top_degree_hub,481,,,,,,,False
EXOC4,top_degree_hub,479,,,,,,,False
AGO3,top_degree_hub,478,,,,,,,False
WASL,top_degree_hub,471,,,,,,,False
PPIG,top_degree_hub,466,,,,,,,False
ZCCHC7,top_degree_hub,466,,,,,,,False
