gene,final_tier,pathology_axis_class,final_candidate_status_v3,n_donors_available,n_bootstrap,donor_level_source,tau_direction_stability,amyloid_direction_stability,neuron_direction_stability,gliosis_noninflating_stability,tau_lowering_bootstrap_mean,tau_lowering_ci_low,tau_lowering_ci_high,amyloid_lowering_bootstrap_mean,amyloid_lowering_ci_low,amyloid_lowering_ci_high,neuron_preservation_bootstrap_mean,neuron_preservation_ci_low,neuron_preservation_ci_high,gliosis_penalty_bootstrap_mean,gliosis_penalty_ci_low,gliosis_penalty_ci_high,overall_internal_robustness_status,level_2_evidence_status,minimum_required_directional_stability,required_axes,notes
UGCG,scorecard_supported_isolated_hypothesis,dual_pathology_lowering_neuron_preserving,promoted_model_hypothesis_manifold_qc_pass,89,1000,results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_donor.csv,1.0,1.0,1.0,0.0,0.03326553758829662,0.022477184815758423,0.04376191677528088,0.0368943728853955,0.02868072736120787,0.045036128960196625,0.039205378232637644,0.03134104108256462,0.04704747256050562,0.013336763335680249,0.009477785618501239,0.017430394342495385,unstable_or_not_supported,not_passed,0.0,tau_direction_stability|amyloid_direction_stability|neuron_direction_stability|gliosis_noninflating_stability,Internal donor-bootstrap robustness only; not biological validation.
SLC38A9,scorecard_supported_isolated_hypothesis,tau_lowering_neuron_preserving,promoted_model_hypothesis_manifold_qc_pass,89,1000,results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_donor.csv,1.0,1.0,1.0,0.0,0.03421552161341574,0.03024623553904495,0.03757600662921349,0.02690646482625843,0.024969574064044944,0.028509143754494398,0.016009334589148317,0.014361517082865165,0.018026920125646065,0.012117375178986065,0.0061136758340926975,0.021668040297609537,unstable_or_not_supported,not_passed,0.0,tau_direction_stability|neuron_direction_stability|gliosis_noninflating_stability,Internal donor-bootstrap robustness only; not biological validation.
MDM2,scorecard_supported_isolated_hypothesis,tau_lowering_neuron_preserving,promoted_model_hypothesis_manifold_qc_pass,89,1000,results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_donor.csv,1.0,0.761,1.0,0.0,0.03952056713419664,0.03573650727949439,0.04346251758651687,0.003801085980575282,-0.006152255670786515,0.014466939432780898,0.022953600847697757,0.020513278947528087,0.025163512150365167,0.03785471754807388,0.027817606590428364,0.04800711257854776,unstable_or_not_supported,not_passed,0.0,tau_direction_stability|neuron_direction_stability|gliosis_noninflating_stability,Internal donor-bootstrap robustness only; not biological validation.
SMARCA4,scorecard_supported_isolated_hypothesis,dual_pathology_lowering_neuron_preserving,promoted_model_hypothesis_manifold_qc_pass,89,1000,results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_donor.csv,1.0,1.0,1.0,0.0,0.02540383285632472,0.01953217310328652,0.03179998848519663,0.029959269028567413,0.0277483470127809,0.032273535158426965,0.03040906125539663,0.025519987564817423,0.03529446481424157,0.013059292322117078,0.01117916874495787,0.015096762264823028,unstable_or_not_supported,not_passed,0.0,tau_direction_stability|amyloid_direction_stability|neuron_direction_stability|gliosis_noninflating_stability,Internal donor-bootstrap robustness only; not biological validation.
AP1G1,scorecard_supported_isolated_hypothesis,dual_pathology_lowering_neuron_preserving,promoted_model_hypothesis_manifold_qc_pass,89,1000,results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_donor.csv,1.0,1.0,1.0,0.0,0.014427994037520223,0.007741880442747188,0.02161411512801685,0.034110010045808645,0.028349729405365152,0.04014131299576965,0.03213861413702247,0.03140108220449438,0.0329155437713483,0.009783873403674157,0.007013849524438201,0.012685050702106742,unstable_or_not_supported,not_passed,0.0,tau_direction_stability|amyloid_direction_stability|neuron_direction_stability|gliosis_noninflating_stability,Internal donor-bootstrap robustness only; not biological validation.
TLR2,scorecard_supported_isolated_hypothesis,tau_lowering_neuron_preserving,promoted_model_hypothesis_manifold_qc_pass,89,1000,results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_donor.csv,1.0,0.91,0.983,0.0,0.026055835295578766,0.017330356241412926,0.035114840058238776,0.018995820462018427,-0.007229777455853937,0.04480696094654494,0.027577967931848316,0.0010968060723033763,0.05475795425411516,0.07774788626412249,0.057103287007809006,0.10004883606438206,unstable_or_not_supported,not_passed,0.0,tau_direction_stability|neuron_direction_stability|gliosis_noninflating_stability,Internal donor-bootstrap robustness only; not biological validation.
NEMF,scorecard_supported_isolated_hypothesis,tau_lowering_neuron_preserving,promoted_model_hypothesis_manifold_qc_pass,89,1000,results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_donor.csv,1.0,1.0,1.0,0.0,0.03796742342727685,0.03155017398330338,0.0447108140698483,0.02572670639545394,0.012434499253792133,0.03918338657258426,0.007348325093411012,0.006671824004056181,0.008100519261870782,0.006304536671453214,0.0029038861508550564,0.012366186912035391,unstable_or_not_supported,not_passed,0.0,tau_direction_stability|neuron_direction_stability|gliosis_noninflating_stability,Internal donor-bootstrap robustness only; not biological validation.
BAZ1A,scorecard_supported_isolated_hypothesis,dual_pathology_lowering_neuron_preserving,promoted_model_hypothesis_manifold_qc_pass,89,1000,results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_donor.csv,1.0,1.0,1.0,0.0,0.021686924236579322,0.017296241494056185,0.02619414776149999,0.031078917988898877,0.026811901112219105,0.0353779176930337,0.019582915933765172,0.01283544398466293,0.02649872292762921,0.02498254199095955,0.015490532205084269,0.03577637703491573,unstable_or_not_supported,not_passed,0.0,tau_direction_stability|amyloid_direction_stability|neuron_direction_stability|gliosis_noninflating_stability,Internal donor-bootstrap robustness only; not biological validation.
GMDS,scorecard_supported_isolated_hypothesis,tau_lowering_neuron_preserving,promoted_model_hypothesis_manifold_qc_pass,89,1000,results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_donor.csv,1.0,1.0,1.0,0.0,0.024172992992957304,0.016504707898988762,0.031751282558595516,0.026371885056810106,0.02392820201716292,0.028829959768286503,0.01638034575262584,0.013209765654859552,0.019666770958483154,0.0020289096614719104,0.000931102707022472,0.003373963031882023,unstable_or_not_supported,not_passed,0.0,tau_direction_stability|neuron_direction_stability|gliosis_noninflating_stability,Internal donor-bootstrap robustness only; not biological validation.
BTBD9,scorecard_supported_isolated_hypothesis,tau_lowering_neuron_preserving,promoted_model_hypothesis_manifold_qc_pass,89,1000,results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_donor.csv,1.0,1.0,1.0,0.0,0.019669964795576405,0.018325618097921353,0.021015284650224713,0.018947033168020676,0.013726506034606744,0.024064677001008433,0.02041168171719101,0.019885264846629207,0.02094788963567416,0.0027983822676113483,0.0005888276599438203,0.0066002719458567415,unstable_or_not_supported,not_passed,0.0,tau_direction_stability|neuron_direction_stability|gliosis_noninflating_stability,Internal donor-bootstrap robustness only; not biological validation.
