candidate,observed_same_class_neighbors,observed_same_class_neighbor_fraction,n_scored_neighbors,shuffle_mean_same_class_neighbors,shuffle_sd_same_class_neighbors,shuffle_z,shuffle_empirical_p,label_shuffle_support,observed_graph_coherence_status
APOE,2.0,0.5,4,0.79,0.8015875139637213,1.5095045505596072,0.18081918081918083,not_extreme_vs_shuffled_labels,no_graph_enrichment
APP,4.0,0.6666666666666666,6,1.362,1.0353878635699905,2.547837475034954,0.022977022977022976,survives_label_shuffle,coherent_same_axis_neighborhood
BCL2,1.0,0.16666666666666666,6,1.194,0.9906287626277324,-0.19583521831669556,0.7202797202797203,not_extreme_vs_shuffled_labels,candidate_enriched_neighborhood
C1QA,,,2,,,,,not_testable_missing_fingerprint,not_available
C1QB,,,2,,,,,not_testable_missing_fingerprint,not_available
C1QC,,,1,,,,,not_testable_missing_fingerprint,not_available
C3,,,2,,,,,not_testable_missing_fingerprint,not_available
CD4,0.0,0.0,6,1.317,1.0390334886761843,-1.2675241119301826,1.0,not_extreme_vs_shuffled_labels,no_graph_enrichment
CD74,1.0,1.0,1,0.206,0.4046328307586132,1.962272805475013,0.20679320679320679,not_extreme_vs_shuffled_labels,no_graph_enrichment
CHI3L1,0.0,,0,0.0,0.0,,1.0,not_testable_no_scored_neighbors,no_scored_candidate_neighbors
CSF1R,1.0,0.14285714285714285,7,1.511,1.116748013710401,-0.4575786065669369,0.7882117882117882,not_extreme_vs_shuffled_labels,candidate_enriched_neighborhood
CTSD,0.0,0.0,3,0.652,0.7412458738134329,-0.8796001745624618,1.0,not_extreme_vs_shuffled_labels,no_graph_enrichment
CX3CR1,1.0,0.25,4,0.886,0.8183359173796968,0.13930709575234926,0.6323676323676324,not_extreme_vs_shuffled_labels,candidate_enriched_neighborhood
DRAM1,0.0,,0,0.0,0.0,,1.0,not_testable_no_scored_neighbors,not_in_graph_or_isolated
F13A1,0.0,,0,0.0,0.0,,1.0,not_testable_no_scored_neighbors,no_scored_candidate_neighbors
GRB2,2.0,0.3333333333333333,6,1.322,1.0408647363607868,0.6513814680383121,0.42157842157842157,not_extreme_vs_shuffled_labels,no_graph_enrichment
HIF1A,3.0,0.6,5,1.079,0.9463903289101473,2.0298178682914085,0.08291708291708291,not_extreme_vs_shuffled_labels,coherent_same_axis_neighborhood
HLA-DRA,,,2,,,,,not_testable_missing_fingerprint,not_available
HSP90AA1,3.0,0.375,8,1.707,1.1817561286270397,1.0941343722940562,0.27472527472527475,not_extreme_vs_shuffled_labels,coherent_same_axis_neighborhood
MAPK1,3.0,0.42857142857142855,7,1.504,1.1354617004872,1.3175257248730639,0.1938061938061938,not_extreme_vs_shuffled_labels,coherent_same_axis_neighborhood
P2RY12,0.0,0.0,2,0.439,0.6038573040409856,-0.7269929452906042,1.0,not_extreme_vs_shuffled_labels,no_graph_enrichment
P2RY13,0.0,0.0,1,0.209,0.4067978422810087,-0.5137687034623614,1.0,not_extreme_vs_shuffled_labels,no_graph_enrichment
PLCG2,1.0,0.3333333333333333,3,0.627,0.7002580676874499,0.5326607678106512,0.5064935064935064,not_extreme_vs_shuffled_labels,coherent_same_axis_neighborhood
PTPRG,0.0,,0,0.0,0.0,,1.0,not_testable_no_scored_neighbors,no_scored_candidate_neighbors
RHOA,0.0,0.0,2,0.423,0.5730614272478974,-0.7381407644751786,1.0,not_extreme_vs_shuffled_labels,no_graph_enrichment
ROCK1,3.0,0.75,4,0.892,0.8654970162196293,2.435594762888324,0.03896103896103896,survives_label_shuffle,coherent_same_axis_neighborhood
SPP1,,,0,,,,,not_testable_missing_fingerprint,not_available
STAT3,3.0,0.3333333333333333,9,1.811,1.2589137634738397,0.9444650098344147,0.3146853146853147,not_extreme_vs_shuffled_labels,candidate_enriched_neighborhood
TLR2,0.0,0.0,4,0.852,0.8238778882666865,-1.0341338347998126,1.0,not_extreme_vs_shuffled_labels,no_graph_enrichment
TREM2,,,6,,,,,not_testable_missing_fingerprint,not_available
TYROBP,,,4,,,,,not_testable_missing_fingerprint,not_available
UGCG,0.0,,0,0.0,0.0,,1.0,not_testable_no_scored_neighbors,no_scored_candidate_neighbors
