epoch,loss,disease_jepa_loss,sea_rehearsal_loss,cellxgene_rehearsal_loss,alignment_loss,variance_loss,covariance_loss,mask_fraction,ema_decay,steps
1,0.40758381152153017,0.4047797239303589,0.0027398127017011576,0.002868363352598681,0.011393162775039673,0.3933865611553192,220.0605792739868,0.2,0.995,2500
2,0.4084032573580742,0.4069501554965973,0.001541647033439949,0.0013645572842331604,0.0038110496520996095,0.4031391058444977,225.24671507873535,0.23333333333333334,0.9955,2500
3,0.40024483811855316,0.3995637362360954,0.0006906566550838761,0.0006715474870288745,0.0020031161308288574,0.39756062010526655,264.15419424438477,0.26666666666666666,0.996,2500
4,0.38632842930555344,0.3861412886500359,0.00016559501447045477,0.00020868701575236628,0.0013437710762023926,0.38479751757383346,254.17730945129395,0.3,0.9965,2500
5,0.375596307349205,0.37554187809228895,3.2108928273737545e-05,7.674889418813108e-05,0.000871088981628418,0.37467078911066054,251.51246455078126,0.33333333333333337,0.997,2500
6,0.37005991854667664,0.37002338401079177,1.6223445042305685e-05,5.6845636030266176e-05,0.0006804627895355224,0.3693429212212563,262.09661333618163,0.3666666666666667,0.9975,2500
7,0.36645638518333434,0.3664201306939125,1.7596378512280352e-05,5.4911744033233844e-05,0.0006401339530944824,0.365779996740818,281.2225922851562,0.4,0.998,2500
8,0.36354316725730895,0.3635046656370163,1.9445542741050305e-05,5.7558029618485304e-05,0.0006501078128814697,0.36285455782413484,300.24735974426267,0.43333333333333335,0.9985,2500
9,0.3615630348443985,0.3615166300177574,2.4231909805166652e-05,6.857777826226083e-05,0.0006529229164123536,0.3608637071013451,315.43328502197267,0.4666666666666667,0.999,2500
10,0.36017980148792267,0.3601245188474655,2.7342155521000676e-05,8.322391793908537e-05,0.0006468942642211914,0.35947762458324434,328.549127633667,0.5,0.9995,2500
11,0.35926458526849747,0.35923896890878676,1.0036518574224828e-05,4.1195770724880274e-05,0.0006079104423522949,0.3586310584664345,344.09946071472166,0.5,0.9995,2500
12,0.35850904690027235,0.3584934772014618,6.710459402529523e-06,2.442782417738272e-05,0.0006079369068145751,0.3578855402946472,353.81225577697757,0.5,0.9995,2500
13,0.35776671621799466,0.35775617611408234,4.62318347672408e-06,1.6457695457756926e-05,0.000589783525466919,0.35716639258861543,363.0150680603027,0.5,0.9995,2500
14,0.35773416259288787,0.3577262787103653,3.6736129861765223e-06,1.2093996427847742e-05,0.000602545690536499,0.3571237330198288,370.80965072021485,0.5,0.9995,2500
15,0.35718351616859434,0.3571766162276268,3.748907058934492e-06,1.005027465225794e-05,0.0006102492809295654,0.35656636694669724,377.9701235961914,0.5,0.9995,2500
16,0.35673193442821505,0.3567249951839447,4.10032488316574e-06,9.777718434361305e-06,0.0006176643848419189,0.3561073307991028,384.2415097167969,0.5,0.9995,2500
17,0.35655220854282377,0.3565442708969116,4.09115787247174e-06,1.1784610279846675e-05,0.000626997184753418,0.3559172737121582,391.02068526000977,0.5,0.9995,2500
18,0.3562118344426155,0.3562037712931633,3.975715628666876e-06,1.2150693525927635e-05,0.0006152319908142089,0.35558853930234907,399.55744666748046,0.5,0.9995,2500
19,0.35560471059083937,0.35559576305150986,4.622667095100042e-06,1.3271718113719545e-05,0.0006279805183410645,0.3549677825331688,404.9827627227783,0.5,0.9995,2500
20,0.35565056140422824,0.3556415163874626,4.5028461006040745e-06,1.358689161370421e-05,0.0006108217239379883,0.3550306946635246,410.6781301574707,0.5,0.9995,2500
