gene,module,mean_donor_delta,bootstrap_ci_low,bootstrap_ci_high,adjusted_slope,partial_spearman,model_implied_at8_reducing_knockout,confounder_adjusted_abs_partial_spearman,at8_pseudobulk_score,is_hpa_fda_drug_target,is_hpa_predicted_secreted,is_hpa_predicted_membrane,biology_score,translational_bonus,translational_priority_score,translational_category
PTPRG,at8_associated_first_pass,-0.004661226645112,-0.0077993415296077,-0.0018228481116238,1.892717957496643,0.3551078262630353,True,0.3551078262630353,0.70768356,0,0,1,0.9273404713225009,0.2,1.1273404713225008,surface_target_candidate
CHI3L1,at8_associated_first_pass,-0.004308036994189,-0.0087369370041415,-0.0006146715284558,4.046985626220703,0.4158752657689581,True,0.4158752657689581,0.6525925,0,1,0,0.9579087626474166,0.15,1.1079087626474167,secreted_biomarker_candidate
MRC1,vascular_barrier_myeloid,-0.0035524046979844,-0.005808620119933,-0.0010068400850286,-1.1011844873428345,-0.1374101447808038,True,0.1374101447808038,-0.20624317,1,0,1,0.4420597063461221,0.45,0.8920597063461222,actionable_surface_drug_target
DRAM1,at8_associated_first_pass,-0.0023238535504788,-0.0043486723909154,-0.0007127151096938,4.37706995010376,0.2810974992406601,True,0.2810974992406601,0.6452604,0,0,1,0.6456887063126954,0.2,0.8456887063126954,surface_target_candidate
S100A4,at8_associated_first_pass,-0.0017934101633727,-0.0034777427266817,-0.0004110288631636,9.555667877197266,0.3326718639262934,True,0.3326718639262934,0.6781692,0,1,0,0.6768252821839794,0.15,0.8268252821839794,secreted_biomarker_candidate
P2RY12,homeostatic_microglia,-0.0023165594320744,-0.0036262596608139,-0.0009767180992639,-1.0541304349899292,-0.1527184367722993,True,0.1527184367722993,-0.22250336,1,0,1,0.37215843080057776,0.45,0.8221584308005778,actionable_surface_drug_target
TNFRSF11B,at8_associated_first_pass; inflammatory_signaling,-0.001194474985823,-0.0021436712937429,-0.0003567934138118,10.497906684875488,0.3057811076237724,True,0.3057811076237724,0.64164394,0,1,0,0.5893746172270672,0.15,0.7393746172270672,secreted_biomarker_candidate
CSF2RA,,,,,,,,,-0.28464565,1,1,1,0.0804407037490222,0.6,0.6804407037490222,actionable_surface_drug_target
TNFRSF1A,,,,,,,,,0.26145223,1,1,1,0.07388576172774246,0.6,0.6738857617277424,actionable_surface_drug_target
IL6R,,,,,,,,,-0.21295446,1,1,1,0.060179285041192604,0.6,0.6601792850411926,actionable_surface_drug_target
APP,,,,,,,,,0.108677976,1,1,1,0.030708585730659533,0.6,0.6307085857306595,actionable_surface_drug_target
IL6,inflammatory_signaling,6.210947844920156e-07,-3.2264228684653064e-05,3.0087675759205e-05,,,False,,0.09711445,1,1,1,0.0274710152937384,0.6,0.6274710152937384,actionable_surface_drug_target
TGFBR2,,,,,,,,,-0.095755555,1,1,1,0.027056441267722733,0.6,0.6270564412677228,actionable_surface_drug_target
NFKBIA,at8_associated_first_pass; inflammatory_signaling,-0.0010495042661204,-0.0020539476652629,-0.0001595178884599,6.192605972290039,0.3488103675205021,True,0.3488103675205021,0.62326634,0,0,0,0.6247447474123291,0.0,0.6247447474123291,biology_first_hard_target
TNFSF13B,,,,,,,,,0.08203053,1,1,1,0.023177464251154464,0.6,0.6231774642511544,actionable_surface_drug_target
SLC38A2,,,,,,,,,0.5992571,1,0,1,0.16935643131230296,0.45,0.619356431312303,actionable_surface_drug_target
IFNAR2,,,,,,,,,0.062332515,1,1,1,0.017610396252588555,0.6,0.6176103962525885,actionable_surface_drug_target
FCGR3A,,,,,,,,,-0.03916036,1,1,1,0.011061464161801286,0.6,0.6110614641618013,actionable_surface_drug_target
IL4R,,,,,,,,,-0.025110284,1,1,1,0.007090620984099425,0.6,0.6070906209840994,actionable_surface_drug_target
MT-ND1,,,,,,,,,0.53318995,1,0,1,0.1506844830717593,0.45,0.6006844830717593,actionable_surface_drug_target
CCR5,,,,,,,,,0.33155018,1,0,1,0.09369689773358231,0.45,0.5436968977335823,actionable_surface_drug_target
ITGB1,,,,,,,,,0.31597418,1,0,1,0.08929479675306916,0.45,0.5392947967530691,actionable_surface_drug_target
SOAT1,,,,,,,,,0.2926943,1,0,1,0.08271541934075353,0.45,0.5327154193407535,actionable_surface_drug_target
BCL2,,,,,,,,,0.2913619,1,0,1,0.08233885543818319,0.45,0.5323388554381832,actionable_surface_drug_target
IFNAR1,,,,,,,,,0.2691652,1,0,1,0.07606560718226663,0.45,0.5260656071822667,actionable_surface_drug_target
OPRM1,,,,,,,,,-0.25570711,1,0,1,0.0722620715386589,0.45,0.5222620715386589,actionable_surface_drug_target
CTSD,at8_associated_first_pass,-0.0024906557518988,-0.0045670188497751,-0.0007294043767615,0.274726390838623,0.0395261719145489,True,0.0395261719145489,0.63930154,0,1,0,0.36768350739567923,0.15,0.5176835073956793,secreted_biomarker_candidate
IFNGR1,,,,,,,,,-0.2304157,1,0,1,0.06511419398604207,0.45,0.5151141939860421,actionable_surface_drug_target
BMPR2,,,,,,,,,0.22791156,1,0,1,0.06440647203243767,0.45,0.5144064720324377,actionable_surface_drug_target
ATP2B4,,,,,,,,,0.2175584,1,0,1,0.06148045406971236,0.45,0.5114804540697123,actionable_surface_drug_target
CACNB4,,,,,,,,,-0.2120289,1,0,1,0.05991770256921496,0.45,0.509917702569215,actionable_surface_drug_target
ATP2C1,,,,,,,,,-0.20840968,1,0,1,0.058894835856920874,0.45,0.5088948358569209,actionable_surface_drug_target
CACNA1D,,,,,,,,,-0.20572147,1,0,1,0.05813509189975438,0.45,0.5081350918997544,actionable_surface_drug_target
ITGAV,,,,,,,,,0.2056809,1,0,1,0.05812362597546192,0.45,0.5081236259754619,actionable_surface_drug_target
AXL,,,,,,,,,0.19861953,1,0,1,0.05612793620910559,0.45,0.5061279362091056,actionable_surface_drug_target
CSF3R,,,,,,,,,-0.18877847,1,0,1,0.053346648338324344,0.45,0.5033466483383243,actionable_surface_drug_target
TRPM7,,,,,,,,,0.17895351,1,0,1,0.05056991066180262,0.45,0.5005699106618027,actionable_surface_drug_target
GRIK2,,,,,,,,,-0.17651223,1,0,1,0.04987995424926364,0.45,0.4998799542492637,actionable_surface_drug_target
CD4,,,,,,,,,-0.17483108,1,0,1,0.04940482635613385,0.45,0.49940482635613387,actionable_surface_drug_target
PTAFR,,,,,,,,,0.16452023,1,0,1,0.04649076607782594,0.45,0.49649076607782594,actionable_surface_drug_target
CACNA1A,,,,,,,,,0.1559285,1,0,1,0.0440625648029605,0.45,0.4940625648029605,actionable_surface_drug_target
ITGAX,,,,,,,,,-0.14751808,1,0,1,0.04168560549835551,0.45,0.4916856054983555,actionable_surface_drug_target
MAP3K1,,,,,,,,,0.14725733,1,0,1,0.041611912134804606,0.45,0.4916119121348046,actionable_surface_drug_target
BMPR1A,,,,,,,,,0.14313367,1,0,1,0.04044648020559924,0.45,0.4904464802055992,actionable_surface_drug_target
LPL,,,,,,,,,0.3200483,1,1,0,0.09044622764975176,0.4,0.49044622764975176,known_drug_target
ATP2B1,,,,,,,,,-0.14028054,1,0,1,0.03964012643245264,0.45,0.48964012643245264,actionable_surface_drug_target
P2RX4,,,,,,,,,-0.12138925,1,0,1,0.034301055667676175,0.45,0.4843010556676762,actionable_surface_drug_target
ALCAM,,,,,,,,,0.47300988,0,1,1,0.13367634586359609,0.35,0.4836763458635961,surface_target_candidate
RYR1,,,,,,,,,-0.11690006,1,0,1,0.03303231737153405,0.45,0.48303231737153407,actionable_surface_drug_target
TLR2,,,,,,,,,0.11346339,1,0,1,0.032061043079244615,0.45,0.48206104307924463,actionable_surface_drug_target
VKORC1L1,,,,,,,,,-0.110796675,1,0,1,0.03130737405534573,0.45,0.48130737405534574,actionable_surface_drug_target
NNT,,,,,,,,,-0.098208226,1,0,1,0.027749617013355512,0.45,0.4777496170133555,actionable_surface_drug_target
C3,complement,0.0003881930024363,0.0002795739506836,0.0004986408312106,,,False,,-0.17008413,1,1,0,0.0771969194901827,0.4,0.4771969194901827,known_drug_target
CACNA1C,,,,,,,,,0.09264941,1,0,1,0.026178580202615133,0.45,0.47617858020261516,actionable_surface_drug_target
FCGRT,,,,,,,,,0.08916821,1,0,1,0.025194720807817858,0.45,0.4751947208078179,actionable_surface_drug_target
ABCA1,,,,,,,,,0.08644584,1,0,1,0.024425322525439868,0.45,0.4744253225254399,actionable_surface_drug_target
PDE3B,,,,,,,,,-0.08117063,1,0,1,0.022934438658374332,0.45,0.47293443865837437,actionable_surface_drug_target
CKLF,,,,,,,,,0.4311287,0,1,1,0.12183985488112002,0.35,0.47183985488112,surface_target_candidate
RYR2,,,,,,,,,-0.074794024,1,0,1,0.021132277415118944,0.45,0.471132277415119,actionable_surface_drug_target
KCNMA1,,,,,,,,,0.07156945,1,0,1,0.020220945855852306,0.45,0.47022094585585233,actionable_surface_drug_target
CD163,vascular_barrier_myeloid,-0.0006462618475779,-0.0008756517883739,-0.0004233540530549,,,True,,0.25179154,0,1,1,0.1196677746113582,0.35,0.46966777461135817,surface_target_candidate
FCGR1A,,,,,,,,,-0.06870042,1,0,1,0.019410098412598473,0.45,0.4694100984125985,actionable_surface_drug_target
UGCG,,,,,,,,,0.05764516,1,0,1,0.016285652413251552,0.45,0.46628565241325154,actionable_surface_drug_target
KCND2,,,,,,,,,0.0549573,1,0,1,0.015526007373351573,0.45,0.4655260073733516,actionable_surface_drug_target
KCNQ1,,,,,,,,,-0.049148083,1,0,1,0.013884202041320653,0.45,0.46388420204132064,actionable_surface_drug_target
HRH2,,,,,,,,,-0.0455572,1,0,1,0.012869343953544075,0.45,0.46286934395354407,actionable_surface_drug_target
SLC7A7,,,,,,,,,0.043202385,1,0,1,0.012203824345144804,0.45,0.46220382434514484,actionable_surface_drug_target
FCGR2A,,,,,,,,,0.035863366,1,0,1,0.010129665206989656,0.45,0.46012966520698967,actionable_surface_drug_target
INSR,,,,,,,,,0.035387665,1,0,1,0.009995222228142,0.45,0.459995222228142,actionable_surface_drug_target
CSF1R,homeostatic_microglia,6.087151632527821e-05,-4.643434622266796e-05,0.000173448852729,,,False,,-0.018142227,1,0,1,0.009676089207959909,0.45,0.45967608920795994,actionable_surface_drug_target
CD86,,,,,,,,,-0.029435286,1,0,1,0.008312956342658832,0.45,0.45831295634265884,actionable_surface_drug_target
IFNGR2,,,,,,,,,-0.026138108,1,0,1,0.007381105385627092,0.45,0.4573811053856271,actionable_surface_drug_target
HLA-E,,,,,,,,,0.37274536,0,1,1,0.1053395108736963,0.35,0.4553395108736963,surface_target_candidate
ATP2A2,,,,,,,,,0.01853017,1,0,1,0.005230944154920671,0.45,0.45523094415492066,actionable_surface_drug_target
TLR4,,,,,,,,,-0.01410916,1,0,1,0.0039814749422949405,0.45,0.45398147494229496,actionable_surface_drug_target
CHRM3,,,,,,,,,-0.007932401,1,0,1,0.002235794610355201,0.45,0.45223579461035524,actionable_surface_drug_target
ERBB4,,,,,,,,,0.0078121717,1,0,1,0.0022018153140393043,0.45,0.4522018153140393,actionable_surface_drug_target
GRM5,,,,,,,,,-0.0034320008,1,0,1,0.0009638880789529449,0.45,0.45096388807895293,actionable_surface_drug_target
IGF1R,,,,,,,,,0.0027172326,1,0,1,0.0007618797460009922,0.45,0.450761879746001,actionable_surface_drug_target
CD74,antigen_presentation,0.0005184445763006,0.0001935926469741,0.0008656349076773,,,False,,0.20583871,0,1,1,0.09708262555430391,0.35,0.4470826255543039,surface_target_candidate
C1QB,complement; vascular_barrier_myeloid,0.0007844974170438,0.0005534042385988,0.0010118338133906,,,False,,0.13373768,0,1,1,0.09668354836571257,0.35,0.44668354836571256,surface_target_candidate
PILRA,,,,,,,,,0.32018685,0,1,1,0.09048538475625216,0.35,0.44048538475625215,surface_target_candidate
IL1B,inflammatory_signaling,-0.000167441132362,-0.0006451826819102,0.0003764714681892,,,True,,-0.096758395,1,1,0,0.03989706828650589,0.4,0.43989706828650593,known_drug_target
SERPINE1,,,,,,,,,0.13453229,1,1,0,0.0380155516403857,0.4,0.43801555164038575,known_drug_target
ADAM28,,,,,,,,,-0.30794436,0,1,1,0.08702540291027613,0.35,0.43702540291027614,surface_target_candidate
