module,perturbation,perturbation_type,intervention,n_genes_perturbed,genes,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction,mean_delta_percent AT8 positive area_Grey matter,median_delta_percent AT8 positive area_Grey matter,mean_delta_percent NeuN positive area_Grey matter,median_delta_percent NeuN positive area_Grey matter,mean_delta_percent GFAP positive area_Grey matter,median_delta_percent GFAP positive area_Grey matter,mean_delta_percent Iba1 positive area_Grey matter,median_delta_percent Iba1 positive area_Grey matter,mean_delta_percent 6e10 positive area_Grey matter,median_delta_percent 6e10 positive area_Grey matter
antigen_presentation,antigen_presentation,module,global_mean,10,B2M;CD74;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;TAP1;TAP2,0.0006894075777381659,0.0006779039395041764,0.0006894075714267422,0.0009968545637093487,0.018411203846335412,0.0,-0.011961103416979313,-0.01418149471282959,0.12006334960460663,0.12220120429992676,0.12317533046007156,0.08581352233886719,-0.08848681300878525,-0.0930471420288086,0.046459317207336426,0.038904428482055664
at8_associated_first_pass,at8_associated_first_pass,module,global_mean,10,BSG;CHI3L1;CTSD;DRAM1;IL27RA;NFKBIA;PTPRG;S100A4;SLC6A12;TNFRSF11B,0.0003923366020899266,0.00033176623401232064,0.00039233658293438476,0.0006977201963309203,0.018411203846335412,0.0,0.02588135562837124,0.057619333267211914,0.025841781869530678,0.007431983947753906,0.00813941191881895,0.01214456558227539,-0.019359232857823372,0.005866527557373047,-0.010365752503275871,0.029831647872924805
chemokine_migration,chemokine_migration,module,global_mean,10,CCL2;CCL3;CCL4;CCL5;CCR1;CCR5;CX3CR1;CXCL10;CXCL8;ITGAM,0.0004781995958182961,0.0004436486924532801,0.0004781996156213157,0.0007255176955368376,0.018411203846335412,0.0,0.007304801139980555,0.0028564929962158203,-0.019578825682401657,-0.008955955505371094,0.05235954746603966,0.06789827346801758,0.010477726347744465,0.01940155029296875,-0.03565637022256851,-0.056854248046875
complement,complement,module,global_mean,9,C1QA;C1QB;C1QC;C3;C4A;C4B;CFH;SERPING1;VSIG4,0.0005509670008905232,0.0005151162622496486,0.000550967003465584,0.0008882213034667075,0.018411203846335412,0.0,0.04698341712355614,0.0451582670211792,0.041361670941114426,0.03421211242675781,0.15068477392196655,0.1363515853881836,-0.017623724415898323,-0.011280298233032227,0.07034733146429062,0.07586956024169922
disease_associated_microglia,disease_associated_microglia,module,global_mean,13,APOE;AXL;CD9;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,0.0007292646914720535,0.0007175363134592772,0.000729264655746426,0.0010504495003260672,0.018411203846335412,0.0,-0.006182339042425156,-0.001457810401916504,0.02486771158874035,0.0076045989990234375,-0.08206215500831604,-0.05376601219177246,-0.011895881965756416,-0.0162966251373291,0.017379244789481163,0.02504253387451172
homeostatic_microglia,homeostatic_microglia,module,global_mean,10,CSF1R;CX3CR1;GPR34;HEXB;OLFML3;P2RY12;P2RY13;SALL1;SELPLG;TMEM119,0.0006837135297246277,0.0006347083835862577,0.0006837134796386551,0.0010597600718028845,0.018411203846335412,0.0,0.035160936415195465,0.03394877910614014,0.0018550867680460215,0.005602836608886719,0.18069575726985931,0.22401857376098633,0.022212235257029533,0.016348838806152344,0.0551234669983387,0.05119609832763672
inflammatory_signaling,inflammatory_signaling,module,global_mean,11,CCL2;CCL3;CCL4;CXCL8;IL18;IL1B;IL27RA;IL6;NFKBIA;TNF;TNFRSF11B,0.00030779922963120043,0.00031202047830447555,0.00030779923678204334,0.000662014842964709,0.018411203846335412,0.0,0.015083844773471355,0.00798940658569336,0.016901161521673203,0.015470504760742188,-0.018368594348430634,-0.012171745300292969,0.02084258385002613,0.02545452117919922,-0.02123131789267063,-0.018143892288208008
interferon_response,interferon_response,module,global_mean,10,IFI27;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;ISG15;MX1;OAS1;STAT1,0.0005177254206500947,0.00036307191476225853,0.000517725397098832,0.0011159608722664416,0.018411203846335412,0.0,0.012113472446799278,0.010212063789367676,0.040370069444179535,0.04740142822265625,0.04888564720749855,0.034702301025390625,-0.002088901586830616,0.003478527069091797,-0.030238931998610497,-0.0016756057739257812
lipid_metabolism,lipid_metabolism,module,global_mean,9,ABCA1;ABCA7;APOE;CLU;LPL;MSR1;PLCG2;SORL1;TREM2,0.0006162520730867982,0.0005949604674242437,0.0006162521249444245,0.0010029714088886977,0.018411203846335412,0.0,-0.043741002678871155,-0.043401479721069336,-0.0270613394677639,-0.030634641647338867,-0.078745536506176,-0.09086227416992188,0.038987524807453156,0.01153707504272461,-0.034166641533374786,-0.05135846138000488
lysosome_phagocytosis,lysosome_phagocytosis,module,global_mean,10,CD68;CTSB;CTSD;CTSS;FCGR3A;LAMP1;LAMP2;LAPTM5;MERTK;NPC2,0.0007253653020597994,0.000706033781170845,0.000725365326767909,0.0010625149123370647,0.018411203846335412,0.0,0.005466841626912355,0.010648965835571289,-0.043423060327768326,-0.06252384185791016,-0.05788246914744377,-0.061702728271484375,-0.005402689799666405,-0.0041294097900390625,0.05206683650612831,0.07342743873596191
oxidative_stress,oxidative_stress,module,global_mean,9,GPX4;HMOX1;KEAP1;NFE2L2;NQO1;PRDX1;SOD1;SOD2;TXN,0.0004593407502397895,0.0004501873336266726,0.0004593407588960926,0.0007375906687229872,0.018411203846335412,0.0,0.028008557856082916,0.028798460960388184,0.0006640948704443872,0.0016252994537353516,0.06741179525852203,0.04613447189331055,-0.03090433031320572,-0.029555797576904297,0.04442290961742401,0.04849648475646973
plaque_response,plaque_response,module,global_mean,12,APOE;AXL;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,0.000723621342331171,0.0007139375666156411,0.0007236213637766459,0.0010355883045122028,0.018411203846335412,0.0,-0.007856928743422031,0.0019074678421020508,0.02385956048965454,0.015140533447265625,-0.0848768949508667,-0.059548377990722656,-0.01163117028772831,-0.016422748565673828,0.01593254879117012,0.022983312606811523
senescence_stress,senescence_stress,module,global_mean,10,CDKN1A;CDKN2A;DDIT3;FOS;GADD45A;HSP90AA1;HSPA1A;HSPA1B;JUN;SERPINE1,0.000772344006691128,0.0007729778299108148,0.0007723440616242738,0.0012996556470170621,0.018411203846335412,0.0,0.034404829144477844,0.05965316295623779,-0.01203300803899765,-0.03466296195983887,0.008829494938254356,0.031172752380371094,0.06176716461777687,0.08473992347717285,0.06454035639762878,0.1478719711303711
