path,version_bucket,stage_hint,role,byte_size,referenced_by_tracked_doc_or_config_count,physical_move_recommended_now,path_policy,notes
configs/agent/stage36a_module_counterfactual_agent_v1.yaml,v3,stage36a,stage_agent_config,997,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage36b_local_knowledge_grounding_schema_v1.yaml,v3,stage36b,stage_agent_config,1569,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage36c_ranked_hypothesis_package_v1.yaml,v3,stage36c,stage_agent_config,1342,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage36d_validation_handoff_v1.yaml,v3,stage36d,stage_agent_config,1516,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage36e_frozen_validation_protocol_v1.yaml,v3,stage36e,stage_agent_config,2169,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage37a_validation_dataset_eligibility_audit_v1.yaml,v3,stage37a,stage_agent_config,2184,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage37b_manual_dataset_approval_v1.yaml,v3,stage37b,stage_agent_config,2190,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage37b_rev1_dataset_claim_reclassification_v1.yaml,v3,stage37b,stage_agent_config,3770,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage37c_f_multidataset_external_support_v1.yaml,v3,stage37c,stage_agent_config,4519,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage38a_external_data_acquisition_preprocessing_v1.yaml,v3,stage38a,stage_agent_config,4284,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage38b_prepared_external_support_analysis_v1.yaml,v3,stage38b,stage_agent_config,2443,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage38c_external_support_prioritization_v1.yaml,v3,stage38c,stage_agent_config,2556,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage39a_external_metadata_rescue_v1.yaml,v3,stage39a,stage_agent_config,3783,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage39b_lph_internal_model_rescue_v1.yaml,v3,stage39b,stage_agent_config,3111,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage39c_target_engineering_residual_stack_v1.yaml,v3,stage39c,stage_agent_config,2948,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage39d_metadata_composition_stack_v1.yaml,v3,stage39d,stage_agent_config,3085,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage39e_strong_simple_model_leaderboard_v1.yaml,v3,stage39e,stage_agent_config,2596,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage39f_robustness_confirmation_v1.yaml,v3,stage39f,stage_agent_config,3015,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage39h_proxy_safe_composition_decomposition_v1.yaml,v3,stage39h,stage_agent_config,3908,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage40a_conditional_dualhead_ema_vicreg_v1.yaml,v3,stage40a,stage_agent_config,3673,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage40b_terminal_rescue_synthesis_v1.yaml,v3,stage40b,stage_agent_config,2723,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage41_internal_multimodal_feature_acquisition_and_benchmark_v1.yaml,v3,stage41,stage_agent_config,3811,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage41a_manual_internal_feature_acquisition_v1.yaml,v3,stage41a,stage_agent_config,2331,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage41abc_seaad_safe_feature_download_analyze_benchmark_v1.yaml,v3,stage41abc,stage_agent_config,4532,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage41b_safe_metadata_mri_benchmark_v1.yaml,v3,stage41b,stage_agent_config,3461,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage41full_safe_feature_pipeline_v1.yaml,v3,stage41full,stage_agent_config,4735,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage42_safe_external_support_and_manuscript_synthesis_v1.yaml,v3,stage42,stage_agent_config,4655,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage43_manuscript_draft_package_v1.yaml,v3,stage43,stage_agent_config,3635,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage44_manuscript_polish_figures_tables_pi_review_v1.yaml,v3,stage44,stage_agent_config,3880,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage45_new_safe_feature_acquisition_and_benchmark_v1.yaml,v3,stage45,stage_agent_config,4378,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage47_cross_version_candidate_network_drug_synthesis_v1.yaml,v3,stage47,stage_agent_config,3581,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage48_candidate_evidence_consistency_dossier_v1.yaml,v3,stage48,stage_agent_config,2156,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage49_known_experimental_evidence_concordance_v1.yaml,v3,stage49,stage_agent_config,3839,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage50_graph_specific_jepa_topology_audit_v1.yaml,v3,stage50,stage_agent_config,2682,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage51_string_graph_topology_jepa_run_v1.yaml,v3,stage51,stage_agent_config,1802,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage53_heterogeneity_composition_auxiliary_jepa_v1.yaml,v3,stage53,stage_agent_config,3961,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage54_state_specific_microglia_programming_v1.yaml,v3,stage54,stage_agent_config,2035,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage55_full_state_specific_microglia_programming_v1.yaml,v3,stage55,stage_agent_config,2017,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage56_target_gated_state_programming_ensemble_v1.yaml,v3,stage56,stage_agent_config,1970,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage57_repaired_state_module_confirmation_v1.yaml,v3,stage57,stage_agent_config,2103,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage58_state_programming_decision_synthesis_v1.yaml,v3,stage58,stage_agent_config,1017,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage59_dlpfc_microglia_pvm_acquisition_audit_v1.yaml,v3,stage59,stage_agent_config,1093,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage60_gene_preserved_mtg_microglia_module_rebuild_v1.yaml,v3,stage60,stage_agent_config,1870,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage61_dlpfc_microglia_pvm_support_audit_v1.yaml,v3,stage61,stage_agent_config,2257,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage62_dlpfc_state_module_robustness_lock_audit_v1.yaml,v3,stage62,stage_agent_config,3492,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage63_dlpfc_signal_instability_diagnosis_and_external_handoff_v1.yaml,v3,stage63,stage_agent_config,4019,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage64_cell_level_microglia_rare_state_mining_v1.yaml,v3,stage64,stage_agent_config,2872,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage65_retrospective_rare_tail_signal_backtrace_v1.yaml,v3,stage65,stage_agent_config,3934,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage66_graph_rare_tail_signal_preservation_audit_v1.yaml,v3,stage66,stage_agent_config,2715,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage67_legacy_cell_level_artifact_and_seaad_availability_audit_v1.yaml,v3,stage67,stage_agent_config,2012,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage68_rare_tail_cell_extraction_expression_contrast_v1.yaml,v3,stage68,stage_agent_config,2879,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage69_rare_microglia_auxiliary_head_jepa_audit_v1.yaml,v3,stage69,stage_agent_config,2660,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage70_rare_microglia_auxiliary_head_robustness_lock_audit_v1.yaml,v3,stage70,stage_agent_config,2802,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage71_full_rare_microglia_graph_jepa_hierarchical_benchmark_v1.yaml,v3,stage71,stage_agent_config,3783,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage72a_external_multiomic_grn_resource_eligibility_audit_v1.yaml,v3,stage72a,stage_agent_config,3704,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage72b_external_morabito_micro_pvm_grn_construction_v1.yaml,v3,stage72b,stage_agent_config,2947,1,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage73_context_specific_grn_graph_jepa_diagnostic_v1.yaml,v3,stage73,stage_agent_config,2963,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage73r_context_specific_grn_control_repair_v1.yaml,v3,stage73r,stage_agent_config,3145,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage74_directed_micro_pvm_grn_in_silico_perturbation_audit_v1.yaml,v3,stage74,stage_agent_config,2664,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage75a_scenicplus_celloracle_egrn_readiness_v1.yaml,v3,stage75a,stage_agent_config,2953,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage75b_scenicplus_resource_acquisition_v1.yaml,v3,stage75b,stage_agent_config,3198,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage75c_peak_gene_preflight_annotation_v1.yaml,v3,stage75c,stage_agent_config,1931,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage75d_scenicplus_wsl_execution_handoff_v1.yaml,v3,stage75d,stage_agent_config,1669,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/data/stage32_external_pretraining_matrix_v1.yaml,v3,stage32,data_config,1580,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/data/stage32b_approved_external_pretraining_acquisition_v1.yaml,v3,stage32b,data_config,1996,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/data/stage32c_bulk_approved_external_acquisition_v1.yaml,v3,stage32c,data_config,1910,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/stage75e_scenicplus_preflight_v1.yaml,v3,stage75e,pipeline_config,6065,1,false,path_stable_or_wrapper_required,phase3_index_only
configs/stage75f_out_of_core_v1.yaml,v3,stage75f,pipeline_config,26096,2,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/fast_stage_c_supcon.yaml,v3,stagec,training_config,2476,1,false,path_stable_or_wrapper_required,phase3_index_only
