path,version_bucket,stage_hint,script_status,suffix,byte_size,n_imports_or_modules,imports_or_modules,n_local_path_mentions,local_path_mentions,n_output_path_mentions,output_path_mentions,physical_move_recommended_now,path_policy
scripts/acquire_stage32c_bulk_approved_external_datasets_v1.py,v3,stage32c,review_before_move,.py,57304,16,__future__|anndata|argparse|build_stage32_external_pretraining_matrix_v1|cellxgene_census|importlib|json|numpy|pandas|pathlib|re|requests|scipy|sys|typing|yaml,5,configs/data/stage32c_bulk_approved_external_acquisition_v1.yaml|configs/train/stage33a_external_pretrained_jepa_v1.yaml|data/sample/file|scripts/acquire_stage32c_bulk_approved_external_datasets_v1.py|scripts/run_stage33a_external_pretrained_jepa_v1.py,0,,false,path_stable_or_wrapper_required
scripts/aggregate_latent_coordinates_by_donor.py,unclassified,,review_before_move,.py,1364,4,__future__|argparse|pandas|pathlib,0,,0,,false,path_stable_or_wrapper_required
scripts/analyze_stage41abc_downloads_v1.py,v3,stage41abc,review_before_move,.py,1050,6,__future__|argparse|pandas|pathlib|run_stage41abc_seaad_safe_feature_download_analyze_benchmark_v1|sys,0,,0,,false,path_stable_or_wrapper_required
scripts/audit_donor_leakage_v1.py,v1,,legacy_reference,.py,2017,2,__future__|pandas,0,,0,,false,path_stable_or_wrapper_required
scripts/audit_druggability_biomarkers.py,unclassified,,review_before_move,.py,13274,8,__future__|argparse|json|pandas|pathlib|requests|time|typing,4,data/activity.json|data/molecule.json|data/target/search.json|results/tables/v2_2_druggability_summary.csv,1,results/tables/v2_2_druggability_summary.csv,false,path_stable_or_wrapper_required
scripts/audit_latent_coordinate_drift.py,unclassified,,review_before_move,.py,4264,5,__future__|argparse|numpy|pandas|pathlib,0,,0,,false,path_stable_or_wrapper_required
scripts/audit_sea_ad_control_anchors.py,unclassified,,review_before_move,.py,11662,5,__future__|argparse|numpy|pandas|pathlib,7,data/pathology|data/processed/metadata/sea_ad_mtg_donor_pathology_targets.csv|data/processed/sea_ad_mtg_microglia_pvm_counts_expanded_modules.csv|data/raw/metadata/sea-ad_cohort_donor_metadata_072524.xlsx|results/reports/sea_ad_low_pathology_anchor_audit.md|results/tables/sea_ad_low_pathology_anchor_audit_donors.csv|results/tables/sea_ad_low_pathology_anchor_audit_summary.csv,3,results/reports/sea_ad_low_pathology_anchor_audit.md|results/tables/sea_ad_low_pathology_anchor_audit_donors.csv|results/tables/sea_ad_low_pathology_anchor_audit_summary.csv,false,path_stable_or_wrapper_required
scripts/audit_sea_ad_full_donor_metadata.py,unclassified,,review_before_move,.py,7494,6,__future__|argparse|pandas|pathlib|sea_ad_jepa|sys,7,data/processed/metadata/sea_ad_mtg_donor_pathology_targets.csv|data/raw/metadata/sea-ad_cohort_donor_metadata_072524.xlsx|results/reports/sea_ad_full_metadata_covariate_audit.md|results/tables/sea_ad_full_metadata_covariate_audit.csv|results/tables/sea_ad_full_metadata_targets_with_covariates.csv|results/tables/sea_ad_full_metadata_targets_with_covariates.csv`|scripts/download_metadata.ps1,4,results/reports/sea_ad_full_metadata_covariate_audit.md|results/tables/sea_ad_full_metadata_covariate_audit.csv|results/tables/sea_ad_full_metadata_targets_with_covariates.csv|results/tables/sea_ad_full_metadata_targets_with_covariates.csv`,false,path_stable_or_wrapper_required
scripts/audit_stage41c_metadata_stability_v1.py,v3,stage41c,review_before_move,.py,133,2,__future__|run_stage41full_safe_feature_pipeline_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/audit_stage42_external_support_readiness_v1.py,v3,stage42,review_before_move,.py,154,2,__future__|run_stage42_safe_external_support_and_manuscript_synthesis_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/audit_stage47_claim_boundaries_v1.py,v3,stage47,review_before_move,.py,152,2,__future__|run_stage47_cross_version_candidate_network_drug_synthesis_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/audit_stage48_candidate_evidence_consistency_v1.py,v3,stage48,review_before_move,.py,144,2,__future__|run_stage48_candidate_evidence_consistency_dossier_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/audit_stage49_claim_boundaries_v1.py,v3,stage49,review_before_move,.py,145,2,__future__|run_stage49_known_experimental_evidence_concordance_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/audit_stage50_graph_specific_claims_v1.py,v3,stage50,review_before_move,.py,140,2,__future__|run_stage50_graph_specific_jepa_topology_audit_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/audit_stage53_branch_leakage_and_claims_v1.py,v3,stage53,review_before_move,.py,112,1,run_stage53_heterogeneity_composition_auxiliary_jepa_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/audit_target_covariates.py,unclassified,,review_before_move,.py,10082,9,__future__|anndata|argparse|numpy|pandas|pathlib|scipy|sea_ad_jepa|sys,6,data/processed/metadata/pathology_target_columns.csv|data/processed/metadata/sea_ad_mtg_donor_pathology_targets.csv|data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|results/tables/pathology_head_gene_counterfactual_summary.csv|results/tables/v2_2_target_covariate_audit.csv|results/tables/v2_2_target_covariate_audit_long.csv,3,results/tables/pathology_head_gene_counterfactual_summary.csv|results/tables/v2_2_target_covariate_audit.csv|results/tables/v2_2_target_covariate_audit_long.csv,false,path_stable_or_wrapper_required
scripts/benchmark_kampmann_deg_alignment.py,unclassified,,review_before_move,.py,7794,11,__future__|anndata|argparse|h5py|numpy|pandas|pathlib|scipy|sea_ad_jepa|sys|torch,5,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|data/raw/kampmann_gse178317/GSM5387652_iTF_Microglia_10X_Lane1_filtered_feature_bc_matrix.h5|data/raw/kampmann_gse178317/drager_2022_supplementary_tables.xlsx|results/models/microglia_pvm_jepa_ema_var_expanded_balanced_e40/gene_jepa_epoch_030.pt|results/tables/kampmann_deg_jepa_alignment.csv,2,results/models/microglia_pvm_jepa_ema_var_expanded_balanced_e40/gene_jepa_epoch_030.pt|results/tables/kampmann_deg_jepa_alignment.csv,false,path_stable_or_wrapper_required
scripts/benchmark_perturbseq_streaming.py,unclassified,,review_before_move,.py,20845,13,__future__|anndata|argparse|fsspec|h5py|numpy|pandas|pathlib|scipy|sea_ad_jepa|sys|time|torch,3,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|results/models/microglia_pvm_jepa_ema_var_expanded_balanced_e40/gene_jepa_epoch_030.pt|results/tables/perturbseq_streaming_validation.csv,2,results/models/microglia_pvm_jepa_ema_var_expanded_balanced_e40/gene_jepa_epoch_030.pt|results/tables/perturbseq_streaming_validation.csv,false,path_stable_or_wrapper_required
