condition,target,target_alias,n_donors,pooled_oof_spearman,pooled_oof_pearson,r2,mae,rmse
stage27c_module_pca_ridge_reference,6e10/Aβ,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.3163520312175891,0.09975961956193147,0.5908527814398361,0.6954113538288077
stage27c_module_pca_ridge_reference,AT8,percent AT8 positive area_Grey matter,84,0.5284398096588033,0.6623974952216051,0.4280899577385401,0.35143710200981665,0.4386596361996292
stage27c_module_pca_ridge_reference,GFAP,percent GFAP positive area_Grey matter,84,0.30229826870507237,0.27877065050186,0.07752413383312962,0.4963336075201987,0.5980483240374914
stage27c_module_pca_ridge_reference,Iba1,percent Iba1 positive area_Grey matter,84,0.016077756403766325,-0.042985908308886815,-0.09295916718496233,0.359161712235905,0.459580488795249
stage27c_module_pca_ridge_reference,NeuN,percent NeuN positive area_Grey matter,84,0.4519590968917688,0.47243591481850106,0.20964454842080216,0.3896968592871398,0.4861320000855132
v3_no_graph,6e10/Aβ,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.31635203121758926,0.09975961956193147,0.5908527814398361,0.6954113538288077
v3_no_graph,AT8,percent AT8 positive area_Grey matter,84,0.5284398096588033,0.662397495221605,0.42808995773853986,0.3514371020098168,0.4386596361996293
v3_no_graph,GFAP,percent GFAP positive area_Grey matter,84,0.30229826870507237,0.2787706505018599,0.0775241338331295,0.4963336075201987,0.5980483240374915
v3_no_graph,Iba1,percent Iba1 positive area_Grey matter,84,0.016077756403766325,-0.042985908308886885,-0.09295916718496233,0.35916171223590504,0.4595804887952489
v3_no_graph,NeuN,percent NeuN positive area_Grey matter,84,0.4519590968917688,0.4724359148185012,0.20964454842080216,0.38969685928713993,0.48613200008551316
v3_real_graph,6e10/Aβ,percent 6e10 positive area_Grey matter,84,0.2953933380581148,0.23243842291455352,0.0483692737410536,0.6047455327869282,0.7149847197218108
v3_real_graph,AT8,percent AT8 positive area_Grey matter,84,0.4533967803989066,0.5468081619078683,0.29634088512046075,0.39217843638073807,0.486569600252171
v3_real_graph,GFAP,percent GFAP positive area_Grey matter,84,0.24108534980257165,0.21040214775236554,0.039886420845181014,0.5064758512850706,0.6101267652951509
v3_real_graph,Iba1,percent Iba1 positive area_Grey matter,84,0.17454692720461681,0.15380861404578391,0.0034502520962116368,0.338046606809809,0.4388429299536851
v3_real_graph,NeuN,percent NeuN positive area_Grey matter,84,0.43794674496304553,0.46597238787594714,0.2121409998542021,0.3949204488662029,0.4853636339162291
v3_strict_shuffled_graph,6e10/Aβ,percent 6e10 positive area_Grey matter,84,0.24094360635820594,0.2453485520413973,0.06013410268660857,0.6015909251867383,0.7105513651513441
v3_strict_shuffled_graph,AT8,percent AT8 positive area_Grey matter,84,0.4563126455401438,0.5378397412262182,0.283693826345206,0.3960315052365917,0.4909227518780778
v3_strict_shuffled_graph,GFAP,percent GFAP positive area_Grey matter,84,0.221666497924471,0.1741675131104464,0.02103925294671416,0.5112723438710453,0.6160860999351349
v3_strict_shuffled_graph,Iba1,percent Iba1 positive area_Grey matter,84,0.16223549660828185,0.12671080842774549,-0.014027373202098792,0.34123126565865125,0.4426744471125303
v3_strict_shuffled_graph,NeuN,percent NeuN positive area_Grey matter,84,0.4118862002632378,0.43589480019647014,0.18041900941636113,0.39719687275610677,0.4950384379270079
