bootstrap_metric,condition,left_condition,right_condition,n_bootstrap_resamples,spearman_ci_low,spearman_ci_median,spearman_ci_high,uncertainty_status
condition_mean_pooled_oof_spearman,graph_residual_only_ridge,,,500,0.13674025358659667,0.24194074520816192,0.3395042021359332,complete
condition_mean_pooled_oof_spearman,hub_capped_real_graph_residual_pca_ridge,,,500,0.14825384071061667,0.2612998303903846,0.3728772896741773,complete
condition_mean_pooled_oof_spearman,residual_no_graph_pca_ridge,,,500,0.2098628437196263,0.3294312636902741,0.4279581362694477,complete
condition_mean_pooled_oof_spearman,residual_real_graph_pca_ridge,,,500,0.13626004544876563,0.26711304312998646,0.36813941451985943,complete
condition_mean_pooled_oof_spearman,residual_strict_shuffled_graph_pca_ridge,,,500,0.14515341086502095,0.26256862134944836,0.37920522891715663,complete
condition_mean_pooled_oof_spearman,stage27c_module_pca_ridge_reference,,,500,0.2189458104327562,0.3261216998997063,0.42184491463000645,complete
condition_mean_pooled_oof_spearman,target_gated_real_graph_residual_ridge,,,500,0.17565611999343123,0.2880777689745171,0.39223497010643577,complete
condition_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge,,,500,0.195777593522946,0.3180790130981909,0.41867037208095487,complete
condition_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,,,500,0.1961983617644829,0.3292904529238274,0.4242842999840456,complete
condition_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2,,,500,0.2068908729593399,0.3122237338167575,0.42192303204650067,complete
pairwise_delta_mean_pooled_oof_spearman,residual_real_graph_pca_ridge_minus_stage27c_module_pca_ridge_reference,residual_real_graph_pca_ridge,stage27c_module_pca_ridge_reference,500,-0.1147187248402866,-0.061796526704039456,-0.010417333682484825,complete
pairwise_delta_mean_pooled_oof_spearman,residual_real_graph_pca_ridge_minus_residual_no_graph_pca_ridge,residual_real_graph_pca_ridge,residual_no_graph_pca_ridge,500,-0.11635981138788444,-0.061292854739857516,-0.012879926978173997,complete
pairwise_delta_mean_pooled_oof_spearman,residual_real_graph_pca_ridge_minus_residual_strict_shuffled_graph_pca_ridge,residual_real_graph_pca_ridge,residual_strict_shuffled_graph_pca_ridge,500,-0.03580791530211048,-0.0032454294711384557,0.027759743695733443,complete
pairwise_delta_mean_pooled_oof_spearman,target_gated_real_graph_residual_ridge_minus_stage27c_module_pca_ridge_reference,target_gated_real_graph_residual_ridge,stage27c_module_pca_ridge_reference,500,-0.07784721695924322,-0.04063569858120153,0.002322009295792679,complete
pairwise_delta_mean_pooled_oof_spearman,target_gated_real_graph_residual_ridge_minus_residual_no_graph_pca_ridge,target_gated_real_graph_residual_ridge,residual_no_graph_pca_ridge,500,-0.08416539445893807,-0.03921960680267286,0.0032149336111037563,complete
pairwise_delta_mean_pooled_oof_spearman,target_gated_real_graph_residual_ridge_minus_residual_strict_shuffled_graph_pca_ridge,target_gated_real_graph_residual_ridge,residual_strict_shuffled_graph_pca_ridge,500,-0.02045535781832855,0.018230251290966615,0.05670441984531247,complete
pairwise_delta_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_minus_stage27c_module_pca_ridge_reference,weak_diffusion_real_graph_residual_pca_ridge,stage27c_module_pca_ridge_reference,500,-0.017224372260628857,-0.004232193162646891,0.004698861521149913,complete
