condition,mean_pooled_oof_spearman,min_target_pooled_oof_spearman,n_targets
residual_no_graph_pca_ridge,0.3267024400121495,0.016077756403766325,5
stage27c_module_pca_ridge_reference,0.3267024400121495,0.016077756403766325,5
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,0.32637035537106407,0.01565252607066923,5
weak_diffusion_real_graph_residual_pca_ridge,0.3222800445479397,0.014275589753973878,5
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2,0.3160554824339374,0.02452161587526577,5
target_gated_real_graph_residual_ridge,0.28679153589146505,-0.03717728055077453,5
residual_strict_shuffled_graph_pca_ridge,0.2682879416826972,0.021565252607066928,5
residual_real_graph_pca_ridge,0.26459046269110054,0.010570011136984915,5
hub_capped_real_graph_residual_pca_ridge,0.2632135263744052,0.013587121595626205,5
graph_residual_only_ridge,0.24853700516351118,-0.10146805710235904,5
