comparison,left_condition,right_condition,left_mean_pooled_oof_spearman,right_mean_pooled_oof_spearman,delta_mean_pooled_oof_spearman
residual_real_graph_pca_ridge_minus_stage27c_module_pca_ridge_reference,residual_real_graph_pca_ridge,stage27c_module_pca_ridge_reference,0.26459046269110054,0.3267024400121495,-0.06211197732104895
residual_real_graph_pca_ridge_minus_residual_no_graph_pca_ridge,residual_real_graph_pca_ridge,residual_no_graph_pca_ridge,0.26459046269110054,0.3267024400121495,-0.06211197732104895
residual_real_graph_pca_ridge_minus_residual_strict_shuffled_graph_pca_ridge,residual_real_graph_pca_ridge,residual_strict_shuffled_graph_pca_ridge,0.26459046269110054,0.2682879416826972,-0.00369747899159667
target_gated_real_graph_residual_ridge_minus_stage27c_module_pca_ridge_reference,target_gated_real_graph_residual_ridge,stage27c_module_pca_ridge_reference,0.28679153589146505,0.3267024400121495,-0.03991090412068443
target_gated_real_graph_residual_ridge_minus_residual_no_graph_pca_ridge,target_gated_real_graph_residual_ridge,residual_no_graph_pca_ridge,0.28679153589146505,0.3267024400121495,-0.03991090412068443
target_gated_real_graph_residual_ridge_minus_residual_strict_shuffled_graph_pca_ridge,target_gated_real_graph_residual_ridge,residual_strict_shuffled_graph_pca_ridge,0.28679153589146505,0.2682879416826972,0.01850359420876785
weak_diffusion_real_graph_residual_pca_ridge_minus_stage27c_module_pca_ridge_reference,weak_diffusion_real_graph_residual_pca_ridge,stage27c_module_pca_ridge_reference,0.3222800445479397,0.3267024400121495,-0.004422395464209805
hub_capped_real_graph_residual_pca_ridge_minus_stage27c_module_pca_ridge_reference,hub_capped_real_graph_residual_pca_ridge,stage27c_module_pca_ridge_reference,0.2632135263744052,0.3267024400121495,-0.06348891363774428
weak_diffusion_real_graph_residual_pca_ridge_minus_residual_no_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge,residual_no_graph_pca_ridge,0.3222800445479397,0.3267024400121495,-0.004422395464209805
weak_diffusion_real_graph_residual_pca_ridge_minus_residual_strict_shuffled_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge,residual_strict_shuffled_graph_pca_ridge,0.3222800445479397,0.2682879416826972,0.053992102865242475
hub_capped_real_graph_residual_pca_ridge_minus_residual_real_graph_pca_ridge,hub_capped_real_graph_residual_pca_ridge,residual_real_graph_pca_ridge,0.2632135263744052,0.26459046269110054,-0.001376936316695332
graph_residual_only_ridge_minus_stage27c_module_pca_ridge_reference,graph_residual_only_ridge,stage27c_module_pca_ridge_reference,0.24853700516351118,0.3267024400121495,-0.0781654348486383
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05_minus_stage27c_module_pca_ridge_reference,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,stage27c_module_pca_ridge_reference,0.32637035537106407,0.3267024400121495,-0.00033208464108541724
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05_minus_residual_no_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,residual_no_graph_pca_ridge,0.32637035537106407,0.3267024400121495,-0.00033208464108541724
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05_minus_residual_strict_shuffled_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,residual_strict_shuffled_graph_pca_ridge,0.32637035537106407,0.2682879416826972,0.05808241368836686
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2_minus_stage27c_module_pca_ridge_reference,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2,stage27c_module_pca_ridge_reference,0.3160554824339374,0.3267024400121495,-0.010646957578212102
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2_minus_residual_no_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2,residual_no_graph_pca_ridge,0.3160554824339374,0.3267024400121495,-0.010646957578212102
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2_minus_residual_strict_shuffled_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2,residual_strict_shuffled_graph_pca_ridge,0.3160554824339374,0.2682879416826972,0.04776754075124018
