condition,target,target_key,target_alias,n_donors,pooled_oof_spearman,pooled_oof_pearson,r2,mae,rmse,module_mean_target_spearman,delta_vs_module_mean_baseline
graph_residual_only_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.21553103168978432,0.21132920184834672,0.043411081426327325,0.6050425408201259,0.7168449087890836,0.3267793864533765,-0.11124835476359218
graph_residual_only_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.43071782930039487,0.5578230116910814,0.2996372147012115,0.38615708588960473,0.485428581449837,0.5417434443656981,-0.11102561506530323
graph_residual_only_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.27194492254733216,0.2528845443840608,0.06202480670915744,0.4974464182581248,0.6030515631688884,0.2607876885694037,0.011157233977928449
graph_residual_only_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.10146805710235904,-0.16565287459957592,-0.1574065488794727,0.36869622780804284,0.4729362264925675,0.0291181532854105,-0.13058621038776955
graph_residual_only_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.42595929938240357,0.4253565223960719,0.16010381813984287,0.39991134118908855,0.5011362129343174,0.405770983092032,0.020188316290371544
hub_capped_real_graph_residual_pca_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.17312949276095982,0.15777087546224003,0.004426444323594847,0.6239456316825761,0.7313061211280084,0.3267793864533765,-0.1536498936924167
hub_capped_real_graph_residual_pca_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.39935202996861396,0.4963349494908283,0.24521008338792183,0.4151837505556509,0.5039377095456817,0.5417434443656981,-0.14239141439708414
hub_capped_real_graph_residual_pca_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.28879214336336945,0.260754759347054,0.057134601548139985,0.4961059684103035,0.6046215471653446,0.2607876885694037,0.02800445479396574
hub_capped_real_graph_residual_pca_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.013587121595626205,-0.02558378146364474,-0.11432067391803202,0.3583554341782142,0.46404992646334337,0.0291181532854105,-0.015531031689784296
hub_capped_real_graph_residual_pca_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4412068441834565,0.4410381223104304,0.19425157481136135,0.3973985106234104,0.4908431289449161,0.405770983092032,0.03543586109142449
residual_no_graph_pca_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.31635203121758915,0.09975961956193147,0.5908527814398361,0.6954113538288077,0.3267793864533765,0.007957881947959988
residual_no_graph_pca_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5284398096588033,0.662397495221605,0.42808995773853975,0.3514371020098167,0.4386596361996293,0.5417434443656981,-0.013303634706894774
residual_no_graph_pca_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.30229826870507237,0.27877065050185995,0.0775241338331295,0.4963336075201987,0.5980483240374915,0.2607876885694037,0.04151058013566866
residual_no_graph_pca_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.016077756403766325,-0.04298590830888682,-0.09295916718496233,0.359161712235905,0.4595804887952489,0.0291181532854105,-0.013040396881644177
residual_no_graph_pca_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4519590968917688,0.4724359148185014,0.20964454842080227,0.38969685928713976,0.4861320000855131,0.405770983092032,0.04618811379973675
residual_real_graph_pca_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.1713880733016098,0.15491256410813434,0.0028490778371604852,0.6244162538277493,0.7318852251085113,0.3267793864533765,-0.1553913131517667
residual_real_graph_pca_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.41057001113698494,0.4778443856335364,0.22812570225382378,0.42330700425977125,0.5096090158301443,0.5417434443656981,-0.13117343322871317
residual_real_graph_pca_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2865849954439607,0.2607279294815919,0.05705462496797209,0.49594461774991805,0.6046471894989938,0.2607876885694037,0.025797306874557002
residual_real_graph_pca_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.010570011136984915,-0.030514096475772527,-0.11764666216973496,0.35888025416749697,0.4647419510592897,0.0291181532854105,-0.018548142148425588
residual_real_graph_pca_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4438392224359624,0.443049159732378,0.19607213692224068,0.39721357176012745,0.4902882933927165,0.405770983092032,0.03806823934393039
residual_strict_shuffled_graph_pca_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.20346258985521923,0.18568494832674634,0.01876240597288381,0.6184873648095097,0.7260217339612733,0.3267793864533765,-0.12331679659815728
residual_strict_shuffled_graph_pca_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.42928014579325713,0.5011853382410798,0.25112518387053706,0.4150911958759573,0.5019592085424966,0.5417434443656981,-0.11246329857244097
residual_strict_shuffled_graph_pca_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.24169282170699602,0.23974428064496556,0.046998547839062654,0.5008389959944439,0.6078627806116242,0.2607876885694037,-0.01909486686240769
residual_strict_shuffled_graph_pca_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.021565252607066928,-0.011989632471924734,-0.10432699286068647,0.3586450339476053,0.46196434560024474,0.0291181532854105,-0.0075529006783435736
residual_strict_shuffled_graph_pca_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4454388984509467,0.4480076862750935,0.20031646333661546,0.393362242533786,0.4889923453961966,0.405770983092032,0.039667915358914674
target_gated_real_graph_residual_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.2860990179204212,0.2855651010836046,0.07936340462986657,0.592736386864239,0.7032449940882274,0.3267793864533765,-0.04068036853295531
target_gated_real_graph_residual_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.47739192062367114,0.6063647517919768,0.35536791075515173,0.3743536595084052,0.4657145142191975,0.5417434443656981,-0.06435152374202696
target_gated_real_graph_residual_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.26795585704161184,0.27073899453189126,0.0661052191275896,0.49535675277463587,0.6017384255206246,0.2607876885694037,0.007168168472208136
target_gated_real_graph_residual_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.03717728055077453,-0.08886138144165408,-0.17386869278582262,0.3631861838953712,0.4762877088798372,0.0291181532854105,-0.06629543383618502
target_gated_real_graph_residual_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4396881644223955,0.4370206553840968,0.18758004087326108,0.3948090363242203,0.49287101127938415,0.405770983092032,0.03391718133036348
weak_diffusion_real_graph_residual_pca_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3274476055482434,0.31479812545243474,0.09888166528923725,0.5911582967144193,0.6957503691623362,0.3267793864533765,0.0006682190948669176
weak_diffusion_real_graph_residual_pca_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5298774931659411,0.6598656510786651,0.4245765892891523,0.3527233490576645,0.44000496423558005,0.5417434443656981,-0.011865951199756974
weak_diffusion_real_graph_residual_pca_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.3034727143869596,0.2806342581135979,0.07854186380138717,0.49607557087910487,0.5977183318436673,0.2607876885694037,0.0426850258175559
weak_diffusion_real_graph_residual_pca_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.014275589753973878,-0.044718306007656125,-0.09555271192927228,0.35954321664284655,0.46012544798850175,0.0291181532854105,-0.014842563531436623
weak_diffusion_real_graph_residual_pca_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.43632681988458033,0.45982771608821954,0.1996970221043214,0.39162249702092095,0.48918169741625095,0.405770983092032,0.030555836792548308
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.33204414295838813,0.3160025635310978,0.09956542131218338,0.5909258480482622,0.6954863562328477,0.3267793864533765,0.005264756505011625
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,AT8,AT8,percent AT8 positive area_Grey matter,84,0.528136073706591,0.6617975636541717,0.4272471074754681,0.3517552984063907,0.438982753685565,0.5417434443656981,-0.01360737065910711
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.3040194391009416,0.2792586796340216,0.07779071941605731,0.49626708748822457,0.5979619030333984,0.2607876885694037,0.04323175053153788
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.01565252607066923,-0.04353202637769839,-0.09365891323555298,0.35927204577675187,0.4597275840322879,0.0291181532854105,-0.01346562721474127
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45199959501873044,0.4717509978896239,0.20883927819315506,0.389481857020983,0.4863795899279116,0.405770983092032,0.046228611926698415
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3287840437379771,0.30674595436299057,0.09407276318652114,0.592576543011622,0.6976043673378666,0.3267793864533765,0.002004657284600586
weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5131922648577503,0.650165582435818,0.4119811479711333,0.35684106680431915,0.444794530088681,0.5417434443656981,-0.028551179507947833
