dataset_id,metadata_field,candidate_columns,has_candidate
b165f033-9dec-468a-9248-802fc6902a74,donor,,False
b165f033-9dec-468a-9248-802fc6902a74,cell_type,,False
b165f033-9dec-468a-9248-802fc6902a74,disease,,False
b165f033-9dec-468a-9248-802fc6902a74,tissue,,False
b165f033-9dec-468a-9248-802fc6902a74,species,,False
5c97eeeb-7e52-44b3-b010-b832b1f5424c,donor,,False
5c97eeeb-7e52-44b3-b010-b832b1f5424c,cell_type,,False
5c97eeeb-7e52-44b3-b010-b832b1f5424c,disease,,False
5c97eeeb-7e52-44b3-b010-b832b1f5424c,tissue,,False
5c97eeeb-7e52-44b3-b010-b832b1f5424c,species,,False
4442d412-91cb-4261-acca-8adf5fa04c11,donor,,False
4442d412-91cb-4261-acca-8adf5fa04c11,cell_type,,False
4442d412-91cb-4261-acca-8adf5fa04c11,disease,,False
4442d412-91cb-4261-acca-8adf5fa04c11,tissue,,False
4442d412-91cb-4261-acca-8adf5fa04c11,species,,False
GSE98969,donor,,False
GSE98969,cell_type,,False
GSE98969,disease,,False
GSE98969,tissue,,False
GSE98969,species,,False
mouse_isocortex_hippocampus,donor,,False
mouse_isocortex_hippocampus,cell_type,,False
mouse_isocortex_hippocampus,disease,,False
mouse_isocortex_hippocampus,tissue,,False
mouse_isocortex_hippocampus,species,,False
mouse_brain_aging_atlas,donor,,False
mouse_brain_aging_atlas,cell_type,,False
mouse_brain_aging_atlas,disease,,False
mouse_brain_aging_atlas,tissue,,False
mouse_brain_aging_atlas,species,,False
