condition,target,target_key,target_alias,n_donors,pooled_oof_spearman,pooled_oof_pearson,r2,mae,rmse
filtered_ext_svd16_raw_count_size_factor_log1p_direct_no_graph,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.30448516756100036,0.24517514973779803,0.02077225685740347,0.6076228771886031,0.7252778043513222
filtered_ext_svd16_raw_count_size_factor_log1p_direct_no_graph,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5023590158955148,0.5018955875195302,0.25107541064819194,0.41113392408877597,0.5019758893759514
filtered_ext_svd16_raw_count_size_factor_log1p_direct_no_graph,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2226587020350309,0.19323957308425707,0.03429178131560273,0.5058626477267751,0.6119018058993927
filtered_ext_svd16_raw_count_size_factor_log1p_direct_no_graph,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.0051635111876075735,-0.10055850590352869,-0.1136972166578738,0.36816234569608025,0.46392009140712065
filtered_ext_svd16_raw_count_size_factor_log1p_direct_no_graph,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4482737673382606,0.4520045743694374,0.15593034526100857,0.40154918633694736,0.5023797515505494
filtered_ext_svd32_raw_count_size_factor_log1p_concat_module_pca_no_graph,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3259289257871824,0.3062711887793885,0.08554596927949265,0.5922329072332828,0.7008796841383853
filtered_ext_svd32_raw_count_size_factor_log1p_concat_module_pca_no_graph,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5166346056494887,0.5887313234922036,0.34045178989675384,0.3856688002612862,0.4710717775276321
filtered_ext_svd32_raw_count_size_factor_log1p_concat_module_pca_no_graph,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2224562114002227,0.1877949392345675,0.005253120115927823,0.5149234690205313,0.6210335519349095
filtered_ext_svd32_raw_count_size_factor_log1p_concat_module_pca_no_graph,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.12426850258175559,-0.16331820332451125,-0.20147376849887855,0.37767589454756967,0.48185543386250107
filtered_ext_svd32_raw_count_size_factor_log1p_concat_module_pca_no_graph,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.5202389389490736,0.5524123008913815,0.30306998984319344,0.3701758532697121,0.4564966198813595
filtered_ext_svd32_raw_count_size_factor_log1p_direct_no_graph,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.27923458540042523,0.2489426202683269,0.046702503627872205,0.6068607425902917,0.7156105894877947
filtered_ext_svd32_raw_count_size_factor_log1p_direct_no_graph,AT8,AT8,percent AT8 positive area_Grey matter,84,0.4677736154702845,0.4336061360685605,0.1721081286490438,0.4369801987314875,0.5277771968148601
filtered_ext_svd32_raw_count_size_factor_log1p_direct_no_graph,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2153892882454187,0.18532883504524214,0.01256148267495616,0.5115767437661618,0.6187479928168395
filtered_ext_svd32_raw_count_size_factor_log1p_direct_no_graph,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.07421281765718335,-0.12039500343718045,-0.14193362491420092,0.37206782689095175,0.469764338430398
