cell_type,n_cells
oligodendrocyte,27795
L2/3 intratelencephalic projecting glutamatergic neuron,12158
astrocyte,11706
L2/3-6 intratelencephalic projecting glutamatergic neuron,8009
oligodendrocyte precursor cell,7707
VIP GABAergic cortical interneuron,4947
sst GABAergic cortical interneuron,4769
pvalb GABAergic cortical interneuron,4506
microglial cell,4458
GABAergic neuron,2159
endothelial cell,2085
lamp5 GABAergic cortical interneuron,2030
L6 intratelencephalic projecting glutamatergic neuron,1838
pericyte,1071
L6 corticothalamic-projecting glutamatergic cortical neuron,1009
L6b glutamatergic neuron of the primary motor cortex,892
vascular leptomeningeal cell,775
L5/6 near-projecting glutamatergic neuron,773
smooth muscle cell,353
perivascular macrophage,345
T cell,207
natural killer cell,194
L5 extratelencephalic projecting glutamatergic cortical neuron,144
B cell,62
plasma cell,8
