condition,mean_pooled_oof_spearman,n_targets
module_graph_real_overlap_aux_weight_0_1_ridge,0.32726536397691613,5
module_graph_no_graph_identity_ridge,0.3267024400121495,5
stage27c_module_pca_ridge_reference,0.3267024400121495,5
stage35a_best_reference,0.3267024400121495,5
stage35b_best_reference,0.3267024400121495,5
stage31_weak_residual_real_graph_alpha_0_05_reference,0.32637035537106407,5
module_graph_strict_shuffled_overlap_aux_weight_0_025_ridge,0.3256899868381088,5
module_graph_real_overlap_aux_weight_0_025_ridge,0.32531335425736563,5
module_graph_real_overlap_aux_weight_0_05_ridge,0.32380277412169695,5
module_graph_strict_shuffled_overlap_aux_weight_0_05_ridge,0.3237177280550775,5
module_graph_strict_shuffled_overlap_aux_weight_0_1_ridge,0.3235921838614964,5
