path,size_bytes,extension,keyword_hits,scanned,exclusion_reason
docs\ACTIVE_V3_STATUS.md,11577,.md,AD;GFAP;Iba1;NeuN;microglia,True,
docs\architecture.md,6397,.md,AD;GFAP;GO;Iba1;NeuN;amyloid;microglia;tau,True,
docs\causal_discovery.md,8196,.md,AD;APOE;Alzheimer;GO;TREM2;antigen presentation;complement;lysosome;microglia;phagocytosis;tau,True,
docs\cleanup_manifest.md,1461,.md,AD,True,
docs\current_status.md,97692,.md,AD;APOE;Alzheimer;DAM;GFAP;GO;Iba1;NeuN;TREM2;amyloid;antigen presentation;chemokine;complement;interferon;lysosome;microglia;oxidative stress;phagocytosis;senescence;tau,True,
docs\dataset_guide.md,12163,.md,AD;APOE;Alzheimer;DAM;GFAP;GO;Iba1;NeuN;TREM2;amyloid;complement;microglia;phagocytosis;tau,True,
docs\DATASET_REGISTRY.md,4306,.md,AD;Alzheimer;DAM;microglia,True,
docs\external_cohort_reconnaissance.md,5447,.md,AD;Alzheimer;GO;microglia;tau,True,
docs\external_perturbation_benchmarks.md,11014,.md,AD;APOE;Alzheimer;DAM;GO;TREM2;complement;microglia,True,
docs\external_validation_next_steps.md,11567,.md,AD;APOE;DAM;GFAP;GO;Iba1;NeuN;amyloid;antigen presentation;chemokine;complement;lysosome;microglia;phagocytosis;tau,True,
docs\figure_gallery.md,7619,.md,AD;GFAP;NeuN;amyloid;microglia;tau,True,
docs\github_about.md,2482,.md,AD;APOE;Alzheimer;amyloid;microglia,True,
docs\github_repo_checklist.md,1850,.md,AD;Alzheimer;GO;microglia,True,
docs\gpu_setup.md,2341,.md,AD,True,
docs\project_proposal.md,7618,.md,AD;APOE;Alzheimer;GFAP;GO;Iba1;NeuN;TREM2;amyloid;complement;lysosome;microglia;phagocytosis;tau,True,
docs\runbook.md,76980,.md,AD;APOE;Alzheimer;DAM;GFAP;GO;Iba1;NeuN;TREM2;amyloid;complement;lysosome;microglia;phagocytosis;senescence;tau,True,
docs\scientific_pitch.md,5222,.md,AD;Alzheimer;GFAP;GO;Iba1;NeuN;complement;microglia;tau,True,
docs\stage_c_v21_upgrade_experiments.md,3673,.md,AD;GFAP;NeuN,True,
docs\technical_plan.md,8151,.md,AD;Alzheimer;GFAP;GO;NeuN;complement;lysosome;microglia;phagocytosis,True,
docs\V3_SCORECARD.md,10659,.md,AD;GFAP;GO;Iba1;NeuN;microglia,True,
configs\train\stage34a_hbca_microglia_filtered_external_pretraining_v1.yaml,2556,.yaml,AD;GFAP;Iba1;NeuN;microglia,True,
configs\train\stage_b_adversarial.yaml,1460,.yaml,AD;microglia,True,
results\tables\causal_fold_specific_two_pass_test_loaded.csv,8000,.csv,AD;TREM2;microglia,True,
results\tables\causal_fold_specific_two_pass_test_loaded_modules.csv,5282,.csv,AD;APOE;GO;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\cellxgene_normal_microglia_anchor_qc.csv,260,.csv,microglia,True,
results\tables\cellxgene_normal_microglia_assay_counts.csv,128,.csv,microglia,True,
results\tables\cellxgene_normal_microglia_dataset_id_counts.csv,1558,.csv,AD;microglia,True,
results\tables\cellxgene_normal_microglia_development_stage_counts.csv,3161,.csv,AD;microglia,True,
results\tables\cellxgene_normal_microglia_disease_counts.csv,29,.csv,microglia,True,
results\tables\cellxgene_normal_microglia_donor_id_counts.csv,8141,.csv,AD;microglia,True,
results\tables\cellxgene_normal_microglia_matched_genes.csv,18141,.csv,AD;APOE;DAM;GO;TREM2;microglia;tau,True,
results\tables\cellxgene_normal_microglia_missing_genes.csv,877,.csv,microglia,True,
results\tables\cellxgene_normal_microglia_suspension_type_counts.csv,38,.csv,microglia,True,
results\tables\cellxgene_normal_microglia_tissue_counts.csv,915,.csv,microglia,True,
results\tables\cellxgene_normal_microglia_tissue_general_counts.csv,35,.csv,microglia,True,
results\tables\cell_level_mixing_sample_metadata.csv,350197,.csv,AD,True,
results\tables\confounder_adjusted_module_effects_at8.csv,2945,.csv,AD;GO;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\confounder_adjusted_top_gene_effects_at8.csv,1856,.csv,AD,True,
results\tables\gse138852_graph_jepa_zero_shot_aligned_sea_ad_trajectory_vectors.csv,14213,.csv,AD;GFAP;Iba1;NeuN;tau,True,
results\tables\gse138852_graph_jepa_zero_shot_baseline_sea_ad_trajectory_vectors.csv,14213,.csv,AD;GFAP;Iba1;NeuN;tau,True,
results\tables\microglia_pvm_jepa_all_module_preserved_cell_embeddings.csv,62243025,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_all_module_preserved_donor_embeddings.csv,143004,.csv,microglia,True,
results\tables\microglia_pvm_jepa_all_module_preserved_e100_cell_embeddings.csv,62212055,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_all_module_preserved_e100_donor_embeddings.csv,142987,.csv,microglia,True,
results\tables\microglia_pvm_jepa_all_module_preserved_e100_embedding_ridge.csv,1694,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_all_module_preserved_embedding_ridge.csv,1693,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_cell_embeddings.csv,15558995,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_donor_embeddings.csv,137481,.csv,microglia,True,
