dataset_id,stage_label,mechanism_id,mechanism_name,target,candidate_gene,candidate_type,present_in_dataset,matched_gene_symbol,mapping_status,missing_reason,frozen_stage36e_priority,notes
gse160936,Stage37C,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,BSG,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,SLC6A12,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,IL27RA,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,NFKBIA,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M1,Endolysosomal / autophagy / proteostasis,6e10/Aβ,CTSD,gene,False,,not_testable_no_gene_universe,gene universe unavailable,1,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M2,Glial activation / disease-associated microglia-astrocyte state,6e10/Aβ,CTSD,gene,False,,not_testable_no_gene_universe,gene universe unavailable,2,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M4,Inflammatory signaling / transport / cell-state modulation,AT8,BSG,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M4,Inflammatory signaling / transport / cell-state modulation,AT8,SLC6A12,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M4,Inflammatory signaling / transport / cell-state modulation,AT8,IL27RA,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M4,Inflammatory signaling / transport / cell-state modulation,AT8,NFKBIA,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M1,Endolysosomal / autophagy / proteostasis,AT8,CTSD,gene,False,,not_testable_no_gene_universe,gene universe unavailable,1,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M2,Glial activation / disease-associated microglia-astrocyte state,AT8,CTSD,gene,False,,not_testable_no_gene_universe,gene universe unavailable,2,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,TREM2,gene,False,,not_testable_no_gene_universe,gene universe unavailable,2,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,CST7,gene,False,,not_testable_no_gene_universe,gene universe unavailable,2,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,APOE,gene,False,,not_testable_no_gene_universe,gene universe unavailable,2,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,LGALS3,gene,False,,not_testable_no_gene_universe,gene universe unavailable,2,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M1,Endolysosomal / autophagy / proteostasis,GFAP,CTSD,gene,False,,not_testable_no_gene_universe,gene universe unavailable,1,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,CTSD,gene,False,,not_testable_no_gene_universe,gene universe unavailable,2,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M3,Oxidative stress / antioxidant response,Iba1,HMOX1,gene,False,,not_testable_no_gene_universe,gene universe unavailable,3,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M3,Oxidative stress / antioxidant response,Iba1,NQO1,gene,False,,not_testable_no_gene_universe,gene universe unavailable,3,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M3,Oxidative stress / antioxidant response,Iba1,SOD2,gene,False,,not_testable_no_gene_universe,gene universe unavailable,3,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M3,Oxidative stress / antioxidant response,Iba1,SOD1,gene,False,,not_testable_no_gene_universe,gene universe unavailable,3,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M3,Oxidative stress / antioxidant response,Iba1,GPX4,gene,False,,not_testable_no_gene_universe,gene universe unavailable,3,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M1,Endolysosomal / autophagy / proteostasis,NeuN,CTSB,gene,False,,not_testable_no_gene_universe,gene universe unavailable,1,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M1,Endolysosomal / autophagy / proteostasis,NeuN,LAPTM5,gene,False,,not_testable_no_gene_universe,gene universe unavailable,1,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M1,Endolysosomal / autophagy / proteostasis,NeuN,CTSD,gene,False,,not_testable_no_gene_universe,gene universe unavailable,1,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M2,Glial activation / disease-associated microglia-astrocyte state,NeuN,CTSD,gene,False,,not_testable_no_gene_universe,gene universe unavailable,2,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M1,Endolysosomal / autophagy / proteostasis,NeuN,NPC2,gene,False,,not_testable_no_gene_universe,gene universe unavailable,1,frozen Stage 36E gene; no candidate selection performed
gse160936,Stage37C,M1,Endolysosomal / autophagy / proteostasis,NeuN,LAMP2,gene,False,,not_testable_no_gene_universe,gene universe unavailable,1,frozen Stage 36E gene; no candidate selection performed
gse125050,Stage37D,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,BSG,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse125050,Stage37D,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,SLC6A12,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse125050,Stage37D,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,IL27RA,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
gse125050,Stage37D,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,NFKBIA,gene,False,,not_testable_no_gene_universe,gene universe unavailable,4,frozen Stage 36E gene; no candidate selection performed
