condition,fold_id,n_train_donors,n_test_donors,lph_mse,lph_cosine_similarity,lph_flat_spearman,note
lph_aux_head_real,1,67,17,0.002629903996759888,0.9954606281625078,0.9715551181102362,
lph_aux_head_real,2,67,17,0.004157985328623853,0.9927883787459033,0.9659224467345995,
lph_aux_head_real,3,67,17,0.0036803059394432697,0.9933502650850059,0.9681413559518296,
lph_aux_head_real,4,67,17,0.002696475530472478,0.9949063519748599,0.972469169754516,
lph_aux_head_real,5,68,16,0.005200649436440735,0.9916235854201608,0.9513403010468929,
lph_aux_head_shuffled_latent_target,1,67,17,0.009126564815839469,0.9845870679123107,0.8898325324224179,
lph_aux_head_shuffled_latent_target,2,67,17,0.013624970528947164,0.9816868577665749,0.871662951597962,
lph_aux_head_shuffled_latent_target,3,67,17,0.013431352921583579,0.9808164256221052,0.8685748610467808,
lph_aux_head_shuffled_latent_target,4,67,17,0.009722182988468695,0.9851605970440718,0.8908891558591941,
lph_aux_head_shuffled_latent_target,5,68,16,0.014485055539876435,0.9818410687326241,0.8660697234326983,
lph_aux_head_shuffled_context,1,67,17,0.00840508046180869,0.9866451207837611,0.899811834182492,
lph_aux_head_shuffled_context,2,67,17,0.013300513813101858,0.9827744610252244,0.8752786301528486,
lph_aux_head_shuffled_context,3,67,17,0.011900495768650226,0.982588150291905,0.892067363362668,
lph_aux_head_shuffled_context,4,67,17,0.011129890145273463,0.983884617096991,0.8605003763316351,
lph_aux_head_shuffled_context,5,68,16,0.01659539916387778,0.9795785448026149,0.854706678935398,
lph_aux_head_no_graph_or_identity,all,84,84,0.0036548785059897994,,,identity/no-graph alias of real no-graph LPH
