candidate_id,fold_id,fold_oof_spearman,fold_delta_vs_stage27c,fold_rank,fold_outlier_flag,interpretation
stage27c_locked_reference,1.0,0.49068627450980395,0.0,1,False,fold_sensitive_check
stage27c_locked_reference,2.0,0.39117647058823535,0.0,3,False,fold_sensitive_check
stage27c_locked_reference,3.0,0.25392156862745097,0.0,4,False,fold_sensitive_check
stage27c_locked_reference,4.0,0.1,0.0,5,False,fold_sensitive_check
stage27c_locked_reference,5.0,0.45705882352941185,0.0,2,False,fold_sensitive_check
stage39c_rank_int_module_pca_ridge,1.0,0.43774509803921574,-0.052941176470588214,1,False,fold_sensitive_check
stage39c_rank_int_module_pca_ridge,2.0,0.38627450980392164,-0.004901960784313708,3,False,fold_sensitive_check
stage39c_rank_int_module_pca_ridge,3.0,0.33529411764705885,0.08137254901960789,4,False,fold_sensitive_check
stage39c_rank_int_module_pca_ridge,4.0,0.11813725490196081,0.018137254901960803,5,False,fold_sensitive_check
stage39c_rank_int_module_pca_ridge,5.0,0.39000000000000007,-0.06705882352941178,2,False,fold_sensitive_check
stage39d_rank_int_latent_composition_ridge_proxy_risk,1.0,0.5519607843137255,0.06127450980392157,2,False,fold_sensitive_check
stage39d_rank_int_latent_composition_ridge_proxy_risk,2.0,0.5799019607843138,0.18872549019607843,1,False,fold_sensitive_check
stage39d_rank_int_latent_composition_ridge_proxy_risk,3.0,0.43382352941176483,0.17990196078431386,4,False,fold_sensitive_check
stage39d_rank_int_latent_composition_ridge_proxy_risk,4.0,0.39019607843137266,0.29019607843137263,5,False,fold_sensitive_check
stage39d_rank_int_latent_composition_ridge_proxy_risk,5.0,0.5170588235294118,0.05999999999999994,3,False,fold_sensitive_check
stage39e_rank_inverse_normal_module_direct_elasticnet,1.0,0.39908435411221854,-0.09160192039758541,3,False,fold_sensitive_check
stage39e_rank_inverse_normal_module_direct_elasticnet,2.0,0.452619482136171,0.06144301154793563,1,False,fold_sensitive_check
stage39e_rank_inverse_normal_module_direct_elasticnet,3.0,0.32945504919872043,0.07553348057126946,4,False,fold_sensitive_check
stage39e_rank_inverse_normal_module_direct_elasticnet,4.0,0.15509404498714563,0.055094044987145624,5,False,fold_sensitive_check
stage39e_rank_inverse_normal_module_direct_elasticnet,5.0,0.4030011292428314,-0.05405769428658047,2,False,fold_sensitive_check
stage39e_rank_inverse_normal_module_pca8_ridge,1.0,0.4873482210041068,-0.0033380535056971583,1,False,fold_sensitive_check
stage39e_rank_inverse_normal_module_pca8_ridge,2.0,0.3792855199002195,-0.011890950688015822,3,False,fold_sensitive_check
stage39e_rank_inverse_normal_module_pca8_ridge,3.0,0.2220216628670598,-0.03189990576039117,4,False,fold_sensitive_check
stage39e_rank_inverse_normal_module_pca8_ridge,4.0,0.1222504440381467,0.02225044403814669,5,False,fold_sensitive_check
stage39e_rank_inverse_normal_module_pca8_ridge,5.0,0.419882666713995,-0.03717615681541686,2,False,fold_sensitive_check
