feature_set_id,feature_blocks,risk_tiers_used,allowed_for_lock_candidate,comparator_only,model_name
latent_only,latent,Tier0,True,False,ridge
safe_metadata_only,tier1_safe_metadata,Tier1,True,False,ridge
safe_composition_only,tier2_broad_composition,Tier2,False,False,ridge
latent_plus_tier1_safe_metadata,latent;tier1_safe_metadata,Tier0;Tier1,True,False,ridge
latent_plus_tier2_composition,latent;tier2_broad_composition,Tier0;Tier2,False,False,ridge
latent_plus_tier1_plus_tier2,latent;tier1_safe_metadata;tier2_broad_composition,Tier0;Tier1;Tier2,False,False,ridge
tier3_proxy_only_comparator,tier3_cell_state_proxy,Tier3,False,True,ridge
full_39d_reconstruction_comparator,tier2_broad_composition;tier3_cell_state_proxy;tier4_forbidden_pseudoprogression;tier4_forbidden_seaad_state_label,Tier2;Tier3;Tier4,False,True,ridge
restricted_no_pseudo_no_seaad_reconstruction,tier2_broad_composition;tier3_cell_state_proxy,Tier2;Tier3,False,True,ridge
stage39e_pca8_reference,external_reference_oof,Tier0,False,True,ridge
stage27c_reference,external_reference_oof,Tier0,False,True,ridge
target_shuffled_control,latent;tier1_safe_metadata;tier2_broad_composition,control,False,True,ridge
